Gene,Description,Locus,RPKM_ctrl,RPKM_case,p_value,Fold change
VAMP1,vesicle-associated membrane protein 1 (synaptobrevin 1),chr12:6431519-6450326,852.239,515.595,0,-1.65
SYT2,synaptotagmin II,chr1:200826346-200946168,111.943,68.1226,0.000792379,-1.64
SCN1B,"""sodium channel, voltage-gated, type I, beta""",chr19:40213373-40223192,2344.33,1428.91,0,-1.64
HAPLN4,hyaluronan and proteoglycan link protein 4,chr19:19226556-19245178,334.117,208.465,8.59608E-08,-1.60
FMO5,flavin containing monooxygenase 5,chr1:145124461-145163569,4.25703,2.68678,5.14309E-05,-1.58
SNORA40,"""small nucleolar RNA, H/ACA box 40""",chr11:93034524-93114308,25.4116,16.0993,0,-1.58
RGS2,"""regulator of G-protein signaling 2, 24kDa""",chr1:191044793-191048026,364.976,231.448,5.93946E-08,-1.58
TIMP4,TIMP metallopeptidase inhibitor 4,chr3:12020861-12208532,18.7888,11.9186,1.33227E-15,-1.58
EXTL2,exostoses (multiple)-like 2,chr1:101110530-101134142,116.984,74.4839,0.00232792,-1.57
SEMA7A,"""semaphorin 7A, GPI membrane anchor (John Milton Hagen blood group)""",chr15:72489375-72513329,238.667,152.153,1.42838E-05,-1.57
SULT1A2,"""sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2""",chr16:28510766-28542375,30.1889,19.5552,5.37051E-06,-1.54
C3orf49,chromosome 3 open reading frame 49,chr3:63780111-63824527,3.67601,2.38409,6.89837E-06,-1.54
SNORA18,"""small nucleolar RNA, H/ACA box 18""",chr11:93034524-93114308,73.3713,47.5904,0,-1.54
HES4,hairy and enhancer of split 4 (Drosophila),chr1:924207-925333,234.253,154.362,5.73594E-05,-1.52
EGR1,early growth response 1,chr5:137829079-137832903,425.441,280.933,6.72507E-08,-1.51
HAS3,hyaluronan synthase 3,chr16:67697660-67723985,15.6131,10.3447,1.04307E-05,-1.51
GAPDHP72,glyceraldehyde-3-phosphate dehydrogenase pseudogene 72,chr6:166397774-166398773,198.306,131.562,0.00026306,-1.51
PCDHA4,protocadherin alpha 4,chr5:140154627-140372113,10.4913,7.00665,0.000947764,-1.50
LYSMD4,"""LysM, putative peptidoglycan-binding, domain containing 4""",chr15:97923711-98091172,56.0369,37.6838,3.29142E-06,-1.49
SST,somatostatin,chr3:188869398-188870895,919.959,620.19,3.21965E-14,-1.48
EVI2A,ecotropic viral integration site 2A,chr17:26446120-26728817,161.221,109.237,0,-1.48
ANGPTL2,angiopoietin-like 2,chr9:128716873-129025264,35.6721,24.2492,0.00129238,-1.47
PVALB,parvalbumin,chr22:35526673-35545463,1585.2,1089.2,0,-1.46
HR,hairless homolog (mouse),chr8:22027876-22045326,185.058,127.374,0.00117685,-1.45
SERPIND1,"""serpin peptidase inhibitor, clade D (heparin cofactor), member 1""",chr22:19391980-19543070,2.12657,1.47415,0,-1.44
C2orf82,chromosome 2 open reading frame 82,chr2:233441967-233449360,327.309,227.484,2.52575E-05,-1.44
CITED2,"""Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2""",chr6:139735088-139737478,252.886,176.038,0.00030006,-1.44
CCDC36,coiled-coil domain containing 36,chr3:49042147-49270159,1.66553,1.16059,3.43725E-12,-1.44
ASB13,ankyrin repeat and SOCS box-containing 13,chr10:5714922-5748532,172.063,120.597,0.00276746,-1.43
RPL39P5,ribosomal protein L39 pseudogene 5 |RPL39_7_406  | 60S ribosomal protein L39 pseudogene 5,chr3:135553383-135576096,15.3047,10.789,2.085E-13,-1.42
GAPDHP71,glyceraldehyde-3-phosphate dehydrogenase pseudogene 71,chr5:173872916-173873916,258.267,183.363,0.000389688,-1.41
FA2H,fatty acid 2-hydroxylase,chr16:73304358-73366224,173.449,123.411,0.0038494,-1.41
B3GNT8,"""UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8""",chr19:46595543-46637654,2.25323,1.61513,8.78348E-06,-1.40
CNDP1,carnosine dipeptidase 1 (metallopeptidase M20 family),chr18:70352671-70403237,336.681,241.373,7.95128E-05,-1.39
HCRTR1,hypocretin (orexin) receptor 1,chr1:31855887-31883064,5.00191,3.58947,8.20792E-07,-1.39
TF,transferrin,chr3:134901900-134980540,1195.84,858.279,1.22569E-13,-1.39
SNX15,sorting nexin 15,chr11:64538228-64564618,175.506,126.14,4.56046E-10,-1.39
IGSF6,"""immunoglobulin superfamily, member 6""",chr16:21518356-21576292,2.78249,2.0028,1.55208E-05,-1.39
PLLP,plasmolipin,chr16:55847510-55876072,611.452,440.324,1.49614E-07,-1.39
LRTM1,leucine-rich repeats and transmembrane domains 1,chr3:54131732-55083622,0.955489,0.690264,3.41956E-05,-1.38
SCRT1,"""scratch homolog 1, zinc finger protein (Drosophila)""",chr8:145525261-145530751,423.223,306.099,0.000015741,-1.38
PIGH,"""phosphatidylinositol glycan anchor biosynthesis, class H""",chr14:67069760-67136770,111.346,80.5984,1.05045E-07,-1.38
ANKRD9,ankyrin repeat domain 9,chr14:102042950-102045881,275.959,200.027,0.000529437,-1.38
TMEM160,transmembrane protein 160,chr19:52241007-52243722,1254.49,910.181,1.72085E-13,-1.38
LAPTM4B,lysosomal protein transmembrane 4 beta,chr8:98856984-98934002,246.758,180.137,0.00132222,-1.37
GRIN3B,"""glutamate receptor, ionotropic, N-methyl-D-aspartate 3B""",chr19:951436-972141,0.485818,0.35602,0.00011182,-1.36
PCP4,Purkinje cell protein 4,chr21:40161216-40223190,1316.87,970.022,6.49925E-13,-1.36
C5orf13,chromosome 5 open reading frame 13,chr5:111092407-111137815,548.989,404.892,3.35868E-06,-1.36
SH3BGRL,SH3 domain binding glutamic acid-rich protein like,chrX:80344277-80440698,332.533,245.491,0.000312308,-1.35
C18orf32,chromosome 18 open reading frame 32,chr18:45262026-45267602,592.465,437.451,1.54485E-06,-1.35
ELOVL1,"""elongation of very long chain fatty acids (FEN1/Elo2, SUR4/Elo3, yeast)-like 1""",chr1:43601659-43606286,358.387,264.843,0.000189351,-1.35
EVC,Ellis van Creveld syndrome,chr4:5763824-5945686,2.65901,1.96536,0.000324897,-1.35
C1QTNF4,C1q and tumor necrosis factor related protein 4,chr11:47567791-47572537,1126.94,835.413,5.5113E-11,-1.35
RASD2,"""RASD family, member 2""",chr22:34267295-34279987,353.758,264.153,0.000328237,-1.34
GABRD,"""gamma-aminobutyric acid (GABA) A receptor, delta""",chr1:1940702-1952050,1036.2,773.939,8.12426E-10,-1.34
CHRNE,"""cholinergic receptor, nicotinic, epsilon""",chr17:4728436-4747148,4.89186,3.65653,3.99553E-08,-1.34
VGF,VGF nerve growth factor inducible,chr7:100592516-100595594,1012.89,757.464,1.45443E-09,-1.34
SLC25A5,"""solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 5""",chrX:118486435-118489310,1095.19,819.616,3.48307E-10,-1.34
SCN4B,"""sodium channel, voltage-gated, type IV, beta""",chr11:117509301-117528747,253.17,189.487,0.00255884,-1.34
LNP1,leukemia NUP98 fusion partner 1,chr3:101564998-101657859,50.1738,37.592,0.000421492,-1.33
LANCL1,LanC lantibiotic synthetase component C-like 1 (bacterial),chr2:211004222-211049676,342.478,257.162,0.00051627,-1.33
INA,"""internexin neuronal intermediate filament protein, alpha""",chr10:105026909-105040091,853.057,643.326,6.52341E-08,-1.33
UGP2,UDP-glucose pyrophosphorylase 2,chr2:63921601-63972196,739.172,559.104,6.42388E-07,-1.32
RCAN2,regulator of calcineurin 2,chr6:46296427-46567668,748.028,566.556,6.07651E-07,-1.32
FAM71E1,"""family with sequence similarity 71, member E1""",chr19:55627971-55678419,81.572,61.7863,9.35281E-08,-1.32
CLDN11,claudin 11,chr3:171619358-171634577,332.825,252.274,0.000901935,-1.32
GDF1,growth differentiation factor 1,chr19:18840360-18867953,668.281,506.786,2.65109E-06,-1.32
FGD2,"""FYVE, RhoGEF and PH domain containing 2""",chr6:37043895-37167595,3.17945,2.41584,0,-1.32
NDUFA11,"""NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 11, 14.7kDa""",chr19:5817181-5855025,1.59241,1.21079,0.000583415,-1.32
CXCL14,chemokine (C-X-C motif) ligand 14,chr5:134934273-134942868,540.359,411.846,3.29704E-05,-1.31
KANK3,KN motif and ankyrin repeat domains 3,chr19:7929457-8459885,30.5278,23.2893,4.88498E-15,-1.31
COX5A,cytochrome c oxidase subunit Va,chr15:72999671-73017438,1713.84,1311.98,3.24185E-13,-1.31
ZNF385A,zinc finger protein 385A,chr12:53049185-53071332,491.035,376.171,0.000102523,-1.31
NDUFB4,"""NADH dehydrogenase (ubiquinone) 1 beta subcomplex, 4, 15kDa""",chr3:121797817-121803863,955.055,731.678,5.8636E-08,-1.31
NCALD,neurocalcin delta,chr8:102767946-103206311,840.531,643.958,3.64359E-07,-1.31
JUND,jun D proto-oncogene,chr19:18252250-18253294,1311.29,1004.92,2.19486E-10,-1.30
HIGD2A,"""HIG1 hypoxia inducible domain family, member 2A""",chr5:175748378-175749366,667.885,512.042,6.08029E-06,-1.30
FNDC4,fibronectin type III domain containing 4,chr2:27568254-27571590,533.657,409.29,5.38595E-05,-1.30
MAG,myelin associated glycoprotein,chr19:40474867-40496547,815.548,626.296,6.70938E-07,-1.30
HES6,hairy and enhancer of split 6 (Drosophila),chr2:238811648-238813421,308.329,236.832,0.00230694,-1.30
SEC61G,Sec61 gamma subunit,chr7:54787437-54794439,377.864,290.401,0.000742204,-1.30
NDUFS4,"""NADH dehydrogenase (ubiquinone) Fe-S protein 4, 18kDa (NADH-coenzyme Q reductase)""",chr5:52892241-53014922,457.935,352.306,0.00021537,-1.30
GNG13,"""guanine nucleotide binding protein (G protein), gamma 13""",chr16:774975-790734,96.0284,73.9192,8.99232E-05,-1.30
SEZ6L2,seizure related 6 homolog (mouse)-like 2,chr16:29790331-29818074,951.593,733.267,1.14947E-07,-1.30
DCLK1,doublecortin-like kinase 1,chr13:35243477-35603443,578.003,445.429,3.68015E-05,-1.30
GAD1,"""glutamate decarboxylase 1 (brain, 67kDa)""",chr2:171381445-171425900,352.419,271.716,0.00127682,-1.30
CCNI,cyclin I,chr4:78188202-78216152,1285.64,993.416,1.03271E-09,-1.29
BRP44L,brain protein 44-like,chr6:166698399-166716476,454.825,351.841,0.000316092,-1.29
ATP1B3,"""ATPase, Na+/K+ transporting, beta 3 polypeptide""",chr3:143078159-143128072,317.917,245.987,0.00252115,-1.29
RTN4R,reticulon 4 receptor,chr22:18608937-18635838,478.891,370.72,0.000214942,-1.29
TCTE1,t-complex-associated-testis-expressed 1,chr6:44346457-44454672,11.743,9.1327,0.000173612,-1.29
NECAB3,N-terminal EF-hand calcium binding protein 3,chr20:31708554-31725925,370.811,288.67,0.00139414,-1.28
ASTE1,asteroid homolog 1 (Drosophila),chr3:132096123-132228336,14.0919,10.983,0.0023128,-1.28
EPHB6,EPH receptor B6,chr7:142262913-142278967,626.665,488.543,0.000037014,-1.28
RIMS3,regulating synaptic membrane exocytosis 3,chr1:40858938-40903915,544.492,425.131,0.000131599,-1.28
RPH3A,rabphilin 3A homolog (mouse),chr12:111714124-111819627,488.962,381.923,0.00029699,-1.28
NDUFC1,"""NADH dehydrogenase (ubiquinone) 1, subcomplex unknown, 1, 6kDa""",chr4:140430520-140531972,675.683,529.172,4.10605E-07,-1.28
SNX17,sorting nexin 17,chr2:27446892-27453498,456.64,357.946,0.000561782,-1.28
UBL7,ubiquitin-like 7 (bone marrow stromal cell-derived),chr15:72525370-72540576,580.391,455.281,0.000105437,-1.27
GMPPB,GDP-mannose pyrophosphorylase B,chr3:49701973-49736388,20.9659,16.4515,0.000447483,-1.27
MAGED2,"""melanoma antigen family D, 2""",chrX:54850756-54859170,663.35,520.918,3.64755E-05,-1.27
GPER,G protein-coupled estrogen receptor 1,chr7:1003167-1144419,44.9014,35.2648,0.000265721,-1.27
FBXO9,F-box protein 9,chr6:53037754-53073630,346.853,272.723,0.00315761,-1.27
MGAT5B,"""mannosyl (alpha-1,6-)-glycoprotein beta-1,6-N-acetyl-glucosaminyltransferase, isozyme B""",chr17:72376132-72458060,416.602,327.984,0.00120299,-1.27
ATP5A1,"""ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle""",chr18:41918107-41938197,2350.52,1856.16,2.86438E-14,-1.27
LRP3,low density lipoprotein receptor-related protein 3,chr19:38377329-38390383,664.261,524.904,5.53356E-05,-1.27
METRN,"""meteorin, glial cell differentiation regulator""",chr16:705173-707479,873.679,690.563,3.8505E-06,-1.27
TRIM37,tripartite motif-containing 37,chr17:54188230-54539011,310.444,247.321,0.00332404,-1.26
PTPRN,"""protein tyrosine phosphatase, receptor type, N""",chr2:219862588-219882464,933.13,744.117,4.11702E-06,-1.25
NUDT22,nudix (nucleoside diphosphate linked moiety X)-type motif 22,chr11:63750337-63758326,140.754,112.312,0.00361834,-1.25
ATP5C1,"""ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1""",chr10:7870098-7889764,797.496,637.481,2.54426E-05,-1.25
DAZAP2,DAZ associated protein 2,chr12:49918876-49923833,563.586,450.97,0.000418287,-1.25
OMG,oligodendrocyte myelin glycoprotein,chr17:26446120-26728817,392.865,314.801,1.97199E-05,-1.25
NDUFA4,"""NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa""",chr7:10939608-10946305,3092.06,2480.27,2.22045E-16,-1.25
GLA,"""galactosidase, alpha""",chrX:100532632-100555762,51.1068,41.0444,4.03965E-05,-1.25
INF2,"""inverted formin, FH2 and WH2 domain containing""",chr14:104226987-104256992,506.85,407.069,0.0010498,-1.25
SRP9,signal recognition particle 9kDa,chr1:224032153-224044788,450.701,362.91,0.00213633,-1.24
MIR564,microRNA 564,chr3:44878383-44882156,49.1951,39.6207,0,-1.24
RGS4,regulator of G-protein signaling 4,chr1:161305558-161313216,1250.1,1006.81,3.31093E-07,-1.24
FBN3,fibrillin 3,chr19:7929457-8459885,2.11209,1.70105,0.000689695,-1.24
NDUFA5,"""NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 5, 13kDa""",chr7:122968318-122985194,439.093,354.701,0.00279501,-1.24
ABTB1,ankyrin repeat and BTB (POZ) domain containing 1,chr3:128830728-128882452,416.562,336.896,8.24942E-07,-1.24
ATP5D,"""ATP synthase, H+ transporting, mitochondrial F1 complex, delta subunit""",chr19:1192748-1195823,1891.06,1529.77,7.88359E-10,-1.24
KCNF1,"""potassium voltage-gated channel, subfamily F, member 1""",chr2:10969513-10971801,572.548,463.494,0.000720155,-1.24
TONSL,"""tonsoku-like, DNA repair protein""",chr8:145624998-145703357,10.4801,8.48729,2.08075E-05,-1.23
NEFH,"""neurofilament, heavy polypeptide""",chr22:28206218-28217275,810.082,656.8,8.64384E-05,-1.23
FSCN1,"""fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)""",chr7:5598979-5612811,735.892,596.754,0.000142105,-1.23
TREX1,three prime repair exonuclease 1,chr3:48463140-48516665,54.3732,44.0937,0.00152632,-1.23
ATP5G3,"""ATP synthase, H+ transporting, mitochondrial Fo complex, subunit C3 (subunit 9)""",chr2:175749236-175754736,1564.91,1269.59,3.4529E-08,-1.23
SLC15A3,"""solute carrier family 15, member 3""",chr11:60448488-60475833,22.2921,18.0942,6.97516E-06,-1.23
COX8A,cytochrome c oxidase subunit VIIIA (ubiquitous),chr11:63498654-63500590,2597.69,2112.31,1.66667E-12,-1.23
CD74,"""CD74 molecule, major histocompatibility complex, class II invariant chain""",chr5:149761398-149772525,592.705,481.989,0.00076034,-1.23
SYT3,synaptotagmin III,chr19:55817047-55914519,197.087,160.384,0.000417237,-1.23
ZYX,zyxin,chr7:142788294-142798326,545.33,444.288,0.00136839,-1.23
C17orf107,chromosome 17 open reading frame 107,chr17:4728436-4747148,26.1079,21.2811,0.000565846,-1.23
MAP1LC3B,microtubule-associated protein 1 light chain 3 beta,chr16:85983319-85995870,584.895,476.786,0.000925876,-1.23
NCKIPSD,NCK interacting protein with SH3 domain,chr3:48637834-48698338,349.911,285.392,0.00161843,-1.23
CTSD,cathepsin D,chr11:1730560-1741798,1870.61,1525.84,3.51172E-09,-1.23
CACNG7,"""calcium channel, voltage-dependent, gamma subunit 7""",chr19:59104400-59139007,565.015,460.958,0.00126096,-1.23
EIF1B,eukaryotic translation initiation factor 1B,chr3:40326176-40328919,626.134,510.917,0.000647369,-1.23
EGFL7,"""EGF-like-domain, multiple 7""",chr9:138673128-138686951,547.017,446.603,0.00147865,-1.22
CD68,CD68 molecule,chr17:7393098-7426152,3.40524,2.78345,5.27539E-07,-1.22
UBE2QL1,ubiquitin-conjugating enzyme E2Q family-like 1,chr5:6502087-6545705,967.63,791.464,2.75017E-05,-1.22
RNASE1,"""ribonuclease, RNase A family, 1 (pancreatic)""",chr14:20339354-20340876,1559.2,1276.88,1.22669E-07,-1.22
MORF4,mortality factor 4,chr15:76952226-76977127,866.305,709.589,8.14783E-05,-1.22
CTSF,cathepsin F,chr11:66087511-66092623,667.678,547.635,0.000586428,-1.22
CLTC,"""clathrin, heavy chain (Hc)""",chr17:55051831-55129099,473.556,388.552,0.00384826,-1.22
ATP1A1OS,ATP1A1 opposite strand,chr1:116717404-116762720,5.84821,4.80064,0,-1.22
NGEF,neuronal guanine nucleotide exchange factor,chr2:233451664-233588839,1363.29,1119.82,1.07707E-06,-1.22
CACNB1,"""calcium channel, voltage-dependent, beta 1 subunit""",chr17:34583234-34607428,502.888,413.498,0.00319644,-1.22
ATP1A1,"""ATPase, Na+/K+ transporting, alpha 1 polypeptide""",chr1:116717404-116762720,3309.23,2724.61,5.61773E-14,-1.21
APOM,apolipoprotein M,chr6:31714783-31733965,12.7064,10.4762,1.56863E-09,-1.21
SCAND1,SCAN domain containing 1,chr20:34004959-34010808,587.217,484.259,0.00173751,-1.21
ANGPTL4,angiopoietin-like 4,chr19:7929457-8459885,58.8515,48.7956,4.55358E-11,-1.21
IL18BP,interleukin 18 binding protein,chr11:71387234-71469221,33.1661,27.5035,4.15312E-06,-1.21
CHGA,chromogranin A (parathyroid secretory protein 1),chr14:92459197-92471389,2445.22,2028.67,5.61158E-10,-1.21
LGI3,"""leucine-rich repeat LGI family, member 3""",chr8:22060289-22070290,803.754,667.397,0.000385275,-1.20
PPP3CA,"""protein phosphatase 3, catalytic subunit, alpha isozyme""",chr4:102163609-102487376,666.992,554.688,0.00133427,-1.20
H2AFZ,"""H2A histone family, member Z""",chr4:101088264-101090535,683.715,569.03,0.00121359,-1.20
ACAT2,acetyl-CoA acetyltransferase 2,chr6:160103042-160130725,219.923,183.077,0.000205416,-1.20
PSMB3,"""proteasome (prosome, macropain) subunit, beta type, 3""",chr17:34162527-34174003,649.245,540.586,0.00165685,-1.20
FBXL15,F-box and leucine-rich repeat protein 15,chr10:104152365-104172883,371.071,309.112,2.22045E-16,-1.20
C17orf95,chromosome 17 open reading frame 95,chr17:72234534-72245007,69.6693,58.1374,0.000227016,-1.20
PRKACA,"""protein kinase, cAMP-dependent, catalytic, alpha""",chr19:14063508-14089559,617.313,515.203,0.00244644,-1.20
NRSN2,neurensin 2,chr20:275667-283512,1295.6,1081.48,1.16951E-05,-1.20
PPIL1,peptidylprolyl isomerase (cyclophilin)-like 1,chr6:36930585-37004718,122.045,101.888,0.00162207,-1.20
GIPC3,"""GIPC PDZ domain containing family, member 3""",chr19:3441823-3723219,0.953146,0.795806,1.77636E-15,-1.20
STMN3,stathmin-like 3,chr20:61741504-61755226,907.171,757.96,2.00446E-05,-1.20
NDUFAB1,"""NADH dehydrogenase (ubiquinone) 1, alpha/beta subcomplex, 1, 8kDa""",chr16:23499837-23515140,875.191,731.594,0.000346844,-1.20
CD52,CD52 molecule,chr1:26481359-26519600,38.1821,31.9263,0.000430516,-1.20
MICAL2,"""microtubule associated monoxygenase, calponin and LIM domain containing 2""",chr11:12088713-12241903,571.683,478.028,0.00389188,-1.20
FAM127C,"""family with sequence similarity 127, member C""",chrX:133982208-134013871,48.4566,40.5777,1.33991E-07,-1.19
BAALC,"""brain and acute leukemia, cytoplasmic""",chr8:104222096-104380152,906.943,759.739,0.000308465,-1.19
ATP5B,"""ATP synthase, H+ transporting, mitochondrial F1 complex, beta polypeptide""",chr12:55318229-55326119,3779.06,3167.41,2.31593E-13,-1.19
OLIG1,oligodendrocyte transcription factor 1,chr21:33364319-33366596,624.395,523.444,0.00292733,-1.19
DSTN,destrin (actin depolymerizing factor),chr20:17498598-17536652,1090.05,915.01,9.46074E-05,-1.19
PFKM,"""phosphofructokinase, muscle""",chr12:46787423-46826154,604.353,507.319,0.00365498,-1.19
SPP1,secreted phosphoprotein 1,chr4:89115825-89123586,609.324,511.497,0.00352348,-1.19
C1orf122,chromosome 1 open reading frame 122,chr1:38032360-38047713,755.245,634.246,0.0000375,-1.19
PPT1,palmitoyl-protein thioesterase 1,chr1:40310971-40335555,630.851,529.976,0.00340258,-1.19
NDRG3,NDRG family member 3,chr20:34713582-34807895,713.527,599.483,0.00168112,-1.19
UQCRFS1,"""ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1""",chr19:34390136-34395883,673.417,566.54,0.00243422,-1.19
RBFOX3,"""RNA binding protein, fox-1 homolog (C. elegans) 3""",chr17:74597021-74990275,680.362,572.386,0.00231222,-1.19
QDPR,quinoid dihydropteridine reductase,chr4:17097120-17122811,2177.52,1831.97,5.02502E-08,-1.19
NAT8L,"""N-acetyltransferase 8-like (GCN5-related, putative)""",chr4:2031384-2037433,724.725,610.016,0.00171337,-1.19
ATP13A2,ATPase type 13A2,chr1:17185039-17211010,629.92,530.754,0.00365589,-1.19
ATP2B2,"""ATPase, Ca++ transporting, plasma membrane 2""",chr3:10340706-10724716,647.365,545.875,0.00338728,-1.19
C9orf16,chromosome 9 open reading frame 16,chr9:129962359-129966028,2146.96,1812.55,1.10857E-07,-1.18
CLPTM1,cleft lip and palate associated transmembrane protein 1,chr19:50150476-50188438,775.667,655.067,0.00145014,-1.18
TTYH1,tweety homolog 1 (Drosophila),chr19:59618416-59639892,1513.15,1278.21,9.81934E-06,-1.18
PTGDS,prostaglandin D2 synthase 21kDa (brain),chr9:138991776-138996014,8875.69,7498.07,0,-1.18
IGFBP7,insulin-like growth factor binding protein 7,chr4:57524292-57671308,391.105,330.686,0.000370044,-1.18
RPLP0,"""ribosomal protein, large, P0""",chr12:119118892-119123397,849.224,718.108,0.0009435,-1.18
C16orf42,chromosome 16 open reading frame 42,chr16:1323654-1341876,434.904,368.061,4.86015E-06,-1.18
GABARAPL2,GABA(A) receptor-associated protein-like 2,chr16:74157749-74169279,1227.47,1039.53,8.05876E-05,-1.18
SNN,stannin,chr16:11669801-11744149,717.017,607.285,0.00153102,-1.18
BAI2,brain-specific angiogenesis inhibitor 2,chr1:31965304-32002528,762.37,646.123,0.00198142,-1.18
