row,gene.up,gene.down
89,APOBEC3A,APBB1
90,APOBEC3F,APLP1
91,APOE,APP
92,APOL6,ARC
93,APOLD1,ARF5
94,APPL2,ARG2
95,AQP1,ARHGAP20
96,AQP4,ARHGAP36
97,ARAP1,ARHGAP44
98,ARAP2,ARHGDIG
99,ARHGAP19,ARHGEF2
100,ARHGAP29,ARHGEF3
101,ARHGAP31,ARHGEF9
102,ARHGAP42,ARL10
103,ARHGAP5,ARL15
104,ARHGAP6,ARL4D
105,ARHGEF1,ARL6
106,ARHGEF10,ARMC9
107,ARHGEF26,ARNTL2
108,ARHGEF40,ARPC5
109,ARHGEF6,ARPC5L
110,ARID5A,ARPP21
111,ARL17A,ASB2
112,ARL6IP6,ASH2L
113,ARL9,ASL
114,ARRDC3,ASNS
115,ARRDC4,ATF3
116,ARSF,ATG16L1
117,ARSJ,ATL1
118,AS3MT,ATP1A1
119,ASAP3,ATP1A3
120,ASB14,ATP1B1
121,ASCL1,ATP1B3
122,ASF1A,ATP2B1
123,ASPA,ATP2B2
124,ASTN2,ATP2B3
125,ATAD2B,ATP5A1
126,ATAD3C,ATP5B
127,ATF7,ATP5G3
128,ATL3,ATP6AP1
129,ATOH8,ATP6AP2
130,ATP10D,ATP6V0A1
131,ATP11A,ATP6V0B
132,ATP11C,ATP6V0C
133,ATP13A4,ATP6V0D1
134,ATP13A5,ATP6V0E2
135,ATP1A2,ATP6V1A
136,ATP1B2,ATP6V1B2
137,ATP8B5P,ATP6V1C1
138,AXL,ATP6V1D
139,AZGP1,ATP6V1E1
140,BACH1,ATP6V1G2
141,BAG3,ATP6V1H
142,BARD1,ATP8A1
143,BATF2,ATP8A2
144,BAZ1A,ATP8B1
145,BAZ2B,ATP9A
146,BBOX1,ATRN
147,BBX,ATRNL1
148,BCAN,ATXN10
149,BCAR3,AUH
150,BCAS1,AVL9
151,BCAT2,B3GALT2
152,BCCIP,B3GALT4
153,BCHE,B3GNT1
154,BCL10,B3GNT2
155,BCL2,B3GNT4
156,BCL2L11,B4GALNT1
157,BCL2L12,B4GALT6
158,BCL3,B7H6
159,BCL6,B9D1
160,BCL6B,B9D2
161,BDH2,BAIAP3
162,BEND7,BASP1
163,BEST1,BBS12
164,BEST3,BBS7
165,BGLAP,BCAS2
166,BHMT2,BCAS3
167,BLM,BCKDK
168,BMP1,BCL11A
169,BMP7,BDNF
170,BMPR1B,BECN1
171,BNIP2,BEND4
172,BOC,BEND5
173,BPTF,BET1
174,BRAF,BEX1
175,BRCA1,BEX2
176,BRIP1,BEX5
177,BROX,BFSP1
178,BRWD3,BMPER
179,BTBD17,BRE
180,BTBD7,BRF2
181,BTN2A2,BSCL2
182,C1QTNF3,BSN
183,CA2,BTBD10
184,CABLES1,BZW2
185,CABP4,C1D
186,CACHD1,C1GALT1C1
187,CALCOCO2,C1QL3
188,CALCRL,C1QTNF4
189,CAMKMT,C2CD2L
190,CAPG,C3
191,CAPN2,C3AR1
192,CARD8,CA10
193,CARHSP1,CA4
194,CASKIN2,CAB39
195,CASP4,CABYR
196,CASP6,CACNA1B
197,CASP7,CACNA1C
198,CAT,CACNA1E
199,CATSPER2P1,CACNA1G
200,CBS,CACNA2D2
201,CCAR1,CACNA2D3
202,CCDC102A,CACNB1
203,CCDC102B,CACNG2
204,CCDC11,CACNG3
205,CCDC120,CADM3
206,CCDC122,CADPS
207,CCDC144A,CADPS2
208,CCDC144B,CALB1
209,CCDC144C,CALHM2
210,CCDC146,CALM3
211,CCDC148,CALY
212,CCDC152,CAMK1G
213,CCDC159,CAMK2B
214,CCDC160,CAMK2D
215,CCDC163P,CAMKK1
216,CCDC18,CAMKK2
217,CCDC30,CAMKV
218,CCDC50,CANT1
219,CCDC66,CAP2
220,CCDC7,CASD1
221,CCDC76,CASQ1
222,CCDC8,CBLN1
223,CCDC85C,CBLN2
224,CCDC88A,CBLN4
225,CCDC99,CCBL2
226,CCNG2,CCDC132
227,CCNI2,CCDC64
228,CCNL1,CCDC73
229,CCNT1,CCDC86
230,CD109,CCK
231,CD22,CCKBR
232,CD248,CCNA1
233,CD302,CCNB1
234,CDC14A,CCNC
235,CDC14B,CCNDBP1
236,CDC42EP1,CCNE1
237,CDC42EP4,CCNH
238,CDCA7L,CCT5
239,CDH20,CCT7
240,CDH3,CD101
241,CDH4,CD200
242,CDH5,CD24
243,CDK19,CD47
244,CDK2,CD53
245,CDK3,CD74
246,CDK5RAP3,CD83
247,CDK6,CD97
248,CDKL3,CD99L2
249,CDKN1A,CDC6
250,CDKN2B,CDH12
251,CDKN2C,CDH13
252,CDR1,CDH18
253,CEACAM19,CDH22
254,CEACAM22P,CDH8
255,CEBPD,CDH9
256,CECR1,CDHR1
257,CENPB,CDK14
258,CENPC1,CDK17
259,CENPE,CDK20
260,CEP112,CDK5
261,CEP128,CDK5R1
262,CEP192,CDK5R2
263,CEP290,CDK5RAP1
264,CEP350,CDKN2AIPNL
265,CEP44,CDT1
266,CETN3,CEBPA
267,CFH,CECR6
268,CGN,CELSR2
269,CGNL1,CENPP
270,CHD7,CEP72
271,CHD9,CERS6
272,CHDH,CFL1
273,CHI3L1,CGREF1
274,CHIC2,CHAF1B
275,CHRDL1,CHCHD6
276,CHST14,CHGA
277,CHST3,CHGB
278,CHST6,CHL1
279,CHSY1,CHML
280,CIB1,CHMP7
281,CKMT2,CHN1
282,CLDN10,CHN2
283,CLEC2D,CHPF2
284,CLU,CHRM1
285,CMTM5,CHRNA7
286,CMTM7,CHRNB2
287,CMYA5,CHST15
288,CNKSR3,CHST2
289,CNN3,CHSY3
290,CNTFR,CIAPIN1
291,CNTLN,CISD1
292,CNTRL,CITED2
293,COL11A1,CKMT1A
294,COL28A1,CLCN4
295,COL4A3,CLEC14A
296,COL4A4,CLEC2L
297,COL4A5,CLP1
298,COL9A1,CLSTN1
299,COLEC12,CLSTN2
300,COMT,CLSTN3
301,COX6B2,CLTC
302,CPAMD8,CLTCL1
303,CPM,CLVS1
304,CPNE2,CMAS
305,CPNE3,CMC1
306,CPT1A,CMKLR1
307,CPT2,CNIH3
308,CRB1,CNN1
309,CRB2,CNR1
310,CREB5,CNST
311,CRISPLD1,CNTN3
312,CRISPLD2,CNTN4
313,CRX,CNTN6
314,CRYAB,CNTNAP1
315,CRYBG3,CNTNAP2
316,CRYL1,COG8
317,CSDA,COL24A1
318,CSDC2,COL5A2
319,CSPG4,COMTD1
320,CSPP1,COPS3
321,CSRP1,COPS4
322,CTDSP1,COPS7A
323,CTDSP2,COQ2
324,CTNNA1,COQ3
325,CTPS2,CORO1A
326,CTSH,CORO2A
327,CWC22,CORT
328,CXCL16,COX5A
329,CXCR7,CPLX1
330,CYBRD1,CPNE4
331,CYP11A1,CPNE5
332,CYP27A1,CPNE6
333,CYP2J2,CPNE7
334,CYP2U1,CPNE9
335,CYP4V2,CPXM2
336,CYP7B1,CRABP1
337,DAAM2,CREG2
338,DAPK2,CRHBP
339,DBX2,CRHR1
340,DCHS1,CRIP1
341,DCHS2,CRTAC1
342,DDAH1,CRYM
343,DDAH2,CSF1R
344,DDIT4,CSF2RA
345,DDIT4L,CSMD1
346,DDO,CSRNP2
347,DDR1,CTGF
348,DDR2,CTXN3
349,DDX31,CUTC
350,DDX58,CX3CL1
351,DDX59,CXADR
352,DDX60,CYB561
353,DECR1,CYB5RL
354,DENND2A,CYBA
355,DFNB31,CYBB
356,DHFR,CYP26B1
357,DHTKD1,CYP2E1
358,DIAPH2,CYP46A1
359,DIAPH3,CYP4X1
360,DIO2,CYTH4
361,DKFZP434I0714,D4S234E
362,DLEU2,DAK
363,DLG5,DAPK3
364,DLL1,DCAF6
365,DNAH7,DCDC2
366,DNAJC15,DCK
367,DNALI1,DCLK1
368,DND1,DCTN1
369,DNHD1,DCTN2
370,DNM1P41,DCTN3
371,DNMBP,DEGS1
372,DNMT3B,DGAT2
373,DOCK1,DGCR10
374,DOCK11,DGCR9
375,DOCK5,DGKB
376,DOCK6,DGKI
377,DOCK7,DHCR24
378,DPF3,DHPS
379,DPH3P1,DHRS11
380,DPY19L3,DIRAS1
381,DPY19L4,DIRAS2
382,DSC2,DISP2
383,DSC3,DIXDC1
384,DSE,DLG3
385,DST,DLGAP1
386,DTNA,DLGAP2
387,DTX3L,DLK2
388,DUXA,DLL4
389,DYNC2H1,DMKN
390,DYX1C1,DMXL2
391,DZIP1,DNAJA3
392,EBF4,DNAJB5
393,EBLN2,DNAJC5G
394,ECHDC2,DNAJC6
395,ECI2,DNM1
396,EDA,DNM1L
397,EDN1,DNM3
398,EDNRA,DOC2A
399,EDNRB,DOCK3
400,EFCAB2,DOPEY2
401,EFEMP1,DPF1
402,EFEMP2,DPH1
403,EFHD1,DPP10
404,EFNA1,DPP6
405,EFNB1,DPY19L1
406,EFS,DRD1
407,EGFEM1P,DRD5
408,EGFR,DRP2
409,EGLN3,DSTN
410,EHD2,DTD1
411,EHMT1,DUSP1
412,EIF2C2,DUSP12
413,EIF4EBP1,DUSP14
414,EIF4EBP3,DUSP2
415,ELF1,DUSP3
416,ELOVL2,DUSP5
417,ELOVL5,DUSP6
418,ELOVL7,DYNC1I1
419,ELP4,DYNC1LI1
420,ELTD1,DYNLT3
421,EMILIN2,E2F1
422,EMP1,EAF1
423,EMP2,EBNA1BP2
424,EMP3,EBP
425,EMX2,ECM1
426,EMX2OS,ECT2
427,ENAH,EDN3
428,ENKUR,EEF1A2
429,ENPEP,EEF1E1
430,ENPP1,EFHA2
431,ENTPD2,EFNA3
432,EPB41,EFNB3
433,EPB41L5,EFR3A
434,EPHX1,EGR1
435,EPHX2,EGR3
436,EPOR,EGR4
437,EPS8,EHD3
438,ERBB2,EHF
439,ERBB2IP,EID2
440,ERBB3,EID2B
441,ERLIN2,EIF2B3
442,ERMN,EIF4A2
443,ERVV-1,EIF4E1B
444,ESF1,EIF6
445,ESRG,ELAVL2
446,ETAA1,ELL3
447,EXD1,ELMOD1
448,EYA1,ELOVL4
449,EYA2,EMB
450,EZH2,EMID2
451,EZR,ENC1
452,F3,ENO2
453,FABP7,ENPP5
454,FAH,ENPP6
455,FAM101B,ENSA
456,FAM106CP,ENTPD3
457,FAM107A,ENTPD6
458,FAM107B,EPB41L3
459,FAM109B,EPDR1
460,FAM111A,EPHA10
461,FAM114A1,EPHA3
462,FAM115C,EPHA4
463,FAM120C,EPHA5
464,FAM123A,EPHA7
465,FAM151B,EPHB6
466,FAM153A,EPHX4
467,FAM167A,EPT1
468,FAM168A,ERLEC1
469,FAM171B,ETS2
470,FAM176B,ETV5
471,FAM181B,EXOC6
472,FAM189A2,EXOC8
473,FAM18B2,EXTL1
474,FAM195A,F12
475,FAM198A,F13A1
476,FAM198B,FABP3
477,FAM199X,FAHD2B
478,FAM59B,FAIM2
479,FAM63A,FAM102B
480,FAM63B,FAM105A
481,FAM70A,FAM123C
482,FAM82B,FAM129A
483,FAM84B,FAM131A
484,FAM95B1,FAM131B
485,FANCC,FAM134A
486,FARP1,FAM135B
487,FAS,FAM163A
488,FAT1,FAM171A2
489,FAT4,FAM174A
490,FBXL7,FAM174B
491,FBXO15,FAM18A
492,FBXO30,FAM19A1
493,FBXO48,FAM19A2
494,FBXO8,FAM3C
495,FBXW4,FAM40A
496,FCAR,FAM49A
497,FCHSD1,FAM49B
498,FCHSD2,FAM73A
499,FDPSL2A,FAM81A
500,FER1L4,FAM84A
501,FERMT2,FANCF
502,FERMT3,FARSA
503,FES,FARSB
504,FGD4,FBLN5
505,FGD6,FBLN7
506,FGF1,FBXL2
507,FGF11,FBXO31
508,FGF17,FBXO32
509,FGF2,FBXO34
510,FGFR2,FBXO40
511,FGFR3,FBXO9
512,FGFRL1,FBXW9
513,FGR,FCGBP
514,FHDC1,FCRLB
515,FIGN,FDPS
516,FKBP10,FEN1
517,FKBP14,FGF13
518,FKBP5,FGF14
519,FLJ16779,FGF18
520,FLJ35776,FGF9
521,FLJ41200,FHL2
522,FLJ42875,FIBP
523,FLJ43826,FIG4
524,FLJ46906,FIGNL2
525,FLT1,FKBPL
526,FMNL2,FLJ32063
527,FMO5,FLRT3
528,FNBP1,FLT3
529,FOXH1,FLT4
530,FOXM1,FMOD
531,FOXN2,FNDC9
532,FOXO1,FOLR2
533,FOXO4,FOS
534,FRAT1,FOSB
535,FREM2,FOXC1
536,FRMD5,FRAS1
537,FRMD8,FREM1
538,FRS2,FRMPD2P1
539,FRYL,FRMPD4
540,FSIP1,FRY
541,FSTL1,FSCN1
542,FTL,FSTL4
543,FUBP3,FSTL5
544,FUT10,FTO
545,FUT2,FUCA1
546,FYCO1,FXYD6
547,FYN,G3BP2
548,FZD5,GABARAPL1
549,GAB1,GABBR2
550,GAB2,GABRA1
551,GAB3,GABRA3
552,GABPB2,GABRA4
553,GABRG1,GABRA5
554,GADD45A,GABRB2
555,GADD45B,GABRB3
556,GADD45G,GABRD
557,GALM,GABRG2
558,GALNT10,GAD1
559,GAN,GALK1
560,GATAD2A,GALNT14
561,GATM,GALNT9
562,GATSL3,GALNTL4
563,GBGT1,GARS
564,GBP1,GAS2
565,GCFC1,GAS7
566,GCNT2,GBE1
567,GDF11,GCNT1
568,GFAP,GCNT4
569,GFRA1,GDA
570,GGT8P,GDAP1L1
571,GHRLOS,GDPD5
572,GIMAP7,GEMIN7
573,GJA1,GFPT1
574,GJB6,GFRA2
575,GKAP1,GGCT
576,GLI3,GGT7
577,GLIPR1L2,GIMAP8
578,GLIS2,GINS3
579,GLIS3,GLB1L3
580,GLUD1,GLCE
581,GLUL,GLIPR1
582,GM2A,GLMN
583,GMNN,GLRA3
584,GMPR,GLRB
585,GNA12,GLRX2
586,GNA13,GLRX3
587,GNA14,GLS
588,GNAI3,GLS2
589,GNG12,GLT1D1
590,GNG5,GMPPB
591,GOLGA4,GMPR2
592,GOLGA6L10,GNA15
593,GOLGA6L9,GNAI1
594,GOLGB1,GNG2
595,GOLIM4,GNG3
596,GPAM,GNPDA1
597,GPANK1,GOT1
598,GPATCH2,GOT2
599,GPC5,GPAA1
600,GPD2,GPD1
601,GPER,GPI
602,GPIHBP1,GPR12
603,GPM6B,GPR126
604,GPNMB,GPR158
605,GPR125,GPR22
606,GPR137B,GPR3
607,GPR143,GPR34
608,GPR146,GPR63
609,GPR153,GPR85
610,GPR161,GPR88
611,GPR17,GPRASP2
612,GPR37L1,GRASP
613,GPR4,GREM2
614,GPR56,GRIA1
615,GPR75,GRIA2
616,GPR82,GRIA3
617,GPR98,GRIN1
618,GPRC5B,GRIN2A
619,GPSM2,GRIN3A
620,GPT2,GRM1
621,GRAMD1C,GRM2
622,GRAMD3,GRM5
623,GRIN2C,GRM7
624,GRIN2D,GRM8
625,GSTM5,GSK3B
626,GTF2A1,GSS
627,GTF2H2,GSTO1
628,GUSBP3,GUCY1B3
629,GXYLT1,GULP1
630,H6PD,HAGH
631,HADHB,HAPLN1
632,HAP1,HAPLN4
633,HAT1,HAR1A
634,HAUS3,HAR1B
635,HAUS6,HBQ1
636,HBA1,HCCS
637,HBA2,HCN1
638,HBB,HCST
639,HBP1,HDAC9
640,HDAC1,HEATR5B
641,HEATR4,HECW1
642,HEATR5A,HENMT1
643,HEPACAM,HERPUD1
644,HEPH,HHIP
645,HERC2P1,HIAT1
646,HERC2P2,HINT1
647,HERC2P3,HIPK4
648,HERC5,HIST3H2A
649,HES6,HK1
650,HEYL,HLA-DMB
651,HFM1,HLA-DPA1
652,HHIPL1,HLA-DPB1
653,HHLA2,HLA-DRA
654,HIF3A,HLA-DRB1
655,HIGD1B,HLA-L
656,HIP1,HLF
657,HIP1R,HMGCLL1
658,HIPK2,HMGCR
659,HIPK3,HMGCS1
660,HIST1H1C,HMOX2
661,HIST1H2AC,HMP19
662,HIST1H4C,HN1
663,HMGB2,HOMER1
664,HMGN3,HOMER2
665,HMGN5,HPCA
666,HMOX1,HPRT1
667,HNF1A-AS1,HPS6
668,HNMT,HRH2
669,HNRNPF,HS3ST2
670,HOGA1,HS3ST5
671,HPR,HS6ST2
672,HRSP12,HS6ST3
673,HSD17B13,HSPA12A
674,HSD17B6,HSPA8
675,HSD3B7,HSPB3
676,HSD3BP4,HTR1E
677,HSDL2,HTR2A
678,HSP90AB2P,HTR2C
679,HSPA1A,HTR5A
680,HSPA1B,HTR7P1
681,HSPB1,HUNK
682,HTR1F,IARS
683,HTRA1,ICA1
684,HVCN1,ICAM5
685,HYAL2,IDI1
686,HYDIN,IER2
687,ICAM1,IER5
688,ID4,IGFBP2
689,IFI16,IGFBP3
690,IFI30,IGFBP6
691,IFIH1,IGSF3
692,IFIT2,IL12RB2
693,IFITM2,IL18
694,IFITM3,IL34
695,IFT74,IMMT
696,IFT88,IMPA1
697,IGDCC4,INA
698,IGSF11,INHBA
699,IKZF2,INO80C
700,IKZF5,INPP4A
701,IL17D,INPP5F
702,IL17RB,INPP5J
703,IL17RD,INSIG1
704,IL20RA,IPCEF1
705,IL28RA,IQCC
706,IL32,ISCA1
707,IL33,ISLR
708,IL4R,ITFG1
709,IL6R,ITGA3
710,IL6ST,ITGB1BP1
711,INGX,ITPA
712,INHBB,ITPR1
713,INPPL1,JAKMIP1
714,INTU,JAZF1
715,IQCA1,JMJD4
716,IQCK,JPH1
717,IQGAP1,JUNB
718,IRAK1BP1,KALRN
719,IRAK3,KANK4
720,IRAK4,KCNA1
721,IRF1,KCNA3
722,IRF7,KCNAB1
723,ISCA2,KCNB1
724,ITGA6,KCNB2
725,ITGA7,KCNC1
726,ITGAV,KCNC2
727,ITGB5,KCND2
728,ITGB8,KCNF1
729,ITPKB,KCNG3
730,ITPKC,KCNH1
731,ITPR2,KCNIP3
732,ITPRIP,KCNIP4
733,ITSN1,KCNJ11
734,ITSN2,KCNJ12
735,IZUMO4,KCNJ3
736,JMJD1C,KCNJ4
737,JMJD6,KCNK1
738,JMJD7,KCNK10
739,JPX,KCNK2
740,JUP,KCNK4
741,KAL1,KCNQ5
742,KANK1,KCNS1
743,KAT2B,KCNT1
744,KATNA1,KCNV1
745,KATNAL2,KCTD8
746,KBTBD10,KHDRBS2
747,KCNA7,KHK
748,KCNE4,KIAA0513
749,KCNJ10,KIAA0748
750,KCNJ16,KIAA0895
751,KCNMB3,KIAA1045
752,KCNN3,KIAA1239
753,KCNQ1OT1,KIAA1383
754,KCTD14,KIAA1467
755,KCTD15,KIAA1549
756,KCTD3,KIAA1751
757,KDELC2,KIAA1797
758,KDM3A,KIF12
759,KDM5A,KIF17
760,KDM6A,KIF3C
761,KHNYN,KIF9
762,KIAA0020,KIFAP3
763,KIAA0040,KLC1
764,KIAA0087,KLC2
765,KIAA0195,KLF10
766,KIAA0494,KLHDC1
767,KIAA0754,KLHDC3
768,KIAA1161,KLHL12
769,KIAA1407,KLK5
770,KIAA1524,KNCN
771,KIAA1614,KRT17
772,KIAA1755,KRT222
773,KIF13A,L1CAM
774,KIF13B,LAMB1
775,KIF16B,LANCL1
776,KIF1C,LAPTM5
777,KIF20B,LARGE
778,KIF27,LARP6
779,KIF5A,LBH
780,KIF5B,LCLAT1
781,KIF7,LCP2
782,KLF12,LDB2
783,KLF15,LDB3
784,KLF3,LDHA
785,KLF7,LDOC1
786,KLHL15,LGI2
787,KLHL24,LGI3
788,KLHL5,LGMN
789,KLKB1,LINGO1
790,KLLN,LMCD1
791,KLRC3,LMO4
792,KLRD1,LMTK2
793,KPNA5,LNX1
794,KRBA2,LOC100126784
795,KRCC1,LOC100128361
796,KREMEN1,LOC100128811
797,KRR1,LOC100128822
798,KSR1,LOC100129550
799,KTN1,LOC100130855
800,L1TD1,LOC100131320
801,LAMA1,LOC100132891
802,LAMA3,LOC100133669
803,LARS2,LOC100144602
804,LAYN,LOC100189589
805,LCA5,LOC100294362
806,LEPROT,LOC100302640
807,LFNG,LOC100329109
808,LGALS3,LOC100499489
809,LGALS3BP,LOC145783
810,LGR4,LOC145837
811,LHFPL3,LOC148189
812,LHPP,LOC152217
813,LHX2,LOC253039
814,LIFR,LOC283731
815,LIMD1,LOC284578
816,LIMK2,LOC286002
817,LIMS1,LOC286367
818,LITAF,LOC338651
819,LIX1,LOC338758
820,LIX1L,LOC344595
821,LLGL1,LOC389332
822,LMAN1,LOC389834
823,LMNB1,LOC401093
824,LMOD3,LOC401431
825,LNPEP,LOC440040
826,LOC100128288,LOC646329
827,LOC100129034,LOC646627
828,LOC100129917,LOC646903
829,LOC100130000,LOC728024
830,LOC100130557,LOC728554
831,LOC100130872,LOC79015
832,LOC100130894,LOC81691
833,LOC100130954,LOC84856
834,LOC100131257,LOC91149
835,LOC100131691,LOC93622
836,LOC100132215,LOH12CR1
837,LOC100132356,LPAR6
838,LOC100132774,LPCAT2
839,LOC100134868,LPCAT4
840,LOC100170939,LPGAT1
841,LOC100188947,LPPR4
842,LOC100190938,LPPR5
843,LOC100190986,LRFN2
844,LOC100216545,LRFN3
845,LOC100268168,LRFN5
846,LOC100270804,LRP11
847,LOC100272146,LRPAP1
848,LOC100272216,LRRC4
849,LOC100272228,LRRC40
850,LOC100289019,LRRC55
851,LOC100335030,LRRC7
852,LOC100499183,LRRC8B
853,LOC100499467,LRRK1
854,LOC100499484,LRRN2
855,LOC145663,LRRTM1
856,LOC147804,LRRTM3
857,LOC150381,LRRTM4
858,LOC151174,LRTM2
859,LOC158376,LTC4S
860,LOC221442,LY86-AS1
861,LOC283089,LYNX1
862,LOC283335,LYSMD2
863,LOC283693,LZTFL1
864,LOC284215,MAD2L1BP
865,LOC284412,MADD
866,LOC284440,MAEA
867,LOC284454,MAGED1
868,LOC285359,MAGEE1
869,LOC338799,MAGEH1
870,LOC375190,MAGEL2
871,LOC387646,MAGIX
872,LOC387647,MAL2
873,LOC389765,MAN1A1
874,LOC400550,MANSC1
875,LOC401397,MAP1LC3A
876,LOC442293,MAP2K1
877,LOC613037,MAP2K4
878,LOC642236,MAP2K5
879,LOC643406,MAP2K6
880,LOC644961,MAP3K12
881,LOC645431,MAP6D1
882,LOC646214,MAPK13
883,LOC646762,MAPK9
884,LOC648987,MAPRE3
885,LOC650623,MARCH4
886,LOC651250,MARK1
887,LOC653075,MARS2
888,LOC727849,MASTL
889,LOC727896,MB21D2
890,LOC728323,MBLAC1
891,LOC729513,MBOAT7
892,LOC729603,MCAM
893,LOC90834,MCAT
894,LOC91948,MCEE
895,LOXL2,MCHR1
896,LPAR1,MCHR2
897,LPIN3,MCOLN1
898,LPL,MCTP1
899,LRAT,MDH1
900,LRIG1,MDH1B
901,LRP10,MDH2
902,LRP4,ME3
903,LRRC1,MECOM
904,LRRC16A,MECR
905,LRRC32,MEF2A
906,LRRC34,MEF2C
907,LRRC37A2,MEF2D
908,LRRC39,MET
909,LRRC3B,METTL11A
910,LRRC6,METTL13
911,LRRC8A,METTL21D
912,LRRCC1,MEX3B
913,LRRIQ1,MFAP4
914,LTBR,MFSD3
915,LUC7L3,MFSD4
916,LY6G5C,MFSD6
917,LYAR,MGP
918,LYN,MICAL2
919,LYPD1,MKL2
920,LYZ,MKRN1
921,MAB21L3,MKX
922,MACC1,MLIP
923,MACF1,MLLT11
924,MAGT1,MLYCD
925,MAL,MOAP1
926,MALAT1,MOGS
927,MAML2,MORF4L2
928,MAN1A2,MOSPD1
929,MAOA,MPEG1
930,MAP1LC3C,MPP1
931,MAP3K1,MPP7
932,MAP3K2,MPPED1
933,MAP3K6,MRAP2
934,MAP3K8,MRPL2
935,MAP4,MRPL36
936,MAP4K4,MRPL37
937,MAPK4,MRPL45
938,MAPKAPK2,MRPS12
939,MAPKAPK3,MRPS27
940,MAPRE1,MRPS30
941,MARCH3,MSC
942,MARCKSL1,MTCH1
943,MASP2,MTHFD1L
944,MAVS,MTMR12
945,MBNL3,MTMR4
946,MBP,MTMR6
947,MCC,MTMR7
948,MCCC2,MTUS2
949,MCF2L2,MTX2
950,MCL1,MUC12
951,MCM3AP-AS1,MUM1L1
952,MCM5,MYADM
953,MCM7,MYADML2
954,MCM8,MYH11
955,MDFI,MYL9
956,MDFIC,MYLK4
957,MDK,MYO15A
958,MED13,MYO5B
959,MEGF10,MZT1
960,MEGF11,NAA30
961,MEIS1,NACAD
962,MERTK,NAF1
963,METRN,NANS
964,METRNL,NAP1L2
965,METTL7A,NAP1L5
966,MEX3A,NAPA
967,MFAP3L,NAPB
968,MFGE8,NAPG
969,MGA,NAT6
970,MGAT4C,NBEA
971,MGC16275,NCALD
972,MGST1,NCDN
973,MICALL1,NCEH1
974,MID1,NCOA7
975,MID1IP1,NDEL1
976,MIER3,NDFIP1
977,MKLN1,NDFIP2
978,MKNK2,NDN
979,MLC1,NDRG3
980,MLKL,NDRG4
981,MLL,NDST3
982,MLL3,NDUFA10
983,MMP14,NDUFA4
984,MMP16,NDUFA9
985,MMP28,NDUFAB1
986,MNDA,NDUFAF4
987,MNS1,NDUFB6
988,MOBP,NDUFC2
989,MOV10,NDUFS2
990,MPHOSPH9,NDUFV1
991,MPP6,NDUFV2
992,MPST,NECAB1
993,MRO,NECAP1
994,MRPL42P5,NEFH
995,MRPL45P2,NEFL
996,MRVI1,NEGR1
997,MSI1,NELL1
998,MSI2,NELL2
999,MSL3P1,NETO1
1000,MSN,NETO2
1001,MST1P9,NEUROD6
1002,MSTN,NGEF
1003,MT1E,NHLRC1
1004,MT1F,NHP2L1
1005,MT1G,NICN1
1006,MT1L,NINJ2
1007,MT1M,NIP7
1008,MT1X,NIPSNAP1
