Sequence Name,Sequence Symbol,Source,Fold Change (Absolute),Directional Change in ASD,RNAlength (nt),Chromosome,Strand,Tx Start,Tx End,Genomic Orientation
uc001lsk.1,AK126635,UCSC_knowngene,3.27,up,1828,chr11,-,856879,858707,intronic antisense
ENST00000465478,RP11-777J24.1,Ensembl,3.24,down,348,chr8,-,93156315,93156663,intergenic
AK022117,,NRED,3.23,up,2010,chr14,+,55170988,55172998,intron sense-overlapping
ENST00000428573,RP11-569A11.1,Ensembl,3.18,up,314,chr1,+,202573395,202574421,intronic antisense
AL110130,,misc_RNA,3.12,down,2409,chr2,+,55852072,55858573,intergenic
ENST00000381105,RP11-706O15.7,Ensembl,3.11,up,2118,chrX,-,3847909,3855896,intergenic
AF086092,,misc_RNA,3.02,up,677,chr4,-,46245567,46246232,intergenic
AL117570,,misc_RNA,3.02,up,2424,chr15,-,35397324,35399722,intergenic
BC070168,lincRNA-TSPAN8,lincRNA,2.99,down,1543,chr12,-,71518868,71835678,exon sense-overlapping
ENST00000453951,AC104135.4,Ensembl,2.98,up,1266,chr2,+,75167384,75169797,intergenic
ENST00000412804,AC024168.2,Ensembl,2.98,down,858,chr3,-,4532574,4534847,bidirectional
AF289584,lincRNA-NKD1,lincRNA,2.98,up,2142,chr16,+,50369047,50668127,exon sense-overlapping
AA309472,lincRNA-SHANK2,lincRNA,2.98,up,320,chr11,-,71083066,71083386,intergenic
chr2:192293450-192304436+,lincRNA-OBFC2A-4,lincRNA,2.95,up,10987,chr2,+,192293450,192304436,intergenic
NR_004401,SEC1,RefSeq_NR,2.95,up,2649,chr19,+,49141295,49185501,bidirectional
AK026818,,misc_RNA,2.95,up,2117,chr7,+,55277223,55279319,intergenic
ENST00000417311,RP11-84P7.2,Ensembl,2.94,down,504,chr9,+,36307038,36315276,intergenic
NR_015423,LOC572558,RefSeq_NR,2.91,down,536,chr9,-,70970110,70972757,intronic antisense
ENST00000454989,RP6-29D12.2,Ensembl,2.90,up,520,chrX,+,53370191,53370711,intergenic
ENST00000434182,AL450992.2,Ensembl,2.88,down,506,chr1,+,151814352,151822861,intronic antisense
NR_028351,FLJ33360,RefSeq_NR,2.87,down,2419,chr5,-,6310553,6337405,intergenic
AF085951,,RNAdb,2.86,up,380,chr9,-,130870856,130871227,natural antisense
AF095854,,misc_RNA,2.84,up,718,chr20,+,49714674,49715369,intergenic
BC008363,,misc_RNA,2.84,up,1487,chr5,-,101942492,101943947,intergenic
AK022202,,NRED,2.83,up,2491,chr3,+,10011656,10014146,natural antisense
CR606596,,misc_RNA,2.83,up,1155,chr3,-,13858241,13859396,intergenic
HIT000325798,,H-invDB,2.83,up,205,chr3,+,15907724,15907924,intergenic
ENST00000417878,RP1-111B22.2,Ensembl,2.81,up,1212,chr6,-,108325560,108326772,intergenic
ENST00000438770,AC012309.5,Ensembl,2.81,down,462,chr19,+,37742827,37747421,intergenic
uc003wrb.1,BC030294,UCSC_knowngene,2.76,up,707,chr8,+,7010238,7044422,intergenic
uc010gub.1,LOC91316,UCSC_knowngene,2.75,up,619,chr22,-,24051972,24059545,intergenic
BC047330,,misc_RNA,2.74,up,1078,chr7,+,24728106,24729165,intergenic
AB027121,,misc_RNA,2.71,up,537,chr18,+,45778671,45779206,intergenic
BC036491,,misc_RNA,2.71,down,3000,chr5,+,143862267,143865248,intergenic
AK092436,,misc_RNA,2.71,down,2009,chr17,-,29295903,29297911,bidirectional
ENST00000437021,AP000351.4,Ensembl,2.71,down,315,chr22,-,24329510,24333615,intergenic
AK128355,,misc_RNA,2.69,down,2888,chr7,+,55507457,55510345,intergenic
NR_024611,HINT1,RefSeq_NR,2.68,down,809,chr5,-,130494874,130501026,exon sense-overlapping
BE244504,lincRNA-FAM110A,lincRNA,2.63,down,447,chr20,-,837118,837565,intergenic
ENST00000434442,RSL24D1P8,Ensembl,2.63,up,492,chr19,+,12207238,12207730,intergenic
ENST00000415349,AC125238.4,Ensembl,2.62,down,1299,chr2,-,204629017,204630316,intergenic
DN930364,lincRNA-C6orf70-2,lincRNA,2.62,down,387,chr6,-,170394056,170395067,intergenic
uc011aio.1,10a.872B9 (locus 10a),UCSC_knowngene,2.61,up,359,chr22,+,22569183,22569654,intergenic
ENST00000458392,C17orf88,Ensembl,2.60,up,2183,chr17,-,44636195,44640161,intron sense-overlapping
AK023096,,NRED,2.57,up,2504,chr9,+,78808309,78810804,exon sense-overlapping
NR_029461,LST1,RefSeq_NR,2.54,down,653,chr6,+,31553955,31556685,exon sense-overlapping
CR616125,,RNAdb,2.54,down,2765,chr17,+,37321337,37324100,natural antisense
nc-HOXD1-46+,nc-HOXD1-46,HOX cluster,2.54,up,2057,chr2,-,177037828,177039885,intergenic
ENST00000430239,RPL7P4,Ensembl,2.54,down,730,chr6,-,30664582,30665312,intergenic
ENST00000456605,AC027612.2,Ensembl,2.53,up,1438,chr2,-,91872472,91873910,intergenic
ENST00000446789,RP11-120K24.2,Ensembl,2.53,down,687,chr13,-,113621822,113623138,natural antisense
ENST00000423945,SBDSP,Ensembl,2.52,down,618,chr7,+,72300003,72307217,intergenic
ENST00000413074,RP11-378J18.3,Ensembl,2.52,down,1313,chr1,+,222763303,222766374,bidirectional
BC014215,,RNAdb,2.52,down,1809,chr17,-,48240884,48242677,bidirectional
ENST00000318509,RP4-597J3.1,Ensembl,2.51,down,588,chr1,-,64254385,64254975,intronic antisense
uc010mnp.1,AK311167,UCSC_knowngene,2.51,down,984,chr9,+,68726484,68767301,intergenic
ENST00000455754,AC106875.1,Ensembl,2.51,up,1059,chr2,+,11821585,11823449,intergenic
ENST00000500410,AC130352.2,Ensembl,2.51,up,2162,chr8,-,12452489,12522859,intergenic
ENST00000398858,AC011544.1,Ensembl,2.50,down,612,chr19,+,1203207,1203822,intergenic
AK096674,,misc_RNA,2.50,down,2809,chr14,-,55534127,55536912,natural antisense
ENST00000504370,RP11-156N15.1,Ensembl,2.50,down,475,chr5,+,75672499,75672974,intergenic
ENST00000494861,RP11-219G10.1,Ensembl,2.49,down,601,chr4,-,189270577,189271178,intergenic
ENST00000396818,RPL13P,Ensembl,2.49,down,632,chr6,+,28829192,28829824,intergenic
ENST00000445730,RP11-525A16.1,Ensembl,2.48,down,497,chr10,-,112188597,112255954,intergenic
ENST00000467232,CTC-550M4.1,Ensembl,2.48,up,300,chr5,-,151875278,151875578,intergenic
ENST00000449500,CTD-3184A7.4,Ensembl,2.47,up,801,chr20,+,62258579,62260177,bidirectional
AF400502,,NRED,2.47,down,1116,chr15,+,25514833,25664606,intronic antisense
NR_026562,C20orf24,RefSeq_NR,2.47,down,1186,chr20,+,35234191,35240958,exon sense-overlapping
NR_033314,BDNFOS,RefSeq_NR,2.45,up,1478,chr11,+,27528398,27699348,bidirectional
ENST00000492937,RP11-791I24.4,Ensembl,2.43,up,441,chr3,-,156389650,156392167,bidirectional
ENST00000500709,AC090984.1,Ensembl,2.43,up,974,chr15,-,77713043,77776947,natural antisense
AY927624,,RNAdb,2.41,down,294,chrX,-,153628223,153637504,exon sense-overlapping
AK126976,,NRED,2.41,down,3871,chr20,-,47980422,47984296,intergenic
NR_026673,RPL23P8,RefSeq_NR,2.40,up,523,chr7,+,20866916,20867439,intergenic
ENST00000457251,RP1-101G11.2,Ensembl,2.39,down,2194,chr22,-,34985076,34987270,intergenic
uc009xtc.2,LOC728190,UCSC_knowngene,2.39,down,1420,chr10,-,88965544,89102315,intronic antisense
uc001elf.3,COAS3,UCSC_knowngene,2.39,up,704,chr1,-,144612023,144612727,intergenic
ENST00000422197,RP11-275F13.3,Ensembl,2.38,down,862,chr1,+,51837950,51838812,intronic antisense
AF085837,,misc_RNA,2.38,up,646,chr2,+,158768309,158768939,intergenic
ENST00000473808,RP11-254G11.1,Ensembl,2.38,down,480,chr18,-,18699142,18699622,intergenic
NR_027653,KLF6,RefSeq_NR,2.37,down,4525,chr10,-,3818188,3827473,exon sense-overlapping
NR_024534,ALG3,RefSeq_NR,2.37,up,1513,chr3,-,183960116,183966759,bidirectional
ENST00000431361,RP5-885L7.11,Ensembl,2.37,down,668,chr20,-,61431978,61436939,intronic antisense
uc001vsc.1,AK055145,UCSC_knowngene,2.34,up,2523,chr13,+,112762363,112764886,intergenic
U90437,,RNAdb,2.33,up,368,chr18,-,32720749,32721056,natural antisense
ENST00000449424,KB-1323B2.6,Ensembl,2.33,down,2593,chr22,+,21821679,21825558,intergenic
ENST00000426615,AC009336.24,Ensembl,2.33,up,658,chr2,+,177042908,177043737,intergenic
NR_024250,LOC100125556,RefSeq_NR,2.33,down,1970,chr3,+,125635443,125648865,natural antisense
BC033062,,RNAdb,2.30,down,1375,chr22,-,21821488,21822855,intergenic
ENST00000391892,CTD-2571L23.1,Ensembl,2.30,down,435,chr19,-,48297722,48298159,intergenic
G43035,,misc_RNA,2.29,up,205,chr7,-,97844520,97844725,intergenic
uc011cmd.1,SDHA,UCSC_knowngene,2.29,up,1026,chr5,-,1568636,1579695,intergenic
AK130049,,NRED,2.29,up,2232,chr10,+,60588954,60591182,intergenic
NR_033386,KLHDC9,RefSeq_NR,2.27,down,1117,chr1,+,161068150,161070137,exon sense-overlapping
ENST00000339991,RP11-48B3.1,Ensembl,2.25,up,1057,chr8,+,81471001,81472058,intergenic
ENST00000483609,AC008746.12,Ensembl,2.25,up,516,chr19,-,54949846,54950362,intergenic
BC028019,lincRNA-C9orf57,lincRNA,2.25,up,3343,chr9,+,74526576,74600965,bidirectional
uc002dzu.2,BC073928,UCSC_knowngene,2.24,down,1121,chr16,+,30887232,30906537,natural antisense
ENST00000447763,AP000550.1,Ensembl,2.23,down,634,chr22,+,21470217,21474047,intergenic
ENST00000416232,RP4-800G7.2,Ensembl,2.23,down,2804,chr7,+,148984789,148994403,intergenic
ENST00000429980,RP11-143M1.2,Ensembl,2.23,down,394,chr9,+,72700,88826,intergenic
uc003lfn.2,BC030152,UCSC_knowngene,2.23,down,914,chr5,-,139780099,139781013,bidirectional
ENST00000452067,CTD-2090I13.2,Ensembl,2.21,up,703,chr1,-,227598317,227599020,intergenic
ENST00000511422,CTD-2334D19.1,Ensembl,2.20,down,1114,chr5,+,120116912,120126473,intergenic
ENST00000411669,AC024937.4,Ensembl,2.20,up,1242,chr3,+,195723608,195725104,intergenic
uc001esd.2,CR617196,UCSC_knowngene,2.20,up,729,chr1,-,148574411,148575140,intronic antisense
BC037537,,misc_RNA,2.20,down,1613,chr15,+,40666599,40668192,intergenic
ENST00000412466,PMS2L4,Ensembl,2.19,up,1052,chr7,-,66760594,66767894,natural antisense
ENST00000420330,AC009404.2,Ensembl,2.19,down,3090,chr2,+,118591512,118599234,intergenic
ENST00000472521,RPS15AP16,Ensembl,2.19,down,361,chr3,-,128517683,128518044,intronic antisense
ENST00000403144,RP11-111D3.1,Ensembl,2.17,down,213,chr6,-,98627374,98627587,intergenic
ENST00000480465,RP11-492M23.2,Ensembl,2.16,down,489,chr10,-,29187924,29188413,intergenic
ENST00000454426,HIST1H2APS2,Ensembl,2.16,up,370,chr6,-,25882253,25882623,intergenic
ENST00000435343,AL356017.3,Ensembl,2.16,up,723,chr14,+,95624096,95646262,bidirectional
AK094212,,misc_RNA,2.15,down,2103,chr3,-,117382578,117384681,intergenic
ENST00000234610,MMP23A,Ensembl,2.15,up,1017,chr1,+,1631380,1633221,intronic antisense
ENST00000451924,RP11-42D20.1,Ensembl,2.15,down,468,chr3,-,186640074,186640542,intergenic
NR_033354,ZNF519,RefSeq_NR,2.14,down,2281,chr18,-,14075990,14132489,exon sense-overlapping
ENST00000431339,RP13-204A15.2,Ensembl,2.13,down,2387,chrX,+,73325406,73327793,intergenic
NR_024553,ZNF204P,RefSeq_NR,2.12,down,2909,chr6,-,27325601,27343153,intergenic
ENST00000395664,RP13-13A3.1,Ensembl,2.11,down,511,chrX,-,41181853,41182364,intergenic
ENST00000419718,AC111200.10,Ensembl,2.11,up,243,chr2,+,87098453,87098696,intergenic
BC020911,,misc_RNA,2.10,down,1309,chr6,+,56405945,56407226,intronic antisense
AK126983,,misc_RNA,2.10,down,5637,chr22,-,24243618,24249255,intergenic
uc010fkq.1,AK124342,UCSC_knowngene,2.09,down,2022,chr2,-,113399408,113403267,bidirectional
NR_026650,BPHL,RefSeq_NR,2.08,down,1776,chr6,+,3118925,3153430,exon sense-overlapping
ENST00000444423,RP11-543E8.2,Ensembl,2.08,up,407,chr1,-,230747751,230748158,intergenic
ENST00000412239,RP11-315I20.1,Ensembl,2.08,up,570,chr1,-,145493883,145508218,intronic antisense
ENST00000515639,AC005740.3,Ensembl,2.07,up,522,chr5,-,141275732,141276254,intergenic
ENST00000412512,RP5-1003J2.4,Ensembl,2.07,up,221,chr1,+,110825155,110825722,intergenic
AK126443,,misc_RNA,2.07,up,2067,chr8,+,97347154,97349223,intergenic
NR_033351,GOLGA8F,RefSeq_NR,2.07,up,4511,chr15,-,28765515,28778143,intergenic
DN918055,lincRNA-SGIP1,lincRNA,2.07,down,399,chr1,+,66890612,67423817,exon sense-overlapping
uc.395-,uc.395,UCR,2.07,down,249,chr16,-,24579002,24579251,intronic antisense
NR_002909,SNHG3,RefSeq_NR,2.06,down,939,chr1,+,28832495,28836145,exon sense-overlapping
NR_026598,NENF,RefSeq_NR,2.06,down,934,chr1,+,212606228,212619719,exon sense-overlapping
ENST00000438217,XX-C2158C12.2,Ensembl,2.06,up,758,chr6,+,171034284,171037576,intergenic
ENST00000439575,RP11-118K6.2,Ensembl,2.06,up,608,chr10,+,3052722,3055303,intergenic
ENST00000428749,AC018696.1,Ensembl,2.05,up,219,chr2,+,91635930,91636149,intergenic
BC036224,,misc_RNA,2.04,up,1922,chr3,-,47420584,47422489,bidirectional
uc003bcm.2,BC038245,UCSC_knowngene,2.04,down,1074,chr22,-,42760536,42765180,intergenic
ENST00000449095,AC060773.1,Ensembl,2.03,down,273,chr15,+,77570806,77571079,intronic antisense
AK123369,,misc_RNA,2.02,down,2244,chr2,+,61153043,61155287,intergenic
AK128767,,misc_RNA,2.02,up,1999,chr19,+,57144496,57146493,intergenic
ENST00000466800,RP11-120B7.1,Ensembl,2.02,up,359,chr5,+,107929309,107929668,intergenic
AF088003,,misc_RNA,2.02,up,647,chr12,+,50551206,50551843,intronic antisense
NR_024181,ZNF577,RefSeq_NR,2.02,up,988,chr19,-,52359055,52391189,exon sense-overlapping
NR_024024,ACAA1,RefSeq_NR,2.01,down,1965,chr3,-,38164201,38178733,exon sense-overlapping
ENST00000503270,RP11-93I21.1,Ensembl,2.01,down,455,chr4,-,125384020,125384475,intergenic
AL136790,,NRED,2.01,up,967,chr17,-,20433355,20434194,intergenic
NR_027320,CSNK1A1P,RefSeq_NR,2.00,up,1718,chr15,-,37091301,37110707,intronic antisense
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
