seqname,GeneSymbol,unigene,ProteinAccession,EntrezID,FCAbsolute,regulation,chrom,strand,txStart,txEnd,source
NM_001114394,PAPD4,Hs.418198,NP_776158,167153,4.70,Down in ASD,chr5,+,78908242,78982471,RefSeq_coding
NM_001270,CHD1,Hs.643465,NP_001261,1105,3.87,Down in ASD,chr5,-,98190908,98262238,RefSeq_coding
NM_003292,TPR,Hs.279640,NP_003283,7175,5.73,Down in ASD,chr1,-,186280787,186344457,RefSeq_coding
NM_001024644,XCR1,Hs.248116,NP_005274,2829,2.43,Down in ASD,chr3,-,46062291,46068979,RefSeq_coding
NM_000259,MYO5A,Hs.21213,NP_001135967,4644,2.87,Down in ASD,chr15,-,52599479,52821247,RefSeq_coding
NM_173505,ANKRD29,Hs.374774,NP_775776,147463,2.07,Down in ASD,chr18,-,21179979,21242849,RefSeq_coding
NM_175607,CNTN4,Hs.298705,NP_783200,152330,2.14,Down in ASD,chr3,+,2142246,3099644,RefSeq_coding
NM_000973,RPL8,Hs.178551,NP_150644,6132,4.18,Down in ASD,chr8,-,146015154,146017805,RefSeq_coding
NM_001039884,ZNF826,,,,5.85,Down in ASD,chr19,-,20574520,20607762,RefSeq_coding
NM_198150,ARSK,Hs.585051,NP_937793,153642,2.28,Down in ASD,chr5,+,94890824,94940805,RefSeq_coding
NM_199039,KLHL5,Hs.272251,NP_950240,51088,2.33,Down in ASD,chr4,+,39063851,39127852,RefSeq_coding
NM_013450,BAZ2B,Hs.470369,NP_038478,29994,3.08,Down in ASD,chr2,-,160175491,160473059,RefSeq_coding
NM_014153,ZC3H7A,Hs.371856,NP_054872,29066,2.13,Down in ASD,chr16,-,11844442,11876408,RefSeq_coding
NM_001001480,KRTAP5-5,Hs.653467,NP_001001480,439915,3.80,Down in ASD,chr11,+,1651032,1652157,RefSeq_coding
NM_001042386,PREPL,Hs.727511,NP_006027,9581,5.60,Down in ASD,chr2,-,44544749,44586888,RefSeq_coding
NM_148174,AZIN1,Hs.459106,NP_680479,51582,2.68,Down in ASD,chr8,-,103838536,103876397,RefSeq_coding
NM_177454,FAM171B,Hs.28872,NP_803237,165215,2.29,Down in ASD,chr2,+,187558788,187628510,RefSeq_coding
NM_014849,SV2A,Hs.516153,NP_055664,9900,3.37,Down in ASD,chr1,-,149874875,149889434,RefSeq_coding
NM_001336,CTSZ,Hs.252549,NP_001327,1522,3.42,Down in ASD,chr20,-,57570241,57582309,RefSeq_coding
NM_012316,KPNA6,Hs.470588,NP_036448,23633,2.99,Down in ASD,chr1,+,32573643,32642166,RefSeq_coding
NM_004815,ARHGAP29,Hs.483238,NP_004806,9411,3.87,Down in ASD,chr1,-,94634463,94703307,RefSeq_coding
NM_001803,CD52,Hs.276770,NP_001794,1043,2.17,Down in ASD,chr1,+,26644410,26647013,RefSeq_coding
NM_001174063,FGFR1,Hs.264887,NP_075598,2260,2.99,Down in ASD,chr8,-,38268656,38326352,RefSeq_coding
NM_001042618,PARP2,Hs.409412,NP_005475,10038,5.75,Down in ASD,chr14,+,20811772,20826062,RefSeq_coding
NM_014396,VPS41,Hs.592184,NP_542198,27072,3.12,Down in ASD,chr7,-,38763543,38948800,RefSeq_coding
NM_016546,C1RL,Hs.631730,NP_057630,51279,2.52,Down in ASD,chr12,-,7247146,7261869,RefSeq_coding
NM_014720,SLK,Hs.591922,NP_055535,9748,2.01,Down in ASD,chr10,+,105727469,105787342,RefSeq_coding
NM_004362,CLGN,Hs.86368,NP_004353,1047,4.56,Down in ASD,chr4,-,141309608,141348815,RefSeq_coding
NM_032795,RPUSD4,Hs.150458,NP_116184,84881,4.97,Down in ASD,chr11,-,126071989,126081587,RefSeq_coding
NM_001923,DDB1,Hs.290758,NP_001914,1642,2.76,Down in ASD,chr11,-,61066919,61100666,RefSeq_coding
NM_014946,SPAST,Hs.468091,NP_955468,6683,4.44,Down in ASD,chr2,+,32288679,32382705,RefSeq_coding
NM_001077484,SLC38A1,Hs.533770,NP_109599,81539,7.43,Down in ASD,chr12,-,46576842,46663208,RefSeq_coding
NM_001143917,LYSMD2,Hs.603629,NP_699205,256586,2.14,Down in ASD,chr15,-,52015261,52043650,RefSeq_coding
NM_032012,C9orf5,Hs.308074,NP_114401,23731,11.28,Down in ASD,chr9,-,111777415,111882225,RefSeq_coding
NM_032868,MPND,Hs.321689,NP_116257,84954,2.15,Down in ASD,chr19,+,4343523,4360082,RefSeq_coding
NM_017599,VEZT,Hs.24135,NP_060069,55591,13.42,Down in ASD,chr12,+,95611521,95696566,RefSeq_coding
NM_001099661,EIF3CL,Hs.535464,NP_001093131,728689,3.49,Down in ASD,chr16,-,28390900,28415162,RefSeq_coding
NM_018905,PCDHA2,Hs.199343,,56117,2.97,Down in ASD,chr5,+,140174443,140391929,RefSeq_coding
NM_001042493,C6orf162,Hs.70769,NP_065158,57150,2.07,Down in ASD,chr6,+,88032305,88052043,RefSeq_coding
NM_153252,BRWD3,Hs.147027,NP_694984,254065,4.15,Down in ASD,chrX,-,79924986,80065233,RefSeq_coding
NM_024704,KIF16B,Hs.101774,NP_078980,55614,2.74,Down in ASD,chr20,-,16252748,16554078,RefSeq_coding
NM_004892,SEC22B,Hs.632438,NP_004883,9554,6.73,Down in ASD,chr1,+,145096406,145116922,RefSeq_coding
NM_024544,MUL1,Hs.10101,NP_078820,79594,2.40,Down in ASD,chr1,-,20825942,20834674,RefSeq_coding
NM_002583,PAWR,Hs.643130,NP_002574,5074,2.04,Down in ASD,chr12,-,79985746,80084790,RefSeq_coding
NM_015275,KIAA1033,Hs.12144,NP_056090,23325,7.23,Down in ASD,chr12,+,105501491,105562904,RefSeq_coding
NM_001040440,CCDC112,Hs.436121,NP_689762,153733,4.68,Down in ASD,chr5,-,114602884,114632458,RefSeq_coding
NM_017797,BTBD2,Hs.465543,NP_060267,55643,2.18,Down in ASD,chr19,-,1985446,2015702,RefSeq_coding
NM_001068,TOP2B,Hs.475733,NP_001059,7155,3.35,Down in ASD,chr3,-,25639474,25705788,RefSeq_coding
NM_001160308,SETDB2,Hs.631789,NP_114121,83852,3.90,Down in ASD,chr13,+,50025687,50069138,RefSeq_coding
NM_001134876,C14orf80,Hs.720306,NP_001185912,283643,2.21,Down in ASD,chr14,+,105957585,105965584,RefSeq_coding
NM_007027,TOPBP1,Hs.593379,NP_008958,11073,6.65,Down in ASD,chr3,-,133319449,133380737,RefSeq_coding
NM_016131,RAB10,Hs.467960,NP_057215,10890,2.50,Down in ASD,chr2,+,26256728,26360322,RefSeq_coding
NM_001102654,NTF3,Hs.99171,NP_002518,4908,2.21,Down in ASD,chr12,+,5541279,5604463,RefSeq_coding
NM_003033,ST3GAL1,Hs.374257,NP_775479,6482,3.27,Down in ASD,chr8,-,134467090,134584183,RefSeq_coding
NM_024293,FAM134A,Hs.516707,NP_077269,79137,3.84,Down in ASD,chr2,+,220042938,220050190,RefSeq_coding
NM_005050,ABCD4,Hs.94395,NP_005041,5826,5.09,Down in ASD,chr14,-,74751979,74769767,RefSeq_coding
NM_024678,NARS2,Hs.503389,NP_078954,79731,3.11,Down in ASD,chr11,-,78147016,78285909,RefSeq_coding
NM_017847,C1orf27,Hs.371210,NP_060317,54953,2.00,Down in ASD,chr1,+,186344889,186390502,RefSeq_coding
NM_006048,UBE4B,Hs.593974,NP_006039,10277,4.56,Down in ASD,chr1,+,10093015,10241294,RefSeq_coding
NM_012143,TFIP11,Hs.20225,NP_036275,24144,2.46,Down in ASD,chr22,-,26887893,26908437,RefSeq_coding
NM_024420,PLA2G4A,Hs.497200,NP_077734,5321,4.46,Down in ASD,chr1,+,186798031,186958105,RefSeq_coding
NM_001163023,PLK1S1,Hs.187635,NP_060944,55857,7.79,Down in ASD,chr20,+,21106623,21227256,RefSeq_coding
NM_012140,SLC25A10,Hs.548187,NP_036272,1468,4.83,Down in ASD,chr17,+,79679370,79688041,RefSeq_coding
NM_005688,ABCC5,Hs.728765,NP_005679,10057,3.04,Down in ASD,chr3,-,183637725,183735727,RefSeq_coding
NM_012297,G3BP2,Hs.303676,NP_987101,9908,5.26,Down in ASD,chr4,-,76567954,76598343,RefSeq_coding
NM_201555,FHL2,Hs.443687,NP_963851,2274,3.13,Down in ASD,chr2,-,105977284,106015681,RefSeq_coding
NM_014880,CD302,Hs.130014,NP_055695,9936,2.01,Down in ASD,chr2,-,160625140,160654766,RefSeq_coding
NM_133505,DCN,Hs.728830,NP_598014,1634,2.09,Down in ASD,chr12,-,91539035,91572329,RefSeq_coding
NM_022493,NARFL,Hs.513247,NP_071938,64428,3.48,Down in ASD,chr16,-,779770,790997,RefSeq_coding
NM_002388,MCM3,Hs.179565,NP_002379,4172,4.46,Down in ASD,chr6,-,52128811,52149582,RefSeq_coding
NM_017714,TASP1,Hs.348297,NP_060184,55617,3.35,Down in ASD,chr20,-,13370036,13619583,RefSeq_coding
NM_194285,SPTY2D1,Hs.729389,NP_919261,144108,2.70,Down in ASD,chr11,-,18627948,18656020,RefSeq_coding
NM_016374,ARID4B,Hs.575782,NP_112739,51742,3.11,Down in ASD,chr1,-,235330210,235491532,RefSeq_coding
NM_014041,SPCS1,Hs.11125,NP_054760,28972,2.44,Down in ASD,chr3,+,52739856,52742195,RefSeq_coding
NM_020349,ANKRD2,Hs.73708,NP_065082,26287,2.65,Down in ASD,chr10,+,99332255,99343639,RefSeq_coding
NM_021952,ELAVL4,Hs.213050,NP_068771,1996,2.13,Down in ASD,chr1,+,50574593,50667540,RefSeq_coding
NM_152727,CPNE2,Hs.339809,NP_689940,221184,2.28,Down in ASD,chr16,+,57126509,57181876,RefSeq_coding
NM_006659,TUBGCP2,Hs.523370,NP_006650,10844,7.68,Down in ASD,chr10,-,135093137,135122644,RefSeq_coding
NM_001042405,CEP170,Hs.533635,NP_055627,9859,7.04,Down in ASD,chr1,-,243287730,243418708,RefSeq_coding
NM_001002811,PDE4DIP,Hs.728768,NP_071754,9659,3.34,Down in ASD,chr1,-,144890590,144932032,RefSeq_coding
NM_022058,SLC4A10,Hs.333958,NP_071341,57282,4.17,Down in ASD,chr2,+,162480844,162841785,RefSeq_coding
NM_133494,NEK7,Hs.728964,NP_598001,140609,4.41,Down in ASD,chr1,+,198126107,198291546,RefSeq_coding
NM_014881,DCLRE1A,Hs.1560,NP_055696,9937,7.74,Down in ASD,chr10,-,115594483,115613859,RefSeq_coding
NM_144665,SESN3,Hs.659934,NP_653266,143686,4.06,Down in ASD,chr11,-,94906132,94964246,RefSeq_coding
NM_012319,SLC39A6,Hs.729034,NP_036451,25800,2.75,Down in ASD,chr18,-,33688494,33709357,RefSeq_coding
NM_013233,STK39,Hs.276271,NP_037365,27347,2.03,Down in ASD,chr2,-,168810530,169104105,RefSeq_coding
NM_015336,ZDHHC17,Hs.4014,NP_056151,23390,3.80,Down in ASD,chr12,+,77157853,77247474,RefSeq_coding
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
