seqname,GeneSymbol,EntrezID,unigene,ProteinAccession,FCAbsolute,regulation,chrom,strand,txStart,txEnd,source
NM_020129,LGALS14,56891,Hs.24236,NP_982297,7.89,Up in ASD,chr19,+,40194945,40200087,RefSeq_coding
NM_181866,ACOT7,11332,Hs.126137,NP_863656,4.89,Up in ASD,chr1,-,6324332,6419004,RefSeq_coding
NM_013410,AK3L1,205,Hs.10862,NP_982289,2.61,Up in ASD,chr1,+,65613885,65693173,RefSeq_coding
NM_020236,MRPL1,65008,Hs.532019,NP_064621,6.26,Up in ASD,chr4,+,78783804,78873944,RefSeq_coding
NM_206929,SYTL2,54843,Hs.369520,NP_996813,5.03,Up in ASD,chr11,-,85405266,85430196,RefSeq_coding
NM_001161347,CHFR,55743,Hs.720197,NP_060693,3.71,Up in ASD,chr12,-,133416937,133464204,RefSeq_coding
NM_145290,GPR125,166647,Hs.99195,NP_660333,3.33,Up in ASD,chr4,-,22388998,22517672,RefSeq_coding
NM_001040217,FAM63A,55793,Hs.3346,NP_060849,3.96,Up in ASD,chr1,-,150969301,150979385,RefSeq_coding
NM_005239,ETS2,2114,Hs.644231,NP_005230,3.27,Up in ASD,chr21,+,40177848,40196876,RefSeq_coding
NM_153649,TPM3,7170,Hs.644306,NP_705935,2.46,Up in ASD,chr1,-,154127779,154155725,RefSeq_coding
NM_206595,ESRRG,2104,Hs.444225,NP_996318,2.04,Up in ASD,chr1,-,216676587,217262976,RefSeq_coding
NM_000905,NPY,4852,Hs.1832,NP_000896,6.82,Up in ASD,chr7,+,24323806,24331484,RefSeq_coding
NM_080794,MRPL39,54148,Hs.420696,NP_542984,2.9,Up in ASD,chr21,-,26957969,26979801,RefSeq_coding
NM_001017921,VMAC,400673,Hs.620821,NP_001017921,3.88,Up in ASD,chr19,+,5904851,5910261,RefSeq_coding
NM_017828,COMMD4,54939,Hs.351327,NP_060298,3.33,Up in ASD,chr15,+,75628373,75632612,RefSeq_coding
NM_007084,SOX21,11166,Hs.187577,NP_009015,3.78,Up in ASD,chr13,-,95361881,95364389,RefSeq_coding
NM_030784,GPR63,81491,Hs.632612,NP_110411,2.55,Up in ASD,chr6,-,97245888,97285353,RefSeq_coding
NM_001009998,SSBP4,170463,Hs.515259,NP_116016,3.02,Up in ASD,chr19,+,18530220,18545371,RefSeq_coding
NM_001010863,C10orf128,170371,Hs.385493,NP_001010863,2.11,Up in ASD,chr10,-,50363892,50396407,RefSeq_coding
NM_183006,DLGAP4,22839,Hs.249600,NP_892118,5.02,Up in ASD,chr20,+,35090141,35157038,RefSeq_coding
NM_178422,PAQR7,164091,Hs.523652,NP_848509,2.18,Up in ASD,chr1,-,26187975,26197744,RefSeq_coding
NM_024873,TNIP3,79931,Hs.208206,NP_079149,4.08,Up in ASD,chr4,-,122052565,122085476,RefSeq_coding
NM_001103160,SH2D5,400745,Hs.591522,NP_001096631,2.26,Up in ASD,chr1,-,21046224,21059133,RefSeq_coding
NM_198147,ABHD15,116236,Hs.106510,NP_937790,2.32,Up in ASD,chr17,-,27887690,27894042,RefSeq_coding
NM_152221,CSNK1E,1454,Hs.474833,NP_689407,3.46,Up in ASD,chr22,-,38686697,38713413,RefSeq_coding
NM_001042383,CEP63,80254,Hs.443301,NP_079456,2.37,Up in ASD,chr3,+,134204574,134283870,RefSeq_coding
NM_016239,MYO15A,51168,Hs.462390,NP_057323,3.05,Up in ASD,chr17,+,18012019,18083115,RefSeq_coding
NM_178011,LRRTM3,347731,Hs.652155,NP_821079,2.05,Up in ASD,chr10,+,68685791,68860867,RefSeq_coding
NM_173633,TMEM145,284339,Hs.382075,NP_775904,3.62,Up in ASD,chr19,+,42817476,42829214,RefSeq_coding
NM_004810,GRAP2,9402,Hs.517499,NP_004801,2.37,Up in ASD,chr22,+,40297085,40367384,RefSeq_coding
NM_001083537,FAM86B1,85002,Hs.720105,NP_001077006,2.47,Up in ASD,chr8,-,12039613,12051624,RefSeq_coding
NM_001017535,VDR,7421,Hs.524368,NP_001017536,4.02,Up in ASD,chr12,-,48235321,48298814,RefSeq_coding
NM_006308,HSPB3,8988,Hs.41707,NP_006299,9.86,Up in ASD,chr5,+,53751444,53752207,RefSeq_coding
NM_198403,MMD2,221938,Hs.558694,NP_940685,2.44,Up in ASD,chr7,-,4945620,4998844,RefSeq_coding
NM_183376,ARRDC4,91947,Hs.6093,NP_899232,5.67,Up in ASD,chr15,+,98503932,98517067,RefSeq_coding
NM_014470,RND1,27289,Hs.124940,NP_055285,2.34,Up in ASD,chr12,-,49250916,49259653,RefSeq_coding
NM_014037,SLC6A16,28968,Hs.130949,NP_054756,2.49,Up in ASD,chr19,-,49792893,49828474,RefSeq_coding
NM_002825,PTN,5764,Hs.371249,NP_002816,4.77,Up in ASD,chr7,-,136912091,137028546,RefSeq_coding
NM_001170752,SRPX,8406,Hs.15154,NP_006298,2.12,Up in ASD,chrX,-,38008588,38080177,RefSeq_coding
NM_001079877,RASA4,10156,Hs.696339,NP_008920,2.88,Up in ASD,chr7,-,102220093,102257205,RefSeq_coding
NM_018090,NECAP2,55707,Hs.437385,NP_060560,2.63,Up in ASD,chr1,+,16767166,16786582,RefSeq_coding
NM_017521,FEV,54738,Hs.234759,NP_059991,4.73,Up in ASD,chr2,-,219845808,219850379,RefSeq_coding
NM_022475,HHIP,64399,Hs.507991,NP_071920,3.05,Up in ASD,chr4,+,145567172,145659881,RefSeq_coding
NM_021133,RNASEL,6041,Hs.518545,NP_066956,3.38,Up in ASD,chr1,-,182542771,182556108,RefSeq_coding
NM_025184,EFHC2,80258,Hs.521953,NP_079460,2.83,Up in ASD,chrX,-,44007128,44202923,RefSeq_coding
NM_004592,SFRS8,6433,Hs.308171,NP_004583,2.35,Up in ASD,chr12,+,132195634,132284282,RefSeq_coding
NM_001142771,PCDH15,65217,Hs.280209,NP_149045,2.12,Up in ASD,chr10,-,55562534,56561051,RefSeq_coding
NM_001085471,FOXN3,1112,Hs.434286,NP_005188,2.2,Up in ASD,chr14,-,89622516,90085494,RefSeq_coding
NM_001040260,DCLK2,166614,Hs.591683,NP_001035351,2.95,Up in ASD,chr4,+,151000079,151178606,RefSeq_coding
NM_144723,ZMAT2,153527,Hs.350194,NP_653324,2.13,Up in ASD,chr5,+,140080031,140086239,RefSeq_coding
NM_001154,ANXA5,308,Hs.480653,NP_001145,2.06,Up in ASD,chr4,-,122589152,122618147,RefSeq_coding
NM_033449,FCHSD1,89848,Hs.591257,NP_258260,2.35,Up in ASD,chr5,-,141018869,141030986,RefSeq_coding
NM_001171654,KLHL5,51088,Hs.272251,NP_950240,2.14,Up in ASD,chr4,+,39046450,39127852,RefSeq_coding
NM_024411,PDYN,5173,Hs.22584,NP_077722,2.38,Up in ASD,chr20,-,1959402,1974702,RefSeq_coding
NM_004418,DUSP2,1844,Hs.1183,NP_004409,3.22,Up in ASD,chr2,-,96808916,96811179,RefSeq_coding
NM_173688,NKAIN3,286183,Hs.654662,NP_775959,5.26,Up in ASD,chr8,+,63161500,63903627,RefSeq_coding
NM_016339,RAPGEFL1,51195,Hs.632254,NP_057423,2.06,Up in ASD,chr17,+,38334241,38351906,RefSeq_coding
NM_001143758,LRRC27,80313,Hs.119897,NP_085129,4.5,Up in ASD,chr10,+,134145613,134166901,RefSeq_coding
NM_201526,ISLR,3671,Hs.710506,NP_958934,2.78,Up in ASD,chr15,+,74466904,74469212,RefSeq_coding
NM_017490,MARK2,2011,Hs.567261,NP_059672,2.65,Up in ASD,chr11,+,63655986,63678491,RefSeq_coding
NM_001146019,TJAP1,93643,Hs.520145,NP_542171,2.77,Up in ASD,chr6,+,43445260,43474294,RefSeq_coding
NM_002449,MSX2,4488,Hs.89404,NP_002440,3.63,Up in ASD,chr5,+,174151574,174157901,RefSeq_coding
NM_020144,PAPOLB,56903,Hs.487409,NP_064529,2.79,Up in ASD,chr7,-,4897370,4901625,RefSeq_coding
NM_032604,ABHD1,84696,Hs.375791,NP_115993,2.04,Up in ASD,chr2,+,27346656,27353678,RefSeq_coding
NM_001114100,SEZ6L2,26470,Hs.6314,NP_963869,2.33,Up in ASD,chr16,-,29882481,29910580,RefSeq_coding
NM_016533,NINJ2,4815,Hs.656450,NP_057617,3.67,Up in ASD,chr12,-,673462,772755,RefSeq_coding
NM_207322,C2CD4A,145741,Hs.202656,NP_997205,5.32,Up in ASD,chr15,+,62359175,62363109,RefSeq_coding
NM_004207,SLC16A3,9123,Hs.500761,NP_004198,2.07,Up in ASD,chr17,+,80186888,80197368,RefSeq_coding
NM_003186,TAGLN,6876,Hs.410977,NP_003177,2.18,Up in ASD,chr11,+,117070039,117075507,RefSeq_coding
NM_032130,FAM186B,84070,Hs.524406,NP_115506,3.98,Up in ASD,chr12,-,49981289,49999433,RefSeq_coding
NM_152389,CCDC108,255101,Hs.147762,NP_919278,2.33,Up in ASD,chr2,-,219898415,219906245,RefSeq_coding
NM_001145460,HOPX,84525,Hs.619396,NP_631958,2.94,Up in ASD,chr4,-,57514153,57547872,RefSeq_coding
NM_001078172,FAM127B,26071,Hs.460924,NP_001127793,2.15,Up in ASD,chrX,-,134184966,134186221,RefSeq_coding
NM_001128933,SYNPO2,171024,Hs.655519,NP_597734,3.18,Up in ASD,chr4,+,119809995,119959668,RefSeq_coding
NM_005622,ACSM3,6296,Hs.706754,NP_973729,2.86,Down in ASD,chr16,+,20775311,20808478,RefSeq_coding
NM_152406,AFAP1L1,134265,Hs.483793,NP_689619,2.23,Down in ASD,chr5,+,148651400,148721365,RefSeq_coding
NM_013975,LIG3,3980,Hs.100299,NP_039269,2.55,Down in ASD,chr17,+,33307537,33332088,RefSeq_coding
NM_006753,SURF6,6838,Hs.274430,NP_006744,2.43,Down in ASD,chr9,-,136197552,136203047,RefSeq_coding
NM_005670,EPM2A,7957,Hs.486696,NP_005661,2.22,Down in ASD,chr6,-,145946445,146056991,RefSeq_coding
NM_198321,GALNT10,55568,Hs.726056,NP_938080,2.92,Down in ASD,chr5,+,153570294,153800541,RefSeq_coding
NM_019107,C19orf10,56005,Hs.465645,NP_061980,2.24,Down in ASD,chr19,-,4657565,4670415,RefSeq_coding
NM_021213,PCTP,58488,Hs.285218,NP_067036,4.19,Down in ASD,chr17,+,53828355,53854747,RefSeq_coding
NM_080746,RPL10L,140801,Hs.308332,NP_542784,2.24,Down in ASD,chr14,-,47120221,47121028,RefSeq_coding
NM_021193_intron1+,NM_021193,,,,2.04,Down in ASD,chr2,+,176965103,176965249,HOX cluster
NM_001145113,MYADML2,255275,Hs.729645,NP_001138585,2.4,Down in ASD,chr17,-,79897520,79905109,RefSeq_coding
NM_001160125,KLF6,1316,Hs.4055,NP_001291,2.15,Down in ASD,chr10,-,3818188,3827473,RefSeq_coding
NM_002826,QSOX1,5768,Hs.518374,NP_002817,2.03,Down in ASD,chr1,+,180123967,180167167,RefSeq_coding
NM_001164760,PRKAR1B,5575,Hs.520851,NP_002726,4.98,Down in ASD,chr7,-,588833,766978,RefSeq_coding
NM_181341,DCAF4,26094,Hs.331491,NP_851938,2.5,Down in ASD,chr14,+,73393039,73426356,RefSeq_coding
NM_001142603,KIAA0141,9812,Hs.210532,NP_055588,2.87,Down in ASD,chr5,+,141303384,141321611,RefSeq_coding
NM_005382,NEFM,4741,Hs.458657,NP_005373,2.22,Down in ASD,chr8,+,24771273,24776605,RefSeq_coding
NM_020846,SLAIN2,57606,Hs.479677,NP_065897,2.9,Down in ASD,chr4,+,48343612,48428213,RefSeq_coding
NM_022121,PERP,64065,Hs.201446,NP_071404,2.96,Down in ASD,chr6,-,138409641,138428660,RefSeq_coding
NM_198042,PDLIM2,64236,Hs.632034,NP_932159,3.24,Down in ASD,chr8,+,22437983,22451803,RefSeq_coding
NM_006696,BRD8,10902,Hs.519337,NP_631938,2.18,Down in ASD,chr5,-,137492585,137514358,RefSeq_coding
NM_144684,ZNF480,147657,Hs.729317,NP_653285,2.46,Down in ASD,chr19,+,52800425,52829172,RefSeq_coding
NM_199135,FOXD4L3,286380,Hs.449471,NP_954586,2.12,Down in ASD,chr9,+,70917782,70920000,RefSeq_coding
NM_138720,HIST1H2BD,3017,Hs.591797,NP_619790,3.41,Down in ASD,chr6,+,26158348,26171574,RefSeq_coding
NM_015871,ZNF593,51042,Hs.477273,NP_056955,4.88,Down in ASD,chr1,+,26496387,26497362,RefSeq_coding
NM_001039884,ZNF826,,,,16.02,Down in ASD,chr19,-,20574520,20607762,RefSeq_coding
NM_016052,RRP15,51018,Hs.660109,NP_057136,2.04,Down in ASD,chr1,+,218458628,218511323,RefSeq_coding
NM_001101677,SOHLH1,402381,Hs.120464,NP_001095147,3.85,Down in ASD,chr9,-,138585256,138591374,RefSeq_coding
NM_006056,NMUR1,10316,Hs.471619,NP_006047,3.47,Down in ASD,chr2,-,232387871,232395182,RefSeq_coding
NM_017994,C7orf42,55069,Hs.488478,NP_060464,2.24,Down in ASD,chr7,+,66386202,66423537,RefSeq_coding
NM_003116,SPAG4,6676,Hs.123159,NP_003107,2.92,Down in ASD,chr20,+,34203808,34208965,RefSeq_coding
NM_004917,KLK4,9622,Hs.218366,NP_004908,2.23,Down in ASD,chr19,-,51409607,51413994,RefSeq_coding
NM_173663,FAM153A,285596,Hs.652754,NP_775934,6.49,Down in ASD,chr5,-,177150365,177207505,RefSeq_coding
NM_001177358,GPR137,56834,Hs.523763,NP_064540,2.77,Down in ASD,chr11,+,64052282,64056972,RefSeq_coding
NM_153343,ENPP6,133121,Hs.297814,NP_699174,2.84,Down in ASD,chr4,-,185009859,185139114,RefSeq_coding
NM_005725,TSPAN2,10100,Hs.310458,NP_005716,2.28,Down in ASD,chr1,-,115590634,115632121,RefSeq_coding
NM_023078,PYCRL,65263,Hs.165186,NP_075566,2.16,Down in ASD,chr8,-,144686082,144691764,RefSeq_coding
NM_138433,KLHDC7B,113730,Hs.137007,NP_612442,2.26,Down in ASD,chr22,+,50986461,50989451,RefSeq_coding
NM_001012337,ROPN1B,152015,Hs.663128,NP_001012337,4.4,Down in ASD,chr3,+,125688027,125702294,RefSeq_coding
NM_153050,MTMR3,8897,Hs.474536,NP_694691,2.17,Down in ASD,chr22,+,30279157,30426855,RefSeq_coding
NM_001145798,CACNB4,785,Hs.120725,NP_001139270,3.95,Down in ASD,chr2,-,152689287,152955593,RefSeq_coding
NM_174936,PCSK9,255738,Hs.18844,NP_777596,2.82,Down in ASD,chr1,+,55505219,55530523,RefSeq_coding
NM_020480,ANK1,286,Hs.654438,NP_065213,2.23,Down in ASD,chr8,-,41510744,41522804,RefSeq_coding
NM_022126,LHPP,64077,Hs.527748,NP_071409,2.14,Down in ASD,chr10,+,126150340,126302709,RefSeq_coding
NM_001048218,SCYL1,57410,Hs.238839,NP_065731,2.08,Down in ASD,chr11,+,65292547,65306182,RefSeq_coding
NM_032521,PARD6B,84612,Hs.589848,NP_115910,7.14,Down in ASD,chr20,+,49348080,49370277,RefSeq_coding
NM_003287,TPD52L1,7164,Hs.591347,NP_003278,2.84,Down in ASD,chr6,+,125474878,125584644,RefSeq_coding
NM_032382,COG8,84342,Hs.130849,NP_115758,2.48,Down in ASD,chr16,-,69362523,69373526,RefSeq_coding
NM_153221,CILP2,148113,Hs.279574,NP_694953,4.57,Down in ASD,chr19,+,19649073,19657466,RefSeq_coding
NM_001033678,TRPT1,83707,Hs.326586,NP_113660,5.39,Down in ASD,chr11,-,63991271,63993726,RefSeq_coding
NM_013962,NRG1,3084,Hs.453951,NP_039258,2.28,Down in ASD,chr8,+,31497267,32600768,RefSeq_coding
NM_000181,GUSB,2990,Hs.255230,NP_000172,2.92,Down in ASD,chr7,-,65425674,65447301,RefSeq_coding
NM_020397,CAMK1D,57118,Hs.659517,NP_705718,2.33,Down in ASD,chr10,+,12391582,12868135,RefSeq_coding
NM_005715,UST,10090,Hs.657370,NP_005706,2.55,Down in ASD,chr6,+,149068270,149398125,RefSeq_coding
NM_080476,PIGU,128869,Hs.253319,NP_536724,2.1,Down in ASD,chr20,-,33148346,33265089,RefSeq_coding
NM_001040442,FABP6,2172,Hs.519719,NP_001436,2.64,Down in ASD,chr5,+,159626047,159665729,RefSeq_coding
NM_032854,CORO6,84940,Hs.143046,NP_116243,2.29,Down in ASD,chr17,-,27941773,27948441,RefSeq_coding
NM_173477,USH1G,124590,Hs.376688,NP_775748,3.5,Down in ASD,chr17,-,72912175,72919351,RefSeq_coding
NM_013387,UQCR10,29796,Hs.284292,NP_037519,2.38,Down in ASD,chr22,+,30163357,30166402,RefSeq_coding
NM_001013437,SEH1L,81929,Hs.301048,NP_112493,4.1,Down in ASD,chr18,+,12947982,12987533,RefSeq_coding
NM_012426,SF3B3,23450,Hs.514435,NP_036558,4.24,Down in ASD,chr16,+,70557690,70611570,RefSeq_coding
NM_144604,ZC3H18,124245,Hs.93670,NP_653205,2.08,Down in ASD,chr16,+,88636788,88698371,RefSeq_coding
NM_004175,SNRPD3,6634,Hs.356549,NP_004166,3.54,Down in ASD,chr22,+,24951617,24968509,RefSeq_coding
NM_014917,NTNG1,22854,Hs.657434,NP_055732,4.1,Down in ASD,chr1,+,107682744,108024471,RefSeq_coding
NM_032359,C3orf26,84319,Hs.655111,NP_115735,2.03,Down in ASD,chr3,+,99536677,99897476,RefSeq_coding
NM_031901,MRPS21,54460,Hs.405880,NP_114107,2.08,Down in ASD,chr1,+,150266268,150280818,RefSeq_coding
NM_001323,CST6,1474,Hs.139389,NP_001314,4.07,Down in ASD,chr11,+,65779461,65780975,RefSeq_coding
NM_015001,SPEN,23013,Hs.725959,NP_055816,6.24,Down in ASD,chr1,+,16174358,16266950,RefSeq_coding
NM_001040025,ARL16,339231,Hs.658789,NP_001035114,4.26,Down in ASD,chr17,-,79648233,79650954,RefSeq_coding
NM_015704,PPPDE2,27351,Hs.570455,NP_056519,3.12,Down in ASD,chr22,-,41996935,42016916,RefSeq_coding
NM_022104,PCIF1,63935,Hs.472856,NP_071387,3.97,Down in ASD,chr20,+,44563316,44576660,RefSeq_coding
NM_001031677,RAB24,53917,Hs.16258,NP_570137,2.21,Down in ASD,chr5,-,176728199,176730744,RefSeq_coding
NM_015934,NOP58,51602,Hs.471104,NP_057018,5.51,Down in ASD,chr2,+,203130514,203168382,RefSeq_coding
NM_001166163,PPP1R9A,55607,Hs.21816,NP_060120,12.36,Down in ASD,chr7,+,94539209,94925725,RefSeq_coding
NM_031430,RILP,83547,Hs.534497,NP_113618,2.2,Down in ASD,chr17,-,1549446,1553392,RefSeq_coding
NM_001177413,RPS27A,6233,Hs.546292,NP_002945,4.21,Down in ASD,chr2,+,55459813,55462987,RefSeq_coding
NM_001007464,RWDD1,51389,Hs.532164,NP_057188,2.72,Down in ASD,chr6,+,116892582,116914432,RefSeq_coding
NM_001160004,NRG1,3084,Hs.453951,NP_039258,3.57,Down in ASD,chr8,+,32405727,32622558,RefSeq_coding
NM_152423,MUM1L1,139221,Hs.592221,NP_689636,2.1,Down in ASD,chrX,+,105412297,105452948,RefSeq_coding
NM_001128223,ZNF717,100131827,Hs.556877,NP_001121695,3.68,Down in ASD,chr3,-,75786029,75834255,RefSeq_coding
NM_021952,ELAVL4,1996,Hs.213050,NP_068771,2.09,Down in ASD,chr1,+,50574593,50667540,RefSeq_coding
NM_004200,SYT7,9066,Hs.502730,NP_004191,2.65,Down in ASD,chr11,-,61282787,61348298,RefSeq_coding
NM_144988,ALG14,199857,Hs.408927,NP_659425,2.37,Down in ASD,chr1,-,95448278,95538507,RefSeq_coding
NM_058229,FBXO32,114907,Hs.403933,NP_680482,2.52,Down in ASD,chr8,-,124515358,124553446,RefSeq_coding
NM_032878,ALKBH6,84964,Hs.71941,NP_942567,3.05,Down in ASD,chr19,-,36500021,36505141,RefSeq_coding
NM_005105,RBM8A,9939,Hs.728824,NP_005096,2.85,Down in ASD,chr1,+,145507637,145511444,RefSeq_coding
NM_024093,C2orf49,79074,Hs.549577,NP_076998,2.22,Down in ASD,chr2,+,105954012,105961984,RefSeq_coding
NM_006569,CGREF1,10669,Hs.159525,NP_006560,5.25,Down in ASD,chr2,-,27323462,27341995,RefSeq_coding
NM_003706,PLA2G4C,8605,Hs.631562,NP_003697,2.15,Down in ASD,chr19,-,48551100,48614109,RefSeq_coding
NM_013319,UBIAD1,29914,Hs.522933,NP_037451,3.11,Down in ASD,chr1,+,11333254,11348490,RefSeq_coding
NM_000475,NR0B1,190,Hs.268490,NP_000466,2.77,Down in ASD,chrX,-,30322539,30327495,RefSeq_coding
NM_001166422,HDAC8,55869,Hs.310536,NP_060956,4.09,Down in ASD,chrX,-,71787432,71792953,RefSeq_coding
NM_003096,SNRPG,6637,Hs.516076,NP_003087,2.48,Down in ASD,chr2,-,70508509,70520869,RefSeq_coding
NM_006816,LMAN2,10960,Hs.75864,NP_006807,2.45,Down in ASD,chr5,-,176758563,176778885,RefSeq_coding
NM_003278,CLEC3B,7123,Hs.476092,NP_003269,2.03,Down in ASD,chr3,+,45067758,45077562,RefSeq_coding
NM_006232,POLR2H,5437,Hs.432574,NP_006223,3.51,Down in ASD,chr3,+,184081193,184086363,RefSeq_coding
NM_014845,FIG4,9896,Hs.529959,NP_055660,4.02,Down in ASD,chr6,+,110012423,110146634,RefSeq_coding
NM_006694,JTB,10899,Hs.6396,NP_006685,2.38,Down in ASD,chr1,-,153946746,153950451,RefSeq_coding
NM_203406,MBLAC2,153364,Hs.64004,NP_981951,3.66,Down in ASD,chr5,-,89754021,89770585,RefSeq_coding
NM_025244,TSGA10,80705,Hs.120267,NP_878915,2.77,Down in ASD,chr2,-,99613724,99771187,RefSeq_coding
NM_006660,CLPX,10845,Hs.113823,NP_006651,2.49,Down in ASD,chr15,-,65442784,65477563,RefSeq_coding
NM_001136501,ZNF844,284391,Hs.646391,NP_001129973,3.94,Down in ASD,chr19,+,12175545,12188626,RefSeq_coding
NM_138820,HIGD2A,192286,Hs.534575,NP_620175,4.22,Down in ASD,chr5,+,175815783,175816750,RefSeq_coding
NM_015921,CUTA,51596,Hs.520070,NP_057005,2.42,Down in ASD,chr6,-,33384318,33386065,RefSeq_coding
