Gene,"P value (EDASeq  normalized gene estimates in a ISV, age sex, site and brain region adjusted model)",Mean Expression (log2),Beta,Standard Error,,
YAF2,2.50E-04,9.47,0.45,0.12,,
GGT5,2.53E-04,6.27,0.61,0.18,,
LMO4,2.54E-04,12.95,0.34,0.10,,
CCDC3,2.54E-04,9.57,0.40,0.11,,
STX4,2.62E-04,8.55,-0.29,0.08,,
ACTN2,2.77E-04,10.11,0.32,0.09,,
ANKS3,2.81E-04,8.92,-0.30,0.09,,
KIAA1161,2.87E-04,7.08,0.51,0.13,,
TLN2,3.04E-04,10.90,0.27,0.08,,
RASAL1,3.13E-04,8.82,0.34,0.10,,
RPL31P63,3.16E-04,4.83,-0.89,0.26,,
COA3,3.20E-04,9.51,0.23,0.07,,
S100A10,3.24E-04,7.42,0.61,0.18,,
C15orf38,3.42E-04,6.34,0.52,0.16,,
LIMCH1,3.46E-04,10.80,0.41,0.10,,
HPCAL4,3.46E-04,11.03,0.52,0.12,,
SMTN,3.50E-04,5.21,-0.58,0.17,,
RAB6B,3.50E-04,11.95,0.22,0.06,,
SNX6,3.56E-04,7.41,0.54,0.17,,
MCF2L,3.57E-04,9.72,-0.32,0.09,,
DCTD,3.76E-04,8.81,-0.39,0.11,,
CTDSPL,3.81E-04,9.39,0.33,0.12,,
ARL5B,3.84E-04,5.39,-0.97,0.29,,
GPR123,3.92E-04,9.06,0.37,0.11,,
NPTX1,4.08E-04,9.96,0.37,0.11,,
C16orf45,4.15E-04,12.24,0.18,0.05,,
FXYD6,4.42E-04,12.11,0.30,0.09,,
C19orf12,4.42E-04,8.20,0.35,0.11,,
AGL,4.52E-04,8.20,0.49,0.15,,
MYO9A,4.53E-04,9.01,0.46,0.14,,
TMEM107,4.55E-04,6.81,0.44,0.14,,
PIK3CD,4.56E-04,6.69,0.51,0.16,,
CHRDL1,4.59E-04,7.94,0.56,0.17,,
RPLP0P2,4.62E-04,5.59,0.77,0.23,,
POLR2H,4.73E-04,7.92,0.30,0.09,,
CHCHD7,4.83E-04,8.11,-0.43,0.13,,
PRRT3,4.88E-04,9.03,0.26,0.08,,
MMP16,4.90E-04,8.31,0.49,0.15,,
SP2,4.92E-04,7.91,0.44,0.13,,
SCN3B,4.99E-04,11.48,0.34,0.10,,
UBXN1,5.00E-04,10.67,-0.23,0.07,,
TENM3,5.04E-04,9.29,0.63,0.18,,
LEPREL4,5.08E-04,6.42,0.51,0.14,,
ZSCAN30,5.09E-04,6.36,-0.50,0.15,,
LARP1,5.11E-04,11.17,0.25,0.07,,
TPRKB,5.26E-04,5.08,-0.86,0.26,,
ELAVL4,5.39E-04,10.61,0.40,0.12,,
CNOT6,5.39E-04,7.85,-0.48,0.15,,
KCNC4,5.52E-04,9.66,0.21,0.07,,
NSA2,5.73E-04,8.67,-0.61,0.19,,
TGFA,5.84E-04,6.42,0.62,0.19,,
ISCA2,5.88E-04,7.79,0.44,0.14,,
IL1RAPL1,5.98E-04,9.27,0.54,0.17,,
ZNF562,6.05E-04,7.42,-0.50,0.15,,
RBM26,6.15E-04,10.02,0.34,0.11,,
MPI,6.15E-04,8.67,0.29,0.09,,
RP11.521B24.3,6.18E-04,4.93,0.59,0.18,,
MSRB3,6.24E-04,6.07,-0.92,0.29,,
CXorf36,6.31E-04,6.38,0.73,0.23,,
UQCR10,6.47E-04,10.97,0.20,0.06,,
IFT43,6.52E-04,8.49,-0.32,0.10,,
NTSR2,6.55E-04,8.11,0.38,0.11,,
PRKAR2A,6.56E-04,9.44,0.28,0.09,,
CELSR2,6.69E-04,9.67,0.28,0.09,,
GPR155,6.77E-04,10.52,0.54,0.15,,
TRIM2,6.83E-04,10.46,0.47,0.13,,
IGSF9B,6.84E-04,4.21,0.73,0.23,,
KIF3B,7.04E-04,11.15,0.25,0.07,,
MLL,7.05E-04,10.00,0.33,0.10,,
SYT17,7.11E-04,9.38,0.35,0.11,,
ZSWIM4,7.43E-04,5.25,-0.60,0.19,,
ACIN1,7.44E-04,10.51,-0.29,0.08,,
KIAA0513,7.58E-04,11.00,0.27,0.08,,
ILVBL,7.60E-04,8.39,0.32,0.10,,
ELAVL1,7.60E-04,7.80,0.30,0.10,,
CNDP2,7.65E-04,10.02,0.20,0.06,,
ZBTB20,7.78E-04,9.49,0.62,0.17,,
TMEM246,8.05E-04,10.57,0.40,0.13,,
MRPS15,8.08E-04,9.29,-0.24,0.08,,
NDUFB7,8.08E-04,11.85,-0.22,0.07,,
DPYSL2,8.17E-04,13.30,0.39,0.12,,
AAK1,8.18E-04,11.75,0.45,0.14,,
CANT1,8.33E-04,7.02,0.44,0.13,,
B4GALT7,8.36E-04,7.69,0.34,0.11,,
PREB,8.45E-04,7.62,0.37,0.11,,
MARK4,9.00E-04,8.72,0.27,0.09,,
CRB2,9.02E-04,6.93,0.47,0.15,,
PRKAA1,9.03E-04,5.17,-1.02,0.33,,
RP11.401P9.4,9.05E-04,5.87,-0.65,0.21,,
RPRM,9.08E-04,7.49,0.49,0.16,,
TMEM110,9.42E-04,5.52,-0.59,0.19,,
AP005482.1,9.48E-04,5.33,-0.49,0.16,,
BTN3A2,9.72E-04,6.50,0.97,0.32,,
ANKLE2,9.73E-04,8.13,-0.30,0.10,,
NT5C,9.77E-04,7.84,-0.31,0.10,,
MCM6,9.84E-04,7.05,0.64,0.21,,
TRIM36,9.88E-04,7.46,0.69,0.23,,
MPST,1.00E-03,8.68,0.29,0.08,,
SEZ6L2,1.00E-03,12.08,0.25,0.08,,
H2AFV,1.00E-03,10.16,0.27,0.09,,
PCLO,1.04E-03,11.51,0.43,0.14,,
SLC39A10,1.05E-03,9.67,0.44,0.15,,
ASAP3,1.07E-03,7.54,0.38,0.13,,
NFIA,1.07E-03,10.95,0.33,0.10,,
SCRIB,1.07E-03,8.81,-0.28,0.09,,
FTSJ1,1.07E-03,7.18,-0.25,0.08,,
C8orf59,1.08E-03,5.28,-0.88,0.29,,
PRR18,1.08E-03,7.07,0.38,0.12,,
KIRREL3,1.08E-03,9.75,0.38,0.12,,
TCF4,1.10E-03,11.98,0.37,0.12,,
LPPR3,1.10E-03,10.01,0.35,0.11,,
TOP1MT,1.11E-03,5.89,-0.48,0.16,,
MAPRE2,1.12E-03,11.79,0.29,0.09,,
CREB1,1.13E-03,7.05,0.71,0.23,,
SYAP1,1.13E-03,8.84,-0.26,0.08,,
TIMM22,1.13E-03,8.59,0.33,0.10,,
RP11.169K16.7,1.14E-03,9.81,-0.36,0.11,,
KIFC3,1.15E-03,9.55,-0.22,0.07,,
GLRX3,1.15E-03,7.93,-0.44,0.14,,
C19orf70,1.15E-03,10.65,-0.17,0.06,,
PTPRZ1,1.16E-03,10.59,0.59,0.17,,
SEMA4F,1.17E-03,8.25,0.46,0.14,,
HNMT,1.18E-03,8.10,-0.53,0.18,,
RAP1GAP2,1.19E-03,9.40,0.39,0.13,,
VPS13A,1.21E-03,8.49,0.39,0.13,,
PTPRS,1.21E-03,10.88,0.25,0.08,,
ATHL1,1.22E-03,4.96,0.68,0.22,,
IFRD2,1.22E-03,5.83,-0.58,0.18,,
FAM134B,1.23E-03,10.40,0.45,0.13,,
SDHA,1.24E-03,11.10,-0.22,0.07,,
NCSTN,1.24E-03,8.62,-0.29,0.10,,
SYN2,1.24E-03,12.86,0.38,0.10,,
YLPM1,1.25E-03,10.02,0.33,0.11,,
BIN3,1.26E-03,6.53,-0.64,0.22,,
LIFR,1.29E-03,6.79,0.80,0.25,,
PTPRK,1.32E-03,10.10,0.34,0.11,,
EIF1AX,1.32E-03,9.20,0.48,0.16,,
EIF2D,1.34E-03,7.67,-0.33,0.10,,
ZDBF2,1.34E-03,5.59,-1.07,0.36,,
SGTB,1.34E-03,9.24,0.48,0.16,,
ENSAP2,1.35E-03,6.51,-0.56,0.19,,
SFXN3,1.35E-03,8.12,0.31,0.10,,
HTR2A,1.37E-03,9.11,0.54,0.17,,
ZNF780A,1.39E-03,5.59,-0.87,0.29,,
MIER2,1.41E-03,6.23,-0.49,0.16,,
RAB28,1.41E-03,8.66,-0.42,0.14,,
YWHAB,1.43E-03,14.02,0.34,0.11,,
POLR3A,1.43E-03,9.50,0.31,0.11,,
CYFIP2,1.44E-03,12.37,0.18,0.06,,
ANKRD34A,1.46E-03,7.91,0.47,0.14,,
C1R,1.46E-03,7.10,0.56,0.17,,
CUX1,1.47E-03,10.11,-0.25,0.08,,
RHBDD2,1.48E-03,12.43,0.24,0.07,,
WWP2,1.49E-03,9.71,0.20,0.07,,
TPRG1L,1.51E-03,10.80,0.20,0.07,,
SLC16A8,1.52E-03,5.81,0.54,0.15,,
GOLGA7B,1.52E-03,10.44,0.21,0.07,,
TMEM52B,1.52E-03,5.04,-0.79,0.27,,
ZNF236,1.53E-03,7.58,0.54,0.18,,
AC090602.1,1.55E-03,5.95,-0.63,0.22,,
B3GNT4,1.55E-03,5.83,0.47,0.16,,
MIB2,1.57E-03,10.17,-0.21,0.07,,
GLRX,1.61E-03,8.41,-0.50,0.17,,
LRRK2,1.61E-03,8.29,-0.71,0.24,,
ARHGAP27,1.62E-03,5.66,-0.61,0.20,,
BHLHE40,1.63E-03,9.25,-0.39,0.13,,
RP11.14N7.2,1.65E-03,7.20,0.53,0.18,,
KIF19,1.69E-03,4.68,0.88,0.27,,
FAM174B,1.71E-03,8.90,0.38,0.12,,
FIBCD1,1.71E-03,4.54,0.66,0.23,,
ZNF175,1.72E-03,4.88,-1.03,0.36,,
RBMX2,1.72E-03,8.94,0.33,0.11,,
CLDN11,1.74E-03,10.92,0.34,0.12,,
NHSL1,1.76E-03,7.89,0.59,0.19,,
KLF6,1.78E-03,8.98,0.40,0.14,,
ZMYND8,1.78E-03,10.33,0.26,0.08,,
MAP1A,1.80E-03,14.17,0.37,0.12,,
RP11.66B24.4,1.82E-03,6.34,0.62,0.21,,
SRGAP2,1.82E-03,9.49,0.23,0.08,,
CGRRF1,1.83E-03,6.59,0.75,0.26,,
BAIAP2L2,1.84E-03,5.42,0.45,0.15,,
GPR162,1.85E-03,9.76,0.21,0.07,,
DHX32,1.85E-03,7.20,-0.55,0.18,,
NOP56,1.86E-03,8.47,-0.32,0.11,,
PRR22,1.87E-03,4.38,-0.60,0.21,,
MYL9,1.88E-03,5.23,-0.75,0.26,,
AC007318.5,1.88E-03,8.61,-0.37,0.13,,
ARHGEF4,1.92E-03,12.07,-0.20,0.07,,
MDK,1.92E-03,6.52,0.57,0.18,,
PTGR1,1.92E-03,7.84,0.38,0.13,,
BRD2,1.92E-03,9.82,-0.21,0.07,,
POMT1,1.93E-03,8.54,-0.25,0.09,,
SYNPO2,1.94E-03,7.72,0.51,0.17,,
SLC12A5,1.95E-03,9.93,0.25,0.09,,
SETD4,1.97E-03,7.91,-0.36,0.13,,
YBX1P10,2.01E-03,4.86,-0.52,0.18,,
ORMDL1,2.03E-03,7.82,-0.56,0.20,,
UBAP1L,2.07E-03,7.09,-0.39,0.13,,
KCND3,2.08E-03,9.52,0.32,0.10,,
PRICKLE4,2.09E-03,4.70,-0.51,0.18,,
C9orf78,2.09E-03,9.68,0.26,0.08,,
KLHDC10,2.09E-03,6.07,-0.73,0.25,,
COL5A3,2.10E-03,7.90,-0.36,0.12,,
MIR4720,2.11E-03,7.78,0.40,0.14,,
CACNG3,2.12E-03,10.47,0.29,0.10,,
ACACA,2.13E-03,10.34,0.28,0.10,,
IFITM2,2.14E-03,7.37,0.50,0.17,,
RP11.400F19.6,2.14E-03,4.95,-0.66,0.23,,
RP11.16N11.2,2.17E-03,4.49,-0.67,0.24,,
RPL27A,2.17E-03,11.53,0.28,0.10,,
ANKRD13A,2.18E-03,8.07,0.25,0.09,,
RAP1A,2.19E-03,8.63,0.45,0.15,,
RPL17,2.20E-03,5.47,-0.80,0.26,,
TIMP2,2.21E-03,9.96,0.24,0.08,,
C5orf4,2.23E-03,8.95,0.29,0.10,,
LRP10,2.25E-03,7.52,0.34,0.10,,
NEK11,2.27E-03,7.22,-0.65,0.23,,
KALRN,2.28E-03,11.23,0.25,0.09,,
BABAM1,2.28E-03,9.60,0.24,0.09,,
RP11.88H9.1,2.28E-03,5.78,0.80,0.25,,
AMZ2P1,2.29E-03,8.25,0.42,0.15,,
MORN1,2.30E-03,5.69,-0.41,0.15,,
PSD3,2.32E-03,10.87,0.35,0.11,,
ADCK4,2.32E-03,7.80,0.28,0.10,,
TREM2,2.33E-03,5.88,0.92,0.28,,
ERGIC2,2.34E-03,9.51,-0.29,0.10,,
MAN2C1,2.34E-03,8.05,0.28,0.10,,
KBTBD7,2.35E-03,6.73,0.70,0.24,,
CCDC85C,2.35E-03,6.44,-0.49,0.17,,
LETMD1,2.38E-03,9.21,0.26,0.09,,
RHOBTB2,2.40E-03,9.50,-0.19,0.07,,
USP42,2.40E-03,8.24,0.32,0.10,,
MAGEE1,2.41E-03,7.35,0.41,0.14,,
TPI1,2.43E-03,12.37,0.23,0.08,,
UFM1,2.44E-03,9.79,-0.38,0.13,,
RHBDL1,2.46E-03,8.43,-0.26,0.09,,
HERC3,2.48E-03,6.52,-0.81,0.29,,
ENDOD1,2.48E-03,9.76,0.34,0.11,,
DHX9,2.48E-03,10.56,-0.34,0.12,,
PALM2,2.48E-03,8.83,0.48,0.16,,
TMEM203,2.50E-03,8.06,0.25,0.09,,
MT1F,2.51E-03,7.50,-0.65,0.20,,
HNRNPKP2,2.54E-03,5.51,-0.72,0.26,,
FOXP4,2.57E-03,7.47,0.40,0.13,,
ICAM5,2.57E-03,9.93,0.40,0.12,,
LHX2,2.58E-03,9.33,0.23,0.08,,
NEIL2,2.59E-03,9.64,0.24,0.08,,
ZNF469,2.61E-03,5.05,-0.51,0.18,,
CHPF2,2.62E-03,7.36,-0.38,0.12,,
SIK1,2.63E-03,5.80,-0.77,0.23,,
PASK,2.64E-03,4.96,-0.62,0.22,,
PHF6,2.64E-03,5.44,-0.88,0.32,,
ANKRD27,2.68E-03,7.42,0.40,0.14,,
FAM126B,2.72E-03,6.63,0.78,0.26,,
GPRC5B,2.73E-03,10.79,0.22,0.08,,
KIAA1211L,2.73E-03,10.36,0.27,0.09,,
ING3,2.74E-03,7.77,-0.61,0.19,,
CTD.2020K17.1,2.74E-03,6.18,-0.49,0.15,,
COPZ1,2.75E-03,9.73,0.19,0.07,,
CTD.2003C8.1,2.75E-03,5.23,-0.68,0.25,,
RIT1,2.75E-03,6.60,-0.48,0.17,,
DYSF,2.76E-03,8.03,0.48,0.15,,
MLTK,2.78E-03,6.65,0.59,0.22,,
MAP1LC3A,2.79E-03,11.82,0.28,0.08,,
SCAMP4,2.79E-03,7.29,-0.29,0.10,,
MTCH1,2.79E-03,12.04,0.20,0.07,,
C6orf226,2.79E-03,6.57,-0.33,0.12,,
CCDC40,2.79E-03,5.06,-0.53,0.18,,
TST,2.80E-03,7.59,0.39,0.14,,
FAM188B,2.81E-03,5.60,0.55,0.20,,
WIPF2,2.82E-03,10.44,0.21,0.07,,
C17orf103,2.83E-03,5.94,0.38,0.14,,
PLEKHA6,2.84E-03,8.72,-0.28,0.10,,
RP11.296I10.3,2.85E-03,5.23,-0.74,0.24,,
TMEM132E,2.86E-03,7.34,-0.37,0.13,,
ISCA1,2.87E-03,8.90,0.41,0.15,,
BTBD9,2.88E-03,10.83,0.31,0.11,,
EMG1,2.89E-03,7.24,0.58,0.20,,
TPGS2,2.90E-03,10.17,0.23,0.08,,
ERO1L,2.90E-03,8.02,-0.46,0.17,,
RP4.791K14.2,2.91E-03,9.37,0.30,0.11,,
SLC37A1,2.98E-03,6.99,-0.61,0.19,,
CNTNAP4,2.99E-03,10.41,-0.36,0.12,,
AGPAT4,3.01E-03,9.30,0.31,0.10,,
POLR3C,3.02E-03,7.38,-0.43,0.16,,
CCDC25,3.04E-03,9.68,-0.33,0.12,,
RPRML,3.06E-03,8.34,0.49,0.15,,
SYTL2,3.06E-03,8.50,-0.53,0.19,,
NR1D2,3.10E-03,5.67,0.96,0.30,,
GNL3,3.10E-03,8.89,-0.32,0.12,,
MRPL33,3.11E-03,7.81,-0.59,0.20,,
GPR26,3.12E-03,7.83,0.39,0.14,,
CAMSAP1,3.13E-03,9.45,-0.25,0.09,,
OPLAH,3.14E-03,5.88,-0.40,0.15,,
GRIN2C,3.15E-03,8.38,0.32,0.12,,
ZDHHC12,3.15E-03,5.81,0.44,0.16,,
MAPK7,3.15E-03,5.81,-0.38,0.14,,
SAP30L,3.15E-03,7.45,-0.37,0.14,,
TMEM155,3.16E-03,8.36,0.54,0.20,,
GRIA2,3.20E-03,11.44,0.28,0.10,,
ANKRD39,3.21E-03,7.90,-0.27,0.10,,
PRKCB,3.21E-03,12.79,0.33,0.11,,
RP11.731J8.2,3.21E-03,10.26,0.42,0.15,,
PXDN,3.22E-03,6.04,-0.51,0.19,,
ARL6IP5,3.22E-03,10.62,0.26,0.09,,
GNAO1,3.23E-03,12.10,0.20,0.07,,
CRNKL1,3.24E-03,7.29,0.61,0.23,,
PCDH17,3.26E-03,11.15,0.37,0.14,,
SOX8,3.26E-03,9.54,0.23,0.08,,
GLT25D2,3.27E-03,9.74,0.41,0.13,,
RBM25,3.27E-03,11.26,-0.33,0.12,,
POU2F1,3.28E-03,8.76,0.42,0.15,,
HLA.B,3.29E-03,9.31,0.48,0.15,,
TMEM181,3.32E-03,8.72,0.28,0.10,,
AKT1,3.33E-03,8.77,-0.21,0.08,,
SAP18,3.35E-03,11.51,-0.22,0.08,,
RALYL,3.36E-03,10.36,0.33,0.12,,
CEND1,3.38E-03,12.22,0.20,0.07,,
HHIP,3.39E-03,8.83,0.49,0.16,,
R3HCC1,3.40E-03,10.02,-0.15,0.06,,
SSR3,3.41E-03,8.95,0.39,0.14,,
JDP2,3.41E-03,8.92,-0.26,0.09,,
POLR2G,3.42E-03,8.56,0.32,0.11,,
CXorf23,3.42E-03,5.30,-0.78,0.29,,
LL22NC03.86G7.1,3.44E-03,5.09,-0.53,0.19,,
NLN,3.46E-03,7.81,-0.59,0.20,,
ABCC12,3.46E-03,6.76,0.47,0.17,,
GUCA1A,3.47E-03,5.18,0.56,0.21,,
TCEAL5,3.47E-03,10.26,-0.30,0.11,,
C6orf211,3.47E-03,4.94,0.55,0.20,,
CCDC14,3.49E-03,8.05,0.48,0.18,,
ADCY1,3.50E-03,10.99,0.19,0.07,,
SPNS2,3.52E-03,8.35,-0.28,0.10,,
MAST4,3.54E-03,10.14,0.38,0.14,,
HOMER1,3.56E-03,9.89,0.42,0.14,,
EPHB6,3.57E-03,11.58,0.33,0.10,,
LIG4,3.59E-03,6.43,0.73,0.25,,
RP11.430C1.2,3.60E-03,8.13,-0.46,0.17,,
RP11.46C24.7,3.62E-03,5.83,-0.55,0.20,,
NCOR1,3.63E-03,11.51,0.33,0.11,,
GTF2F1,3.63E-03,10.09,-0.19,0.07,,
ASB3,3.68E-03,7.87,0.54,0.20,,
SMG6,3.68E-03,9.18,0.20,0.07,,
WNT7A,3.69E-03,7.44,0.41,0.15,,
YTHDC2,3.70E-03,7.90,0.39,0.15,,
TBCEL,3.71E-03,7.70,-0.46,0.17,,
RIMBP2,3.73E-03,8.34,0.34,0.13,,
SLC16A1,3.76E-03,7.21,0.61,0.23,,
HSPA9P1,3.77E-03,5.47,0.61,0.22,,
CNNM1,3.78E-03,9.59,0.31,0.11,,
NOL10,3.78E-03,7.32,-0.55,0.20,,
RP11.66N11.8,3.83E-03,4.90,0.42,0.15,,
ZER1,3.83E-03,10.49,0.20,0.06,,
DFNA5,3.84E-03,7.74,-0.41,0.14,,
SNRPA1,3.84E-03,8.06,-0.51,0.17,,
HS3ST5,3.84E-03,5.47,0.76,0.28,,
ABCB7,3.86E-03,7.54,-0.44,0.16,,
B4GALNT4,3.86E-03,9.87,-0.15,0.06,,
ZNF677,3.86E-03,5.92,0.72,0.27,,
STK38L,3.86E-03,5.72,-0.71,0.24,,
MOB3C,3.87E-03,5.17,-0.56,0.20,,
MAN2A1,3.87E-03,8.51,0.40,0.15,,
DAGLA,3.88E-03,7.18,-0.40,0.15,,
ZNF32,3.93E-03,9.08,0.28,0.11,,
MUTYH,3.96E-03,5.91,-0.34,0.13,,
LY6H,3.97E-03,11.26,0.31,0.11,,
GABRB1,3.97E-03,9.62,0.51,0.18,,
GTF2A2,3.98E-03,7.61,-0.57,0.19,,
PTPN9,4.00E-03,8.25,-0.35,0.13,,
GEMIN5,4.02E-03,6.27,-0.65,0.25,,
CCS,4.02E-03,8.38,0.23,0.09,,
RP11.159F24.1,4.02E-03,7.89,0.48,0.19,,
TBCK,4.04E-03,8.32,0.41,0.13,,
ETNK2,4.04E-03,6.56,0.42,0.15,,
KIAA1430,4.04E-03,5.74,-0.79,0.30,,
CHIC1,4.05E-03,5.77,-0.84,0.30,,
C10orf114,4.08E-03,5.80,0.33,0.13,,
LL22NC03.80A10.6,4.09E-03,7.35,-0.41,0.15,,
ZNF837,4.14E-03,4.38,-0.58,0.22,,
RDH11,4.16E-03,9.96,0.22,0.08,,
CWF19L2,4.17E-03,10.09,0.39,0.14,,
MON1B,4.20E-03,9.26,0.27,0.09,,
FOXP2,4.21E-03,8.50,0.52,0.19,,
ASCL1,4.25E-03,8.14,0.40,0.15,,
CABP7,4.26E-03,4.72,-0.83,0.30,,
MAP2K4,4.27E-03,9.59,0.48,0.18,,
UBE2QL1,4.33E-03,10.82,0.28,0.09,,
CHST8,4.44E-03,7.85,0.34,0.13,,
IFNGR1,4.50E-03,7.21,-0.55,0.19,,
PRKCSH,4.50E-03,10.36,-0.14,0.05,,
ZFAND5,4.52E-03,10.85,0.27,0.10,,
SERPINB8,4.62E-03,5.25,-0.61,0.23,,
TMEM144,4.64E-03,8.91,0.48,0.18,,
ASH1L.AS1,4.71E-03,4.69,-0.56,0.21,,
GLA,4.78E-03,6.65,-0.42,0.16,,
PMS1,4.81E-03,7.51,-0.36,0.15,,
SMYD4,4.81E-03,7.16,-0.38,0.15,,
UTP6,4.83E-03,7.54,-0.37,0.14,,
C12orf29,4.84E-03,8.34,0.45,0.17,,
PLEKHM1P,4.90E-03,4.61,-0.56,0.22,,
AAAS,4.91E-03,7.93,-0.22,0.08,,
RP11.586D19.1,4.92E-03,6.59,0.52,0.20,,
SETD2,4.92E-03,8.96,-0.31,0.12,,
MDGA2,4.92E-03,9.02,0.52,0.20,,
SFTPC,4.93E-03,5.20,0.50,0.19,,
EMP1,5.00E-03,5.82,-1.23,0.38,,
SLC20A2,5.00E-03,10.16,-0.28,0.09,,
RP11.15N24.4,5.05E-03,4.22,-0.76,0.26,,
WLS,5.05E-03,9.11,0.41,0.14,,
FAM171B,5.07E-03,9.92,0.41,0.15,,
PJA1,5.08E-03,9.35,0.24,0.09,,
ZBTB7B,5.09E-03,6.44,-0.25,0.09,,
AIFM1,5.10E-03,8.12,0.43,0.16,,
SNRPG,5.11E-03,7.35,-0.55,0.21,,
UBLCP1,5.14E-03,8.96,-0.38,0.15,,
KIAA0907,5.16E-03,7.46,-0.43,0.17,,
GNB5,5.17E-03,10.37,-0.22,0.07,,
