Supplemental table S2. Continued,,,,,
symbol,GeneName,ProbeName,RefSeq,loci,P-value
FLJ10980,hypothetical protein FLJ10980,A_23_P99853,NM_019600,"chr15 (50,660,822-50,757,603)",0.000000481
SNN,stannin,A_23_P152160,NM_003498,,0.00000049
RPL29,ribosomal protein L29,A_32_P204019,NM_000992,,0.000000514
FLJ13910,hypothetical protein FLJ13910,A_23_P257755,NM_022780,"chr2 (86,859,072-86,914,157)",0.000000586
BC043279,,A_32_P97385,b,,0.000000598
GCET2,germinal center expressed transcript 2,A_23_P253250,NM_001008756,"chr3 (113,324,992-113,334,763)",0.00000061
MRPL51,mitochondrial ribosomal protein L51,A_23_P99138,NM_016497,"chr12 (6,471,454-6,472,741)",0.000000655
RAD9A,RAD9 homolog A (S. pombe),A_24_P21715,NM_004584,"chr11 (66,915,989-66,922,465)",0.000000696
MHC2TA,MHC class II transactivator,A_32_P209960,NM_000246,,0.000000696
NID67,putative small membrane protein NID67,A_23_P414273,NM_032947,,0.000000728
TAF1L,"TAF1-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa",A_23_P419850,NM_153809,"chr9 (32,619,452-32,623,944)",0.00000074
CXCL5,chemokine (C-X-C motif) ligand 5,A_23_P110204,NM_002994,"chr4 (75,226,395-75,229,484)",0.000000782
ENST00000324691,,A_24_P212834,ns,,0.000000792
LOC283849,hypothetical protein LOC283849,A_24_P331655,NM_178516,"chr16 (65,775,798-65,781,580)",0.000000821
A_24_P332326,,A_24_P332326,,,0.000000841
NDFIP1,Nedd4 family interacting protein 1,A_24_P209109,NM_030571,"chr5 (141,468,508-141,513,128)",0.000000871
LCMT1,leucine carboxyl methyltransferase 1,A_23_P112825,NM_016015,,0.00000088
AREG,amphiregulin (schwannoma-derived growth factor),A_23_P259071,NM_001657,"chr4 (75,675,861-75,685,767)",0.000000899
MUC5AC,"mucin 5, subtypes A and C, tracheobronchial/gastric",A_24_P935054,b,,0.000000937
A_24_P221285,,A_24_P221285,,,0.000001
HERC2,hect domain and RLD 2,A_23_P33407,NM_004667,"chr15 (26,029,770-26,199,597)",0.00000101
TM9SF1,transmembrane 9 superfamily member 1,A_23_P151586,NM_006405,"chr14 (23,728,203-23,734,760)",0.00000105
PTPLA,"protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a",A_23_P161352,NM_014241,"chr10 (17,672,272-17,699,392)",0.00000105
DEADC1,deaminase domain containing 1,A_23_P134014,NM_182503,,0.00000108
PRKRA,"protein kinase, interferon-inducible double stranded RNA dependent activator",A_23_P91019,NM_003690,"chr2 (179,121,615-179,141,466)",0.00000109
EHMT1,euchromatic histone-lysine N-methyltransferase 1,A_23_P217120,NM_024757,"chr9 (137,887,363-138,006,414)",0.00000112
SNN,stannin,A_24_P30923,NM_003498,"chr16 (11,669,771-11,680,518)",0.00000117
ENST00000308572,ectonucleoside triphosphate diphosphohydrolase 7,A_23_P86623,NM_020354,"chr10 (101,409,253-101,463,718)",0.0000012
SPAR,surfactant protein A binding protein,A_24_P63397,b,"chr4 (148,306,727-148,307,562)",0.0000012
KIAA1005,KIAA1005 protein,A_32_P123966,NM_015272,"chr16 (52,192,101-52,295,258)",0.0000012
SEPHS1,selenophosphate synthetase 1,A_23_P150092,NM_012247,"chr10 (13,399,923-13,430,303)",0.00000121
APBB1,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",A_24_P372613,NM_001164,"chr11 (6,372,916-6,396,917)",0.00000124
PSEN2,presenilin 2 (Alzheimer disease 4),A_24_P62521,NM_000447,"chr1 (223,364,981-223,390,905)",0.00000124
A_32_P132276,,A_32_P132276,b,"chr5 (61,720,494-61,723,115)",0.00000124
ACK1,"tyrosine kinase, non-receptor, 2",A_23_P61633,NM_005781,"chr3 (197,078,537-197,124,272)",0.00000127
DKFZP434C171,DKFZP434C171 protein,A_23_P213810,NM_015621,"chr5 (150,540,807-150,561,467)",0.0000013
TCF7,"transcription factor 7 (T-cell specific, HMG-box)",A_23_P7582,NM_003202,,0.0000013
CDC40,cell division cycle 40 homolog (yeast),A_23_P351320,NM_015891,"chr6 (110,626,880-110,682,170)",0.00000134
SELL,selectin L (lymphocyte adhesion molecule 1),A_23_P103522,NM_000655,"chr1 (166,391,457-166,412,500)",0.00000147
A_24_P919931,,A_24_P919931,,"chr2 (27,265,274-27,269,199)",0.00000151
NIFIE14,seven transmembrane domain protein,A_23_P79043,NM_032635,"chr19 (40,728,326-40,730,276)",0.00000152
HIST1H3D,"histone 1, H3d",A_23_P219045,NM_003530,"chr6 (26,304,867-26,307,500)",0.00000153
RASSF4,Ras association (RalGDS/AF-6) domain family 4,A_24_P295590,NM_032023,"chr10 (44,775,213-44,810,211)",0.00000156
FLNB,"filamin B, beta (actin binding protein 278)",A_23_P211878,NM_001457,"chr3 (57,969,166-58,133,015)",0.00000167
APPL,"adaptor protein containing pH domain, PTB domain and leucine zipper motif 1",A_23_P166663,NM_012096,"chr3 (57,236,800-57,279,689)",0.00000171
AW833633,,A_32_P165096,hc,"chr6 (156,976,912-156,977,292)",0.00000171
LOC392793,similar to eukaryotic translation elongation factor 1 beta 2; eukaryotic translation elongation factor 1 beta 1,A_24_P109821,XM_374526,,0.00000183
RIMS3,regulating synaptic membrane exocytosis 3,A_23_P319583,NM_014747,,0.00000187
DKFZp434P162,"golgi autoantigen, golgin family member",A_32_P103669,NM_001012423,"chr15 (73,351,490-73,352,853)",0.00000188
FLJ35773,hypothetical protein FLJ35773,A_23_P340218,NM_152599,"chr17 (8,641,153-8,643,392)",0.00000193
HIST1H3B,"histone 1, H3b",A_24_P174924,NM_003537,,0.00000196
PHF3,PHD finger protein 3,A_23_P70371,NM_015153,"chr6 (64,414,362-64,482,478)",0.000002
MAN2A1,"mannosidase, alpha, class 2A, member 1",A_23_P360769,NM_002372,"chr5 (109,053,500-109,230,763)",0.00000206
G1P2,"interferon, alpha-inducible protein (clone IFI-15K)",A_23_P819,NM_005101,"chr1 (988,911-989,996)",0.00000217
HIST2H3C,"histone 2, H3c",A_23_P435029,b,"chr1 (146,624,183-146,625,842)",0.00000226
HSPB6,"heat shock protein, alpha-crystallin-related, B6",A_24_P308029,NM_144617,"chr19 (40,937,288-40,939,799)",0.00000226
INPP5E,"inositol polyphosphate-5-phosphatase, 72 kDa",A_24_P317835,NM_019892,"chr9 (136,598,903-136,610,151)",0.00000226
MIA,melanoma inhibitory activity,A_23_P4714,NM_006533,"chr19 (45,973,122-45,975,239)",0.00000227
FLJ32954,"family with sequence similarity 82, member A",A_24_P131392,NM_144713,"chr2 (38,090,010-38,143,019)",0.00000228
NMT1,N-myristoyltransferase 1,A_23_P107373,NM_021079,"chr17 (40,537,587-40,541,028)",0.0000023
MGC17791,"tumor necrosis factor, alpha-induced protein 8-like 1",A_23_P428875,NM_152362,"chr19 (4,590,527-4,604,781)",0.00000232
C10orf137,chromosome 10 open reading frame 137,A_23_P435697,NM_015608,,0.00000232
A_23_P207049,,A_23_P207049,,,0.00000235
MR-1,myofibrillogenesis regulator 1,A_23_P90732,b,"chr2 (218,960,620-218,963,343)",0.00000245
PGBD2,piggyBac transposable element derived 2,A_23_P334777,NM_170725,"chr1 (245,410,188-245,423,099)",0.00000248
FLJ39441,hypothetical protein FLJ39441,A_23_P328237,NM_194285,"chr11 (18,584,525-18,612,616)",0.00000266
TRA1,tumor rejection antigen (gp96) 1,A_23_P2601,NM_003299,"chr12 (102,826,761-102,843,907)",0.00000267
A_24_P170103,,A_24_P170103,,,0.00000269
Supplemental Table S2. Continued,,,,,
symbol,GeneName,ProbeName,RefSeq,loci,P-value
METAP2,methionyl aminopeptidase 2,A_23_P99260,NM_006838,"chr12 (94,369,880-94,412,087)",0.0000027
LOC92906,heterogeneous nuclear ribonucleoprotein L-like,A_24_P234214,NM_138394,"chr2 (38,702,828-38,741,742)",0.00000275
A_24_P596251,,A_24_P596251,,,0.00000277
GHSR,growth hormone secretagogue receptor,A_23_P109864,NM_004122,"chr3 (173,648,035-173,648,954)",0.00000293
SPAG9,sperm associated antigen 9,A_24_P365025,NM_003971,"chr17 (46,397,988-46,553,225)",0.00000297
VIM,vimentin,A_23_P161190,NM_003380,"chr10 (17,310,476-17,319,590)",0.00000302
THC2003968,,A_32_P9924,,,0.00000303
ICAM1,"intercellular adhesion molecule 1 (CD54), human rhinovirus receptor",A_23_P153320,NM_000201,"chr19 (10,242,761-10,258,303)",0.00000306
RRM2,ribonucleotide reductase M2 polypeptide,A_24_P234196,NM_001034,"chr2 (10,213,330-10,221,220)",0.00000312
HSPBP1,hsp70-interacting protein,A_23_P170687,NM_012267,"chr19 (60,465,395-60,483,560)",0.00000315
THC1904573,,A_32_P194853,hc,,0.00000322
RIPK4,receptor-interacting serine-threonine kinase 4,A_23_P211267,NM_020639,"chr21 (42,034,423-42,037,368)",0.00000325
SLAMF1,signaling lymphocytic activation molecule family member 1,A_23_P62647,NM_003037,"chr1 (157,393,140-157,429,808)",0.00000335
LZTFL1,leucine zipper transcription factor-like 1,A_23_P41049,NM_020347,"chr3 (45,842,462-45,932,538)",0.00000337
RNF41,ring finger protein 41,A_23_P98884,NM_194358,"chr12 (54,884,546-54,902,009)",0.0000034
CCL17,chemokine (C-C motif) ligand 17,A_23_P26325,NM_002987,"chr16 (55,996,191-56,007,475)",0.00000361
MGC29463,"DnaJ (Hsp40) homolog, subfamily C, member 18",A_32_P149251,NM_152686,"chr5 (138,775,233-138,803,111)",0.00000365
LRRC5,"leucine rich repeat containing 8 family, member D",A_23_P97365,NM_018103,"chr1 (89,999,534-90,113,589)",0.00000369
ATP6V0B,"ATPase, H+ transporting, lysosomal 21kDa, V0 subunit c''",A_23_P137814,NM_004047,"chr1 (44,109,664-44,113,152)",0.00000371
C1GALT1,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1",A_23_P252145,NM_020156,"chr7 (7,047,129-7,057,259)",0.00000393
ENST00000288861,calcium and integrin binding family member 4,A_23_P56913,NM_001029881,"chr2 (26,715,241-26,775,862)",0.00000397
FLJ23053,,A_23_P7512,b,,0.00000399
MGC15887,chromosome 1 open reading frame 153,A_24_P418408,NM_198552,"chr1 (227,461,443-227,482,745)",0.0000041
BC017937,,A_24_P350708,b,"chr16 (15,095,769-15,111,014)",0.00000413
STAR,steroidogenic acute regulator,A_23_P8981,NM_000349,"chr8 (38,119,981-38,127,758)",0.00000417
A_23_P143676,,A_23_P143676,,,0.00000426
KIAA1666,KIAA1666 protein,A_23_P154962,b,"chr22 (18,830,236-18,834,440)",0.00000427
VIM,vimentin,A_23_P161194,NM_003380,"chr10 (17,310,476-17,319,590)",0.00000435
THC1819364,,A_24_P303193,b,"chr5 (137,114,021-137,114,859)",0.00000449
THC1969042,,A_32_P6442,hc,,0.00000462
PITPNC1,"phosphatidylinositol transfer protein, cytoplasmic 1",A_23_P66473,NM_181671,,0.00000465
LAK,alpha-kinase 1,A_23_P133133,NM_025144,"chr4 (113,576,134-113,720,438)",0.00000478
DKFZp761B1514,forty-two-three domain containing 1,A_23_P80827,NM_001011537,,0.00000482
NR1I3,"nuclear receptor subfamily 1, group I, member 3",A_23_P319572,NM_005122,"chr1 (158,012,529-158,021,064)",0.00000489
RASA4,RAS p21 protein activator 4,A_24_P943263,NM_006989,"chr7 (101,816,548-101,851,165)",0.00000496
FLJ10081,hypothetical protein FLJ10081,A_24_P174313,NM_017991,"chr2 (96,701,128-96,719,356)",0.000005
TRIM14,tripartite motif-containing 14,A_24_P197964,NM_014788,"chr9 (97,911,151-97,961,149)",0.00000505
RNF26,ring finger protein 26,A_23_P64630,NM_032015,"chr11 (118,710,417-118,713,233)",0.00000506
TK1,"thymidine kinase 1, soluble",A_23_P107421,NM_003258,"chr17 (73,682,435-73,694,670)",0.00000511
DKFZp434O0213,hypothetical protein DKFZp434O0213,A_24_P387514,NM_182492,"chr22 (24,071,983-24,083,026)",0.00000523
FXYD5,FXYD domain containing ion transport regulator 5,A_23_P130995,NM_144779,"chr19 (40,337,467-40,352,634)",0.0000053
FAM46C,"family with sequence similarity 46, member C",A_23_P137751,NM_017709,,0.00000534
RAB3-GAP150,"rab3 GTPase-activating protein, non-catalytic subunit (150kD)",A_24_P127928,NM_012414,"chr1 (216,712,209-216,834,261)",0.00000536
AK2,adenylate kinase 2,A_24_P500891,NM_013411,"chr1 (58,808,534-58,809,223)",0.00000537
JAKMIP1,multiple coiled-coil GABABR1-binding protein,A_23_P144274,NM_144720,,0.00000551
AK055641,,A_24_P664995,b,"chr12 (52,910,910-52,960,340)",0.00000553
FADS3,fatty acid desaturase 3,A_23_P64404,NM_021727,"chr11 (61,397,566-61,415,602)",0.00000564
ENTPD6,ectonucleoside triphosphate diphosphohydrolase 6 (putative function),A_23_P79999,NM_001247,"chr20 (25,124,338-25,155,448)",0.00000564
SCARB2,"scavenger receptor class B, member 2",A_24_P54879,NM_005506,"chr4 (77,439,306-77,492,235)",0.00000566
BC064610,,A_24_P90022,b,"chr10 (13,399,437-13,419,589)",0.00000569
WFDC8,WAP four-disulfide core domain 8,A_24_P237583,NM_130896,"chr20 (43,613,142-43,641,379)",0.0000057
A_24_P289884,,A_24_P289884,,"chr6 (28,935,381-28,937,838)",0.00000572
PPM1A,"protein phosphatase 1A (formerly 2C), magnesium-dependent, alpha isoform",A_24_P688133,b,"chr14 (59,832,420-59,835,556)",0.00000576
SAMHD1,SAM domain and HD domain 1,A_24_P267592,NM_015474,,0.00000591
KIAA0913,,A_24_P57889,ns,"chr10 (75,219,949-75,229,365)",0.00000591
KLF7,Kruppel-like factor 7 (ubiquitous),A_23_P67980,NM_003709,"chr2 (207,771,035-207,856,248)",0.00000592
TXNDC5,thioredoxin domain containing 5,A_23_P168229,NM_022085,"chr6 (7,826,754-8,009,609)",0.00000594
SEC63,SEC63-like (S. cerevisiae),A_24_P192183,NM_007214,"chr6 (108,298,209-108,386,244)",0.00000596
MGC7036,hypothetical protein MGC7036,A_23_P76109,NM_145058,"chr12 (122,424,468-122,446,181)",0.00000597
TNRC4,trinucleotide repeat containing 4,A_23_P337849,NM_007185,"chr1 (148,487,947-148,502,363)",0.00000604
H2AFZ,"H2A histone family, member Z",A_24_P41570,NM_002106,,0.00000613
UBN1,ubinuclein 1,A_23_P54900,NM_016936,"chr16 (4,842,217-4,872,528)",0.00000616
C20orf35,chromosome 20 open reading frame 35,A_23_P369456,NM_033542,"chr20 (43,425,163-43,431,263)",0.00000624
CYB561D2,cytochrome b-561 domain containing 2,A_23_P121326,NM_007022,"chr3 (50,363,280-50,366,498)",0.00000628
PRKCB1,"protein kinase C, beta 1",A_23_P206585,NM_002738,"chr16 (23,906,935-24,134,818)",0.0000063
GNPDA1,glucosamine-6-phosphate deaminase 1,A_23_P144622,NM_005471,"chr5 (141,360,416-141,372,722)",0.0000064
HIST1H3H,,A_23_P8004,ns,"chr6 (27,885,693-27,887,057)",0.00000645
JDP2,jun dimerization protein 2,A_32_P17484,b,"chr14 (74,960,127-74,964,265)",0.0000065
Supplemental table S2. Continued,,,,,
symbol,GeneName,ProbeName,RefSeq,loci,P-value
SLC35C1,"solute carrier family 35, member C1",A_23_P202720,NM_018389,"chr11 (45,783,216-45,791,142)",0.00000657
A_24_P460599,,A_24_P460599,hc,"chr10 (105,202,537-105,212,769)",0.0000066
ZNF31,zinc finger protein 31 (KOX 29),A_23_P23102,NM_145238,"chr1 (33,613,838-33,631,086)",0.00000663
KIAA0828,KIAA0828 protein,A_23_P252075,NM_015328,"chr7 (128,601,811-128,661,004)",0.00000683
ZNF160,zinc finger protein 160,A_24_P241792,NM_198893,"chr19 (58,260,992-58,298,511)",0.00000688
ZFP36,"zinc finger protein 36, C3H type, homolog (mouse)",A_23_P39237,NM_003407,"chr19 (44,590,199-44,591,179)",0.00000696
A_32_P222751,,A_32_P222751,b,,0.00000696
STAG3,stromal antigen 3,A_23_P145657,NM_012447,"chr7 (99,420,197-99,456,662)",0.00000699
DRG1,developmentally regulated GTP binding protein 1,A_32_P222362,b,,0.00000699
BBS5,Bardet-Biedl syndrome 5,A_24_P208452,NM_152384,,0.000007
TORC2,transducer of regulated cAMP response element-binding protein (CREB) 2,A_23_P12173,NM_181715,"chr1 (150,733,218-150,744,211)",0.00000709
TRAM1,translocation associated membrane protein 1,A_23_P112135,NM_014294,"chr8 (71,649,721-71,682,988)",0.00000712
GALNACT-2,chondroitin sulfate GalNAcT-2,A_23_P149892,NM_018590,"chr10 (42,953,940-43,000,758)",0.00000714
RABGEF1,RAB guanine nucleotide exchange factor (GEF) 1,A_24_P337746,NM_014504,"chr7 (65,649,819-65,720,601)",0.00000727
THC1930158,,A_24_P267686,,"chr22 (17,379,890-17,382,314)",0.00000732
MKRN1,"makorin, ring finger protein, 1",A_24_P410627,b,,0.00000732
A_32_P56726,,A_32_P56726,,,0.00000736
PSCD3,"pleckstrin homology, Sec7 and coiled-coil domains 3",A_23_P111593,NM_004227,"chr7 (5,974,642-6,085,518)",0.00000749
CROC4,chromosome 1 open reading frame 61,A_32_P138032,NM_006365,"chr1 (153,187,114-153,212,266)",0.00000752
ENST00000321656,,A_24_P50057,,,0.00000766
EDG1,"endothelial differentiation, sphingolipid G-protein-coupled receptor, 1",A_23_P404481,NM_001400,"chr1 (101,414,590-101,419,094)",0.00000773
C20orf178,chromatin modifying protein 4B,A_23_P301732,NM_176812,,0.00000774
TRAD,"kalirin, RhoGEF kinase",A_24_P410797,b,"chr3 (125,706,276-125,876,972)",0.00000784
ZNF567,zinc finger protein 567,A_23_P354894,NM_152603,"chr19 (41,872,139-41,904,077)",0.00000788
C22orf3,chromosome 22 open reading frame 3,A_23_P155009,NM_012265,"chr22 (27,980,391-27,988,522)",0.0000079
HIST2H3C,similar to histone H2B histone family,A_24_P324465,NM_001025303,"chr1 (146,588,229-146,626,102)",0.00000803
BATF,"basic leucine zipper transcription factor, ATF-like",A_23_P128974,NM_006399,"chr14 (75,058,529-75,083,086)",0.00000814
NRPS998,2-aminoadipic 6-semialdehyde dehydrogenase,A_24_P307195,NM_181806,"chr4 (57,045,390-57,094,582)",0.00000818
RSN,restin (Reed-Steinberg cell-expressed intermediate filament-associated protein),A_23_P25003,NM_002956,,0.00000825
MYO18A,myosin XVIIIA,A_23_P78122,NM_078471,,0.00000829
KIAA0368,KIAA0368,A_23_P146431,b,"chr9 (111,202,528-111,278,959)",0.0000084
ACADSB,"acyl-Coenzyme A dehydrogenase, short/branched chain",A_23_P158570,NM_001609,"chr10 (124,758,509-124,804,649)",0.00000863
FLJ12649,hypothetical protein FLJ12649,A_23_P22557,b,"chrX (135,036,044-135,048,976)",0.00000887
RGS10,regulator of G-protein signalling 10,A_23_P138717,NM_001005339,"chr10 (121,249,336-121,292,228)",0.00000903
LOC51123,HSPC038 protein,A_23_P252704,NM_016096,"chr8 (102,278,381-102,287,166)",0.00000904
SH2BP1,SH2 domain binding protein 1 (tetratricopeptide repeat containing),A_23_P127676,NM_014633,"chr11 (10,729,334-10,757,882)",0.00000909
EEF2K,eukaryotic elongation factor-2 kinase,A_23_P140792,NM_013302,"chr16 (22,125,246-22,205,584)",0.00000925
ARMC5,armadillo repeat containing 5,A_32_P512500,NM_024742,,0.00000925
GGA2,"golgi associated, gamma adaptin ear containing, ARF binding protein 2",A_32_P106117,NM_015044,,0.00000931
C1orf2,chromosome 1 open reading frame 2,A_23_P63101,NM_006589,,0.00000938
BC041913,,A_32_P63086,b,,0.00000939
DYRK3,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3,A_23_P12282,NM_001004023,"chr1 (203,197,276-203,210,936)",0.00000948
ANXA11,annexin A11,A_23_P35399,NM_145869,"chr10 (81,904,859-81,955,308)",0.00000962
PITPNC1,"phosphatidylinositol transfer protein, cytoplasmic 1",A_23_P84189,NM_181671,,0.00000967
THC1914185,,A_32_P127339,hc,"chr2 (227,525,551-227,525,953)",0.00000988
PWWP2,PWWP domain containing 2,A_23_P374389,NM_138499,"chr10 (134,078,525-134,081,346)",0.00000996
GPR155,G protein-coupled receptor 155,A_23_P335958,NM_152529,"chr2 (175,124,387-175,177,316)",0.00001
