Symbol,GeneName,ProbeName,RefSeq,SAM rank
IL4R,interleukin 4 receptor,A_23_P129556,NM_000418,35
RRM2,ribonucleotide reductase M2 polypeptide,A_24_P225616,NM_001034,36
SLC16A6,"solute carrier family 16 (monocarboxylic acid transporters), member 6",A_24_P731648,NM_004694,37
BC020899,,A_24_P384979,b,38
A_24_P493100,,A_24_P493100,0,39
TNK2,"tyrosine kinase, non-receptor, 2",A_23_P61633,NM_005781,40
SLC16A6,"solute carrier family 16 (monocarboxylic acid transporters), member 6",A_23_P152791,NM_004694,41
DOK3,docking protein 3,A_24_P937536,b,42
IL16,interleukin 16 (lymphocyte chemoattractant factor),A_23_P61057,NM_004513,43
THC2379807,,A_32_P194853,hc,44
AK001405,,A_24_P927679,b,45
CK819477,,A_32_P49854,b,46
GNPDA1,glucosamine-6-phosphate deaminase 1,A_23_P144622,NM_005471,47
PC4,activated RNA polymerase II transcription cofactor 4,A_23_P59921,NM_006713,48
GENX-3414,genethonin 1,A_23_P254079,NM_003943,49
SEL1L,sel-1 suppressor of lin-12-like (C. elegans),A_23_P88411,NM_005065,50
GCET2,germinal center expressed transcript 2,A_23_P253250,NM_001008756,51
A_24_P221285,,A_24_P221285,0,52
DACT1,"dapper, antagonist of beta-catenin, homolog 1 (Xenopus laevis)",A_24_P284093,NM_016651,53
SLC20A1,"solute carrier family 20 (phosphate transporter), member 1",A_23_P165657,NM_005415,54
THC2442107,,A_32_P131011,hc,55
A_23_P72252,,A_23_P72252,0,56
ZNF697,zinc finger protein 697,A_23_P322076,b,57
MYLK,"myosin, light polypeptide kinase",A_23_P143817,NM_053025,58
TCF7,"transcription factor 7 (T-cell specific, HMG-box)",A_23_P7582,NM_003202,59
DKFZP434C171,DKFZP434C171 protein,A_23_P213810,NM_015621,60
A_24_P764595,,A_24_P764595,0,61
GJA10,"gap junction protein, alpha 10, 59kDa",A_23_P74828,NM_030772,62
ELMO3,"engulfment and cell motility 3 (ced-12 homolog, C. elegans)",A_23_P140830,NM_024712,63
FYTTD1,forty-two-three domain containing 1,A_23_P80827,NM_001011537,64
EHMT1,euchromatic histone-lysine N-methyltransferase 1,A_23_P217120,NM_024757,65
ACADSB,"acyl-Coenzyme A dehydrogenase, short/branched chain",A_23_P158570,NM_001609,66
PSCD3,"pleckstrin homology, Sec7 and coiled-coil domains 3",A_23_P111593,NM_004227,67
PHACTR1,phosphatase and actin regulator 1,A_32_P52018,NM_030948,68
NAV2,neuron navigator 2,A_24_P933810,b,69
PRKCB1,"protein kinase C, beta 1",A_23_P206585,NM_002738,70
A_24_P170103,,A_24_P170103,0,71
GNG2,"guanine nucleotide binding protein (G protein), gamma 2",A_32_P208403,NM_053064,72
BBS5,Bardet-Biedl syndrome 5,A_24_P208452,NM_152384,73
THC2363099,,A_24_P920207,hc,74
TRAM1,translocation associated membrane protein 1,A_23_P112135,NM_014294,75
A_24_P780319,,A_24_P780319,0,76
NIPA2,non imprinted in Prader-Willi/Angelman syndrome 2,A_24_P338971,NM_030922,77
A_23_P75830,,A_23_P75830,0,78
IL21R,interleukin 21 receptor,A_24_P227927,NM_181078,79
VIM,vimentin,A_23_P161190,NM_003380,80
BRP44,brain protein 44,A_23_P114929,NM_015415,81
G36726,,A_32_P233049,b,82
THC2379184,,A_32_P70626,hc,83
ANKRD13D,"ankyrin repeat domain 13 family, member D",A_24_P76105,NM_207354,84
TMEM2,transmembrane protein 2,A_23_P94552,NM_013390,85
KCTD17,potassium channel tetramerisation domain containing 17,A_24_P108779,NM_024681,86
RRM2,ribonucleotide reductase M2 polypeptide,A_24_P234196,NM_001034,87
FAM82A,"family with sequence similarity 82, member A",A_23_P102160,b,88
CHST11,carbohydrate (chondroitin 4) sulfotransferase 11,A_23_P139919,NM_018413,89
LOC390535,"golgi autoantigen, golgin family member",A_32_P103669,NM_001012423,90
A_24_P596251,,A_24_P596251,0,91
DKFZP566M114,hypothetical protein DKFZp566M114,A_23_P213085,b,92
AA665072,,A_32_P177685,b,93
IGLV2-14,immunoglobulin lambda variable 2-14,A_24_P510357,b,94
YEATS2,YEATS domain containing 2,A_23_P69437,NM_018023,95
TK1,"thymidine kinase 1, soluble",A_23_P107421,NM_003258,96
SYTL3,synaptotagmin-like 3,A_24_P291826,NM_001009991,97
TUBB2,"tubulin, beta 2",A_23_P19291,NM_001069,98
PI4K2B,phosphatidylinositol 4-kinase type-II beta,A_23_P18598,NM_018323,99
SLAMF1,signaling lymphocytic activation molecule family member 1,A_23_P62647,NM_003037,100
TH,tyrosine hydroxylase,A_23_P258633,NM_199293,101
FADS1,fatty acid desaturase 1,A_23_P203419,NM_013402,102
HAS2,hyaluronan synthase 2,A_23_P10206,NM_005328,103
C10orf137,chromosome 10 open reading frame 137,A_23_P435697,NM_015608,104
FLJ10980,hypothetical protein FLJ10980,A_24_P357576,NM_019600,105
TRA1,tumor rejection antigen (gp96) 1,A_23_P2601,NM_003299,106
BF858887,,A_32_P223918,b,107
ZC3H7B,zinc finger CCCH-type containing 7B,A_23_P218807,NM_017590,108
C1GALT1,"core 1 synthase, glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase, 1",A_23_P252145,NM_020156,109
MHC2TA,MHC class II transactivator,A_32_P209960,NM_000246,110
ADAMTS4,"a disintegrin-like and metalloprotease (reprolysin type) with thrombospondin type 1 motif, 4",A_24_P128163,b,111
PRKCI,"protein kinase C, iota",A_24_P461118,NM_002740,112
ICAM1,"intercellular adhesion molecule 1 (CD54), human rhinovirus receptor",A_23_P153320,NM_000201,113
FLT1,fms-related tyrosine kinase 1 (vascular endothelial growth factor/vascular permeability factor receptor),A_24_P42755,NM_002019,114
PGM2,phosphoglucomutase 2,A_23_P7172,NM_018290,115
VIM,vimentin,A_23_P161194,NM_003380,116
A_32_P94521,,A_32_P94521,0,117
BC012876,,A_24_P318990,b,118
ACTN1,"actinin, alpha 1",A_24_P107695,NM_001102,119
LOC401176,hypothetical gene supported by BC043001,A_32_P204950,b,120
A_32_P6841,,A_32_P6841,0,121
DNMT3B,DNA (cytosine-5-)-methyltransferase 3 beta,A_23_P28953,NM_175850,122
MBTPS1,"membrane-bound transcription factor protease, site 1",A_23_P14948,NM_003791,123
APBB1,"amyloid beta (A4) precursor protein-binding, family B, member 1 (Fe65)",A_24_P372613,NM_001164,124
RNF149,ring finger protein 149,A_23_P120153,NM_173647,125
TM9SF2,transmembrane 9 superfamily member 2,A_24_P210399,NM_004800,126
ACTN1,"actinin, alpha 1",A_23_P105957,NM_001102,127
FLJ10157,hypothetical protein FLJ10157,A_23_P63541,b,128
LOC151963,similar to BcDNA:GH11415 gene product,A_23_P326963,NM_178496,129
JDP2,jun dimerization protein 2,A_32_P17484,b,130
RASSF4,Ras association (RalGDS/AF-6) domain family 4,A_24_P295590,NM_032023,131
TAF1L,"TAF1-like RNA polymerase II, TATA box binding protein (TBP)-associated factor, 210kDa",A_23_P419850,NM_153809,132
A_32_P208076,,A_32_P208076,0,133
AK124953,,A_24_P649327,b,134
TORC2,transducer of regulated cAMP response element-binding protein (CREB) 2,A_23_P12173,NM_181715,135
A_24_P919931,,A_24_P919931,0,136
C9orf90,chromosome 9 open reading frame 90,A_24_P920298,b,137
BCL2A1,BCL2-related protein A1,A_23_P152002,NM_004049,138
DPY19L1P1,dpy-19-like 1 pseudogene 1 (C. elegans),A_24_P453921,b,139
A_24_P409166,,A_24_P409166,0,140
ENST00000338843,,A_23_P202540,ns,141
THC2340346,,A_24_P362769,hc,142
A_24_P920677,,A_24_P920677,0,143
IFIT5,interferon-induced protein with tetratricopeptide repeats 5,A_24_P30194,NM_012420,144
ACTN3,"actinin, alpha 3",A_23_P138881,NM_001104,145
RIMS3,regulating synaptic membrane exocytosis 3,A_23_P319583,NM_014747,146
DYRK3,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3,A_23_P12282,NM_001004023,147
AK123150,,A_32_P49124,b,148
CR590071,,A_24_P417935,b,149
HNRPLL,heterogeneous nuclear ribonucleoprotein L-like,A_24_P916378,b,150
ENST00000306804,,A_24_P152325,ns,151
OTUD1,OTU domain containing 1,A_24_P374834,b,152
MGC33407,hypothetical protein MGC33407,A_23_P319682,NM_178525,153
PITPNC1,"phosphatidylinositol transfer protein, cytoplasmic 1",A_23_P66473,NM_181671,154
CTAGE1,cutaneous T-cell lymphoma-associated antigen 1,A_24_P124805,NM_172241,155
LOC387882,hypothetical protein,A_32_P163089,NM_207376,156
PRKRA,"protein kinase, interferon-inducible double stranded RNA dependent activator",A_23_P91019,NM_003690,157
A_32_P32315,,A_32_P32315,0,158
KIAA1914,KIAA1914,A_23_P406341,NM_001001936,159
NRG2,neuregulin 2,A_23_P213699,NM_013982,160
PRKCH,"protein kinase C, eta",A_24_P937915,b,161
KIAA1618,KIAA1618,A_24_P350124,NM_020954,162
ART5,ADP-ribosyltransferase 5,A_23_P427122,NM_053017,163
PTP4A2,"protein tyrosine phosphatase type IVA, member 2",A_23_P11713,NM_080392,164
A_23_P130187,,A_23_P130187,0,165
A_23_P57836,,A_23_P57836,0,166
LOC283143,hypothetical protein LOC283143,A_32_P147696,b,167
LOC157860,hypothetical protein LOC157860,A_24_P751220,b,168
IGKC,immunoglobulin kappa constant,A_32_P148122,b,169
SLC2A4RG,SLC2A4 regulator,A_23_P102575,NM_020062,170
CCL22,chemokine (C-C motif) ligand 22,A_24_P313418,NM_002990,171
NALP2,"NACHT, leucine rich repeat and PYD containing 2",A_24_P213161,NM_017852,172
A_24_P332326,,A_24_P332326,0,173
LOC144983,heterogeneous nuclear ribonucleoprotein A1-like,A_32_P8015,NM_001011724,174
MBTPS1,"membrane-bound transcription factor protease, site 1",A_23_P14946,NM_003791,175
NR3C1,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",A_24_P214754,NM_000176,176
A_24_P125311,,A_24_P125311,0,177
EEF2K,eukaryotic elongation factor-2 kinase,A_23_P140792,NM_013302,178
PLAG1,pleiomorphic adenoma gene 1,A_23_P411723,NM_002655,179
TRBV5-4,T cell receptor beta variable 5-4,A_23_P352861,b,180
HIST2H3C,"histone 2, H3c",A_23_P435029,b,181
HIG2,hypoxia-inducible protein 2,A_23_P20022,NM_013332,182
RBM30,RNA binding motif protein 30,A_23_P1638,NM_031492,183
SYNE2,"spectrin repeat containing, nuclear envelope 2",A_24_P307759,NM_015180,184
SLAMF1,signaling lymphocytic activation molecule family member 1,A_23_P62652,NM_003037,185
HMGN2,high-mobility group nucleosomal binding domain 2,A_32_P15799,NM_005517,186
MGC39526,hypothetical protein MGC39526,A_24_P7228,b,187
THC2316420,,A_32_P165096,hc,188
C3orf17,chromosome 3 open reading frame 17,A_23_P336670,NM_015412,189
FLJ12057,hypothetical protein FLJ12057,A_23_P166566,NM_024768,190
PPARA,"peroxisome proliferative activated receptor, alpha",A_23_P306730,b,191
DAPK2,death-associated protein kinase 2,A_24_P10233,NM_014326,192
LRP6,low density lipoprotein receptor-related protein 6,A_23_P392457,NM_002336,193
THC2298931,,A_32_P137826,hc,194
DC2,DC2 protein,A_23_P411814,NM_021227,195
CTAGE5,"CTAGE family, member 5",A_24_P366493,b,196
BE004814,,A_32_P226525,b,197
RASA4,RAS p21 protein activator 4,A_24_P943263,NM_006989,198
CDC25A,cell division cycle 25A,A_23_P121423,NM_001789,199
UBOX5,U-box domain containing 5,A_23_P218717,NM_014948,200
SLC26A9,"solute carrier family 26, member 9",A_23_P201248,NM_052934,201
GPR171,G protein-coupled receptor 171,A_23_P253317,NM_013308,202
CKAP4,cytoskeleton-associated protein 4,A_23_P48056,NM_006825,203
GFOD1,glucose-fructose oxidoreductase domain containing 1,A_23_P122662,NM_018988,204
ATP6V0A4,"ATPase, H+ transporting, lysosomal V0 subunit a isoform 4",A_23_P215111,NM_020632,205
ZBP1,Z-DNA binding protein 1,A_23_P259141,NM_030776,206
RAB11FIP4,RAB11 family interacting protein 4 (class II),A_23_P27023,NM_032932,207
GLUL,glutamate-ammonia ligase (glutamine synthase),A_24_P53976,NM_002065,208
WNT6,"wingless-type MMTV integration site family, member 6",A_23_P119916,NM_006522,209
SNN,stannin,A_23_P152160,NM_003498,210
TANC,"TPR domain, ankyrin-repeat and coiled-coil-containing",A_23_P388400,NM_033394,211
OLIG1,oligodendrocyte transcription factor 1,A_23_P154849,NM_138983,212
NPEPL1,aminopeptidase-like 1,A_24_P45005,NM_024663,213
XBP1,X-box binding protein 1,A_23_P120845,NM_005080,214
ENST00000313481,,A_24_P32715,ns,215
BC031940,,A_32_P129340,b,216
ZNF75,zinc finger protein 75 (D8C6),A_23_P339560,b,217
FLNB,"filamin B, beta (actin binding protein 278)",A_23_P211878,NM_001457,218
37506,septin 8,A_23_P144807,b,219
SV2B,synaptic vesicle glycoprotein 2B,A_23_P100022,NM_014848,220
CAMK1D,calcium/calmodulin-dependent protein kinase ID,A_32_P208120,NM_153498,221
WFDC8,WAP four-disulfide core domain 8,A_24_P237583,NM_130896,222
PC4,activated RNA polymerase II transcription cofactor 4,A_32_P2333,NM_006713,223
KRTHB6,"keratin, hair, basic, 6 (monilethrix)",A_23_P363769,NM_002284,224
ZNF323,zinc finger protein 323,A_23_P214533,NM_030899,225
MAP3K8,mitogen-activated protein kinase kinase kinase 8,A_23_P23947,NM_005204,226
GHSR,growth hormone secretagogue receptor,A_23_P109864,NM_004122,227
ELAVL1,"ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1 (Hu antigen R)",A_32_P200165,NM_001419,228
FLJ10980,hypothetical protein FLJ10980,A_23_P99853,NM_019600,229
LZTFL1,leucine zipper transcription factor-like 1,A_23_P41049,NM_020347,230
DYRK3,dual-specificity tyrosine-(Y)-phosphorylation regulated kinase 3,A_24_P345209,NM_001004023,231
FLJ10324,hypothetical protein FLJ10324,A_24_P943011,NM_018059,232
BQ186377,,A_32_P177300,b,233
SYNE2,"spectrin repeat containing, nuclear envelope 2",A_23_P140277,NM_015180,234
KLHL6,kelch-like 6 (Drosophila),A_23_P212655,NM_130446,235
A_32_P184039,,A_32_P184039,0,236
MTX2,metaxin 2,A_23_P120335,NM_001006635,237
PFTK1,PFTAIRE protein kinase 1,A_23_P145889,NM_012395,238
JARID2,"Jumonji, AT rich interactive domain 2",A_23_P214876,NM_004973,239
A_23_P207049,,A_23_P207049,0,240
GOLPH3,golgi phosphoprotein 3 (coat-protein),A_23_P156017,NM_022130,241
TMPRSS12,"transmembrane protease, serine 12",A_32_P44534,NM_182559,242
ZIC4,Zic family member 4,A_23_P211711,b,243
CNKSR2,connector enhancer of kinase suppressor of Ras 2,A_23_P153183,b,244
AA768015,,A_24_P620241,b,245
FTH1,"ferritin, heavy polypeptide 1",A_32_P820503,NM_002032,246
ENST00000358998,,A_24_P759647,ns,247
MAN1A1,"mannosidase, alpha, class 1A, member 1",A_23_P156431,NM_005907,248
AB063751,,A_23_P21249,b,249
ENST00000329156,,A_24_P24685,ns,250
TRAF5,TNF receptor-associated factor 5,A_23_P201731,NM_004619,251
BE703537,,A_32_P104300,b,252
ZNF429,zinc finger protein 429,A_32_P106944,NM_001001415,253
MGC71735,hypothetical protein MGC71735,A_32_P94001,b,254
POFUT2,protein O-fucosyltransferase 2,A_24_P139229,NM_133635,255
FLJ35773,hypothetical protein FLJ35773,A_23_P340218,NM_152599,256
C13orf25,chromosome 13 open reading frame 25,A_24_P529168,NM_213724,257
KIAA0870,KIAA0870 protein,A_32_P175301,NM_014957,258
EDNRB,endothelin receptor type B,A_23_P2831,NM_003991,259
ANXA11,annexin A11,A_23_P35399,NM_145869,260
CCDC10,coiled-coil domain containing 10,A_23_P94461,NM_031919,261
CLEC2D,"C-type lectin superfamily 2, member D",A_24_P241183,NM_013269,262
TIAM2,T-cell lymphoma invasion and metastasis 2,A_24_P303454,NM_012454,263
SNN,stannin,A_24_P30923,NM_003498,264
BHLHB2,"basic helix-loop-helix domain containing, class B, 2",A_24_P268676,NM_003670,265
THC2278309,,A_32_P43415,hc,266
ENST00000238875,,A_23_P210330,ns,267
CEBPD,"CCAAT/enhancer binding protein (C/EBP), delta",A_23_P31810,NM_005195,268
LOC440909,LOC440909,A_32_P118686,b,269
SSR1,"signal sequence receptor, alpha (translocon-associated protein alpha)",A_32_P89755,NM_003144,270
FAM82A,"family with sequence similarity 82, member A",A_24_P131392,NM_144713,271
BQ379494,,A_32_P156628,b,272
BATF,"basic leucine zipper transcription factor, ATF-like",A_23_P128974,NM_006399,273
ARPC3,"actin related protein 2/3 complex, subunit 3, 21kDa",A_24_P167473,NM_005719,274
C20orf23,chromosome 20 open reading frame 23,A_24_P59361,NM_024704,275
ARRDC2,arrestin domain containing 2,A_23_P130965,NM_015683,276
BXMAS2-10,BXMAS2-10,A_23_P47484,NM_145016,277
LY6E,"lymphocyte antigen 6 complex, locus E",A_24_P317762,NM_002346,278
OR10R2,"olfactory receptor, family 10, subfamily R, member 2",A_23_P705,NM_001004472,279
ENTPD5,ectonucleoside triphosphate diphosphohydrolase 5,A_23_P117580,NM_001249,280
NDRG2,NDRG family member 2,A_23_P37205,NM_201535,281
BE612944,,A_32_P35855,b,282
A_32_P36596,,A_32_P36596,0,283
SENP8,SUMO/sentrin specific protease family member 8,A_23_P334263,NM_145204,284
SEL1L,sel-1 suppressor of lin-12-like (C. elegans),A_24_P219114,NM_005065,285
A_24_P934971,,A_24_P934971,0,286
LOC145853,hypothetical LOC145853,A_24_P600087,b,287
DKFZp564K142,implantation-associated protein,A_24_P485219,NM_032121,288
ALPK1,alpha-kinase 1,A_23_P144531,b,289
TRIT1,tRNA isopentenyltransferase 1,A_23_P12062,NM_017646,290
MGC24125,hypothetical protein MGC24125,A_23_P379111,b,291
LOC137392,similar to CG6405 gene product,A_32_P176675,NM_145269,292
ATP2B3,"ATPase, Ca++ transporting, plasma membrane 3",A_23_P22723,NM_021949,293
DEADC1,deaminase domain containing 1,A_23_P134014,NM_182503,294
MUC13,"mucin 13, epithelial transmembrane",A_23_P155236,NM_033049,295
APOL5,"apolipoprotein L, 5",A_23_P166438,NM_030642,296
G1P2,"interferon, alpha-inducible protein (clone IFI-15K)",A_23_P819,NM_005101,297
LOC202459,similar to RIKEN cDNA 2310008M10,A_23_P304395,NM_145303,298
BTBD12,BTB (POZ) domain containing 12,A_23_P371129,NM_032444,299
LOC439961,similar to KIAA0592 protein,A_24_P499215,b,300
CR593388,,A_24_P576191,b,301
FAM78B,"family with sequence similarity 78, member B",A_24_P487901,b,302
IGKC,immunoglobulin kappa constant,A_23_P361654,b,303
GIMAP1,"GTPase, IMAP family member 1",A_23_P427023,NM_130759,304
MGC16597,similar to RIKEN cDNA 3110023B02,A_24_P230176,b,305
SNX24,sorting nexing 24,A_23_P19095,NM_014035,306
PTPLA,"protein tyrosine phosphatase-like (proline instead of catalytic arginine), member a",A_23_P161352,NM_014241,307
ENST00000323012,,A_24_P367282,ns,308
AFF1,"AF4/FMR2 family, member 1",A_24_P414332,NM_005935,309
MICAL2,"microtubule associated monoxygenase, calponin and LIM domain containing 2",A_23_P24843,NM_014632,310
BE671947,,A_24_P920629,b,311
AF086124,,A_32_P197060,b,312
DKFZp547E052,hypothetical protein DKFZp547E052,A_24_P134834,NM_032276,313
LOC402562,similar to Heterogeneous nuclear ribonucleoprotein A1 (Helix-destabilizing protein) (Single-strand binding protein) (hnRNP core protein A1) (HDP-1) (Topoisomerase-inhibitor suppressed),A_32_P179205,b,314
MGC35033,hypothetical protein MGC35033,A_23_P405878,NM_152319,315
P4HA2,"procollagen-proline, 2-oxoglutarate 4-dioxygenase (proline 4-hydroxylase), alpha polypeptide II",A_23_P30363,NM_004199,316
HNRPD,"heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)",A_23_P58353,NM_031370,317
HERC1,hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1,A_23_P257503,NM_003922,318
DKK3,dickkopf homolog 3 (Xenopus laevis),A_24_P918317,NM_015881,319
FGR,Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog,A_23_P103932,NM_005248,320
RGS10,regulator of G-protein signalling 10,A_23_P138717,NM_001005339,321
ENST00000323642,,A_32_P163469,ns,322
DERL1,"Der1-like domain family, member 1",A_23_P216043,NM_024295,323
C3orf3,chromosome 3 open reading frame 3,A_23_P255298,NM_020707,324
THC2275025,,A_24_P792130,hc,325
MGC34725,hypothetical protein MGC34725,A_23_P313550,NM_173637,326
PITPNC1,"phosphatidylinositol transfer protein, cytoplasmic 1",A_23_P84189,NM_181671,327
BLVRB,biliverdin reductase B (flavin reductase (NADPH)),A_23_P153351,NM_000713,328
PDZK3,PDZ domain containing 3,A_23_P7402,NM_178140,329
A_24_P281683,,A_24_P281683,0,330
CLDN5,claudin 5 (transmembrane protein deleted in velocardiofacial syndrome),A_23_P6321,NM_003277,331
PACAP,proapoptotic caspase adaptor protein,A_23_P84596,NM_016459,332
TXNDC5,thioredoxin domain containing 5,A_23_P168229,NM_022085,333
AF035042,,A_24_P24053,b,334
MCCC1,methylcrotonoyl-Coenzyme A carboxylase 1 (alpha),A_23_P58036,NM_020166,335
A_32_P25380,,A_32_P25380,0,336
ACADSB,"acyl-Coenzyme A dehydrogenase, short/branched chain",A_32_P31945,NM_001609,337
HMGN2,high-mobility group nucleosomal binding domain 2,A_32_P222383,NM_005517,338
C1orf61,chromosome 1 open reading frame 61,A_32_P138032,NM_006365,339
A_24_P878419,,A_24_P878419,0,340
FTHL17,"ferritin, heavy polypeptide-like 17",A_23_P148410,NM_031894,341
RABGEF1,RAB guanine nucleotide exchange factor (GEF) 1,A_24_P337746,NM_014504,342
DDA3,differential display and activated by p53,A_23_P46539,NM_032636,343
DUSP14,dual specificity phosphatase 14,A_23_P207537,NM_007026,344
CDKL5,cyclin-dependent kinase-like 5,A_24_P282343,NM_003159,345
HMGB3,high-mobility group box 3,A_23_P217236,NM_005342,346
DKFZp564K142,implantation-associated protein,A_24_P105164,NM_032121,347
BC015987,,A_24_P932981,b,348
KIAA1393,KIAA1393,A_23_P321630,NM_020810,349
AF007131,,A_24_P497318,b,350
C21orf49,chromosome 21 open reading frame 49,A_24_P359322,NM_001006116,351
X01147,,A_24_P76868,b,352
A_24_P58607,,A_24_P58607,0,353
ARNTL2,aryl hydrocarbon receptor nuclear translocator-like 2,A_23_P76145,b,354
NOTCH2,Notch homolog 2 (Drosophila),A_23_P200792,NM_024408,355
ARTS-1,type 1 tumor necrosis factor receptor shedding aminopeptidase regulator,A_24_P63537,NM_016442,356
ENST00000216649,,A_24_P813550,ns,357
ZNF21,zinc finger protein 21 (KOX 14),A_32_P43465,NM_006962,358
THC2408506,,A_32_P220625,hc,359
BX095305,,A_32_P158019,b,360
PKLR,"pyruvate kinase, liver and RBC",A_23_P201022,NM_000298,361
LOC137392,similar to CG6405 gene product,A_32_P103695,NM_145269,362
HSPC159,HSPC159 protein,A_23_P430818,NM_014181,363
STARD8,START domain containing 8,A_23_P387630,NM_014725,364
CDCP1,CUB domain containing protein 1,A_23_P113613,NM_022842,365
RNF125,ring finger protein 125,A_23_P101141,NM_017831,366
AREG,amphiregulin (schwannoma-derived growth factor),A_23_P259071,NM_001657,367
MGC11256,hypothetical protein MGC11256,A_23_P33465,NM_024324,368
DKFZp564K142,implantation-associated protein,A_23_P148273,NM_032121,369
SLC35B1,"solute carrier family 35, member B1",A_23_P89455,NM_005827,370
LGALS7,"lectin, galactoside-binding, soluble, 7 (galectin 7)",A_24_P348118,NM_002307,371
SAMHD1,SAM domain and HD domain 1,A_24_P267592,NM_015474,372
C2orf12,chromosome 2 open reading frame 12,A_23_P431410,b,373
C18orf45,chromosome 18 open reading frame 45,A_23_P89824,NM_032933,374
HSPC176,hematopoietic stem/progenitor cells 176,A_24_P150676,b,375
APOL4,"apolipoprotein L, 4",A_23_P380857,NM_030643,376
NEXN,nexilin (F actin binding protein),A_23_P200001,NM_144573,377
JDP2,jun dimerization protein 2,A_23_P117582,NM_130469,378
AA887631,,A_32_P52590,b,379
LTK,leukocyte tyrosine kinase,A_23_P14853,NM_002344,380
BC017972,,A_32_P198412,b,381
TNFAIP2,"tumor necrosis factor, alpha-induced protein 2",A_23_P421423,NM_006291,382
ENST00000310579,,A_24_P66578,ns,383
AK055641,,A_24_P664995,b,384
A_24_P655735,,A_24_P655735,0,385
FNBP1,formin binding protein 1,A_23_P32249,b,386
SYNE2,"spectrin repeat containing, nuclear envelope 2",A_24_P68311,NM_015180,387
PRRG2,proline rich Gla (G-carboxyglutamic acid) 2,A_23_P67355,NM_000951,388
BC045174,,A_24_P686975,b,389
NPEPL1,aminopeptidase-like 1,A_23_P120488,NM_024663,390
LOC391706,similar to ribosomal protein S3a; 40S ribosomal protein S3a; v-fos transformation effector protein 1,A_24_P675947,b,391
MAP3K7IP2,mitogen-activated protein kinase kinase kinase 7 interacting protein 2,A_23_P19702,NM_145342,392
TUBA1,"tubulin, alpha 1 (testis specific)",A_23_P154070,NM_006000,393
SPAG9,sperm associated antigen 9,A_23_P207476,b,394
H2AFZ,"H2A histone family, member Z",A_24_P41570,NM_002106,395
AK126405,,A_24_P766716,b,396
TBC1D12,"TBC1 domain family, member 12",A_23_P24215,b,397
A_32_P88555,,A_32_P88555,0,398
CHRNB4,"cholinergic receptor, nicotinic, beta polypeptide 4",A_23_P332789,NM_000750,399
