Probe,Symbol,Gene Name,Chromo-some,Log Ratio,P-Value,Brain Expressed
ILMN_2171384,CXCL5, chemokine ligand 5 ,4,-0.176,0.00267,_
ILMN_1693452,GAL3ST4, galactose-3-O-sulfotransferase 4,7,-0.176,0.00011,_
ILMN_1740493,TRAF5, TNF receptor-associated factor 5,1,-0.176,0.00009,_
ILMN_1778143,GRAP2, GRB2-related adaptor protein 2 ,22,-0.175,0.00001,_
ILMN_2110908,MYC, v-myc myelocytomatosis viral oncogene homolog ,8,-0.174,0.00204,_
ILMN_1736184,GSTM3, glutathione S-transferase M3 ,1,-0.173,0.00024,_
ILMN_2401779,FAM102A," family with sequence similarity 102, member A ",9,-0.171,0.00132,_
ILMN_1659766,BAG3, BCL2-associated athanogene 3 ,10,-0.169,0.00017,_
ILMN_1754643,DGCR14*, DiGeorge syndrome critical region gene 14 ,22,-0.169,<0.000001,_
ILMN_1691949,LOC728554,PREDICTED:  similar to THO complex 3 ,5,-0.169,0.00327,
ILMN_1724718,NCK2, NCK adaptor protein 2 ,2,-0.169,0.00005,_
ILMN_1712888,HSPH1, heat shock 105kDa/110kDa protein 1 ,13,-0.168,0.00081,_
ILMN_1788607,RPL23A, ribosomal protein L23a ,17,-0.167,0.00215,
ILMN_1782057,ATP8B2," ATPase, class I, type 8B, member 2 ",1,-0.166,0.00044,_
ILMN_1768958,RASGRP1, RAS guanyl releasing protein 1 (calcium and DAG-regulated),15,-0.166,0.00315,_
ILMN_1782938,SLC16A10," solute carrier family 16, member 10 (aromatic amino acid transporter) ",6,-0.166,0.00037,_
ILMN_1745112,FAM102A," family with sequence similarity 102, member A",9,-0.165,0.00163,_
ILMN_1682894,TMEM191B*,PREDICTED:  transmembrane protein 191B,22,-0.165,0.00001,
ILMN_1788701,PSIP1, PC4 and SFRS1 interacting protein 1 ,9,-0.164,0.00144,_
ILMN_2104877,CMPK1," cytidine monophosphate (UMP-CMP) kinase 1, cytosolic ",1,-0.162,0.00287,_
ILMN_1671568,ECHDC2, enoyl Coenzyme A hydratase domain containing 2 ,1,-0.162,0.00344,_
ILMN_2337974,PKIA," protein kinase (cAMP-dependent, catalytic) inhibitor alpha",8,-0.16,0.00288,_
ILMN_2051684,LOC401152, HCV F-transactivated protein 1,4,-0.158,0.00015,
ILMN_1801109,NARG1L, NMDA receptor regulated 1-like,13,-0.158,0.00011,
ILMN_1863099,,DB113199 THYMU2  cDNA clone THYMU2017679 5,14,-0.157,0.00021,
ILMN_1694223,DGCR8*, DiGeorge syndrome critical region gene 8 ,22,-0.153,0.00025,_
ILMN_1664176,FBLN5, fibulin 5 ,14,-0.153,0.00225,_
ILMN_1682572,KIAA0528, KIAA0528,12,-0.152,0.00141,_
ILMN_1702301,DOCK10, dedicator of cytokinesis 10,2,-0.15,0.00325,_
ILMN_1659845,KIAA0355, KIAA0355,19,-0.149,0.0001,_
ILMN_1703279,CXorf57, chromosome X open reading frame 57 ,X,-0.148,0.00132,_
ILMN_1694589,PAQR8, progestin and adipoQ receptor family member VIII ,6,-0.148,0.00304,_
ILMN_1712719,MAP7, microtubule-associated protein 7 ,6,-0.146,0.00146,_
ILMN_2055156,PAG1, phosphoprotein associated with glycosphingolipid microdomains 1 ,8,-0.146,0.00334,_
ILMN_1677138,POLR2J3, polymerase (RNA) II (DNA directed) polypeptide J3 ,7,-0.144,0.00468,
ILMN_2094106,HSD17B12, hydroxysteroid (17-beta) dehydrogenase 12 ,11,-0.143,0.00006,_
ILMN_1890134,, T cell receptor alpha variable 20,14,-0.142,0.00001,
ILMN_1711514,COCH," coagulation factor C homolog, cochlin",14,-0.14,0.00162,_
ILMN_1680738,C5orf13, chromosome 5 open reading frame 13 ,5,-0.139,0.00037,_
ILMN_1731610,ABLIM1, actin binding LIM protein 1,10,-0.138,0.00091,_
ILMN_2311041,MRPL52, mitochondrial ribosomal protein L52 ,14,-0.138,0.00199,
ILMN_1776327,LOC727820,PREDICTED:  hypothetical protein LOC727820 ,1,-0.137,0.00171,
ILMN_2362581,FNDC3A, fibronectin type III domain containing 3A ,13,-0.134,0.00099,_
ILMN_1761131,PECI," peroxisomal D3,D2-enoyl-CoA isomerase",6,-0.133,0.00424,
ILMN_1688971,NOL11, nucleolar protein 11,17,-0.131,0.00237,_
ILMN_2176768,SEPHS1, selenophosphate synthetase 1,10,-0.131,0.00142,_
ILMN_1693341,SNRPN, small nuclear ribonucleoprotein polypeptide N ,15,-0.131,0.0013,_
ILMN_1678004,TMEM41B, transmembrane protein 41B ,11,-0.131,0.00431,
ILMN_1677785,ZNF559, zinc finger protein 559,19,-0.131,0.00047,_
ILMN_1669831,C6orf192, chromosome 6 open reading frame 192 ,6,-0.129,0.00189,_
ILMN_2186108,DGCR6*, DiGeorge syndrome critical region gene 6 ,22,-0.129,0.00012,
ILMN_1776000,EID3, EP300 interacting inhibitor of differentiation 3 ,12,-0.129,0.00014,_
ILMN_2395474,REV1, REV1 homolog ,2,-0.126,0.00032,_
ILMN_1694491,CCNG1, cyclin G1,5,-0.124,0.00461,_
ILMN_1780141,TMEM66, transmembrane protein 66,8,-0.123,0.00391,_
ILMN_1728230,ZNF30, zinc finger protein 30 ,19,-0.122,0.00139,
ILMN_1780806,ANKRD36B, ankyrin repeat domain ,2,-0.121,0.00362,_
ILMN_1843100,, T-cell receptor alpha chain-like protein mRNA,14,-0.121,0.00172,
ILMN_1755405,FRAG1, FGF receptor activating protein 1,11,-0.12,1.00E-04,
ILMN_2399016,MMP28, matrix metallopeptidase 28,17,-0.12,0.00177,_
ILMN_1771120,TMEM45B, transmembrane protein 45B ,11,-0.12,0.00102,_
ILMN_2154053,FVT1, follicular lymphoma variant translocation 1 ,18,-0.119,0.00472,
ILMN_1694778,LOC646723,"PREDICTED:  similar to Keratin, type I cytoskeletal 18",5,-0.119,0.00002,
ILMN_1750203,THAP7*, THAP domain containing 7 ,22,-0.119,0.00003,
ILMN_2194828,C16orf53, chromosome 16 open reading frame 53 ,16,-0.118,0.00057,_
ILMN_1856315,," cDNA FLJ34428 fis, clone HLUNG2000761",,-0.118,0.00382,
ILMN_1767135,SOS1, son of sevenless homolog 1 ,2,-0.115,0.00253,_
ILMN_1758474,PRKRA," protein kinase, interferon-inducible double stranded RNA dependent activator",2,-0.113,0.00278,_
ILMN_2403852,CYTH1, cytohesin 1 ,17,-0.112,0.00176,_
ILMN_2118229,NAPEPLD, N-acyl phosphatidylethanolamine phospholipase D ,7,-0.112,0.00137,_
ILMN_1683740,TOP1MT,PREDICTED:  topoisomerase (DNA) I,,-0.112,0.00047,_
ILMN_2324561,SLC7A6," solute carrier family 7 (cationic amino acid transporter, y+ system), member 6",16,-0.111,0.00297,_
ILMN_1800311,HSF2, heat shock transcription factor 2,6,-0.11,0.00212,_
ILMN_1785170,ARMCX2," armadillo repeat containing, X-linked 2",X,-0.109,0.00372,_
ILMN_1655941,DKFZp434-N035*, hypothetical protein DKFZp434N035 ,22,-0.109,0.00004,
ILMN_1694514,ZDHHC11," zinc finger, DHHC-type containing 11",5,-0.109,0.0015,_
ILMN_1741957,RABEPK, Rab9 effector protein with kelch motifs ,9,-0.108,0.00052,
ILMN_2358457,ATF4, activating transcription factor 4 (tax-responsive enhancer element B67) ,22,-0.107,0.00036,_
ILMN_1669366,IFT88, intraflagellar transport 88 homolog ,13,-0.107,0.00045,_
ILMN_1746784,SLAIN1," SLAIN motif family, member 1 ",13,-0.107,0.00295,_
ILMN_1665066,C4orf14, chromosome 4 open reading frame 14 ,4,-0.106,0.00151,_
ILMN_1822333,,602507809F1 NIH_MGC_79  cDNA clone IMAGE:4604835 5,2,-0.106,0.00491,
ILMN_2198239,HGD," homogentisate 1,2-dioxygenase ",3,-0.105,0.004,
ILMN_1741477,SMAD4, SMAD family member 4 ,18,-0.105,0.00392,_
ILMN_1676893,ADCY3, adenylate cyclase 3 ,2,-0.102,0.00215,_
ILMN_1762002,CSTF3," cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa",11,-0.102,0.00472,_
ILMN_1671217,LOC440733,PREDICTED:  similar to 40S ribosomal protein S15 ,1,-0.102,0.001,
ILMN_1721316,TNFRSF10A," tumor necrosis factor receptor superfamily, member 10a",8,-0.102,0.00369,
ILMN_2293374,TOP1MT, topoisomerase (DNA)I,8,-0.102,0.00387,_
ILMN_1655137,ZCCHC11," zinc finger, CCHC domain containing 11",1,-0.102,0.00415,_
ILMN_1784269,AASDH, aminoadipate-semialdehyde dehydrogenase ,4,-0.101,0.00287,_
ILMN_1704452,BCL9, B-cell CLL/lymphoma 9 ,1,-0.101,0.00341,_
ILMN_1722809,NRCAM, neuronal cell adhesion molecule ,7,-0.101,0.00061,_
ILMN_2246510,TSC1, tuberous sclerosis 1 ,9,-0.101,0.00099,_
ILMN_1737360,TSPYL3,PREDICTED:  TSPY-like 3,,-0.1,0.00014,
ILMN_1749478,TCEAL3, transcription elongation factor A (SII)-like 3 ,X,-0.099,0.00402,
ILMN_1656134,CNOT7," CCR4-NOT transcription complex, subunit 7 ",8,-0.098,0.00104,_
ILMN_1698019,LGMN, legumain ,14,-0.098,0.00284,_
ILMN_1688299,RCAN3, RCAN family member 3 ,1,-0.098,0.00201,_
ILMN_1715407,LOC644404,PREDICTED:  hypothetical protein LOC644404 ,1,-0.097,0.00043,
ILMN_1803180,PRDX6, peroxiredoxin 6,1,-0.097,0.0048,_
ILMN_1670801,MTR, 5-methyltetrahydrofolate-homocysteine methyltransferase,1,-0.096,0.0033,_
ILMN_1701514,TRAF3IP2, TRAF3 interacting protein 2 ,6,-0.096,0.00405,_
ILMN_1898071,,"Human mRNA for T-cell receptor alpha-chain J segment, partial cds, clone WADM36A",14,-0.095,0.0003,
ILMN_2147993,ZNF23, zinc finger protein 23 ,16,-0.093,0.00231,_
ILMN_1803429,CD44, CD44 molecule,11,-0.091,0.00404,_
ILMN_1681972,TMEM69, transmembrane protein 69 ,1,-0.091,0.00327,_
ILMN_1746175,TNFSF4," tumor necrosis factor (ligand) superfamily, member 4",1,-0.09,0.00294,_
ILMN_1665737,UFD1L*, ubiquitin fusion degradation 1 like ,22,-0.09,0.00049,_
ILMN_1775085,ZNF232, zinc finger protein 232,17,-0.09,0.00112,_
ILMN_1858271,,EST7714 human nasopharynx  cDNA,14,-0.088,0.00453,
ILMN_1679582,LOC727735,PREDICTED:  similar to TBC1 domain family member 3 ,17,-0.086,0.00197,
ILMN_1804737,RAVER2," ribonucleoprotein, PTB-binding 2 ",1,-0.086,0.00328,_
ILMN_1698470,SYAP1," synapse associated protein 1, SAP47 homolog ",X,-0.086,0.00435,_
ILMN_1902146,, T-cell receptor alpha precursor ,14,-0.085,0.00385,
ILMN_1658083,ABT1, activator of basal transcription 1 ,6,-0.084,0.00196,_
ILMN_1829989,," cDNA: FLJ23004 fis, clone LNG00391",10,-0.084,0.00181,
ILMN_1724699,ACAD8," acyl-Coenzyme A dehydrogenase family, member 8 ",11,-0.083,0.00217,_
ILMN_2357193,DDX59, DEAD (Asp-Glu-Ala-Asp) box polypeptide 59 ,1,-0.083,0.00374,_
ILMN_1718984,FCGBP,PREDICTED:  Fc fragment of IgG binding protein ,,-0.083,0.00489,_
ILMN_1706200,MED15*, mediator complex subunit 15 ,22,-0.083,0.00195,_
ILMN_1669876,CUX2, cut-like homeobox 2,12,-0.082,0.00055,
ILMN_2055609,GPR174, G protein-coupled receptor 174,X,-0.081,0.00113,
ILMN_1714741,LOC346887,"PREDICTED:  similar to solute carrier family 16, member 14 ",,-0.081,0.0039,
ILMN_2079508,ZNF204, zinc finger protein 204 pseudogene ,6,-0.081,0.00089,_
ILMN_1694584,CLTCL1*," clathrin, heavy chain-like 1",22,-0.08,0.00187,_
ILMN_2367458,UFD1L*, ubiquitin fusion degradation 1 like ,22,-0.08,0.00077,_
ILMN_2404917,AFAP1L2, actin filament associated protein 1-like 2 ,10,-0.079,0.00183,_
ILMN_1763999,LOC441282,"PREDICTED:  similar to aldo-keto reductase family 1, member B10, transcript variant 7 ",,-0.078,0.00043,
ILMN_2310075,TRMT2A*, TRM2 tRNA methyltransferase 2 homolog A,22,-0.078,0.00055,_
ILMN_1739624,UGT2B15," UDP glucuronosyltransferase 2 family, polypeptide B15 ",4,-0.076,0.00066,_
ILMN_1708059,USP13, ubiquitin specific peptidase 13 (isopeptidase T-3) ,3,-0.076,0.00177,_
ILMN_1810185,LOC150356,PREDICTED:  hypothetical protein BC012882 ,22,-0.075,0.00078,
ILMN_1749586,LOC642914,PREDICTED:  similar to zinc finger protein 135 ,8,-0.075,0.00374,
ILMN_1723333,SCGB2A2," secretoglobin, family 2A, member 2 ",11,-0.075,0.00197,
ILMN_1698739,UNC45B, unc-45 homolog B ,17,-0.075,0.00042,_
ILMN_1662935,C1QTNF7, C1q and tumor necrosis factor related protein 7 ,4,-0.074,0.0006,_
ILMN_1766675,CDH6," cadherin 6, type 2, K-cadherin",5,-0.073,0.00205,_
ILMN_2082865,PLLP, plasma membrane proteolipid,16,-0.072,0.0045,_
ILMN_2263086,NTM, neurotrimin ,11,-0.071,0.00357,_
ILMN_2159311,RFPL2, ret finger protein-like 2 ,22,-0.07,0.00285,
ILMN_1782881,DLEU7," deleted in lymphocytic leukemia, 7 ",13,-0.069,0.00291,_
ILMN_2332964,LGMN, legumain,14,-0.069,0.00457,_
ILMN_2098726,LOC440350, similar to nuclear pore complex interacting protein ,16,-0.069,0.00399,
ILMN_1662294,LOC650114,PREDICTED:  hypothetical protein LOC650113,,-0.069,0.00453,
ILMN_1785156,CASRL1,PREDICTED:  calcium-sensing receptor like 1 ,3,-0.068,0.00467,
ILMN_2287941,CYLD, cylindromatosis,16,-0.068,0.00371,_
ILMN_1786080,HTR4, 5-hydroxytryptamine (serotonin) receptor 4 ,5,-0.068,0.00472,_
ILMN_1807126,LOC392979,PREDICTED:  similar to ribosomal protein L18 ,,-0.068,0.00338,
ILMN_1798940,LOC644131,"PREDICTED:  similar to chaperonin containing TCP1, subunit 8",1,-0.068,0.00362,
ILMN_2329171,SPDYE1, speedy homolog E1 ,7,-0.068,0.00113,
ILMN_1824016,,602349056F1 NIH_MGC_90  cDNA clone IMAGE:4444260 5,X,-0.068,0.0013,
ILMN_1750288,FLJ39739, FLJ39739 protein,1,-0.066,0.00418,
ILMN_1665630,LOC643872,PREDICTED:  similar to Nonhistone chromosomal protein HMG-17 ,14,-0.066,0.00424,
ILMN_1668990,LOC646249,PREDICTED:  similar to Protein FAM113A ,,-0.066,0.00188,
ILMN_2342695,PDGFA, platelet-derived growth factor alpha polypeptide ,7,-0.065,0.00228,
ILMN_2105797,SLC6A3, solute carrier family 6 member 3,5,-0.065,0.00246,_
ILMN_1902112,,ai24c04.s1 Soares_testis_NHT  cDNA clone 1343718 3,10,-0.063,0.00251,
ILMN_2296011,BRWD1, bromodomain and WD repeat domain containing 1 ,21,-0.061,0.00328,_
ILMN_1663155,ZNF238, zinc finger protein 238,1,-0.06,0.00257,_
ILMN_1680659,C11orf63, chromosome 11 open reading frame 63,11,-0.058,0.00443,_
ILMN_1744815,PVRL1, poliovirus receptor-related 1 ,11,-0.057,0.0046,_
ILMN_2380779,DLGAP1," discs, large homolog-associated protein 1 ",18,0.051,0.00378,_
ILMN_2093203,HTR3D, 5-hydroxytryptamine (serotonin) receptor 3 family member D ,3,0.053,0.00303,_
ILMN_1667796,HBA2," hemoglobin, alpha 2",16,0.055,0.00357,
ILMN_2126461,OR4K2," olfactory receptor, family 4, subfamily K, member 2 ",14,0.055,0.0038,
ILMN_1775549,PRSS27," protease, serine 27",16,0.055,0.00291,_
ILMN_1705372,THEG, Theg homolog ,19,0.055,0.00185,_
ILMN_1778657,LOC730092, RRN3 RNA polymerase I transcription factor homolog (S. cerevisiae) pseudogene,,0.056,0.00499,
ILMN_1680941,ACTR3B,PREDICTED:  ARP3 actin-related protein 3 homolog B ,,0.057,0.00311,_
ILMN_1735704,NMBR, neuromedin B receptor ,6,0.057,0.00282,_
ILMN_1661971,ARHGAP25, Rho GTPase activating protein 25,2,0.058,0.0019,_
ILMN_1651763,TFDP3," transcription factor Dp family, member 3 ",X,0.058,0.00409,
ILMN_1669609,LOC644767,PREDICTED:  hypothetical protein LOC644767 ,17,0.06,0.00369,
ILMN_1814311,LOC653559,PREDICTED:  similar to Rho-associated protein kinase 1 ,18,0.06,0.00305,
ILMN_1695005,C1orf62, chromosome 1 open reading frame 62 ,1,0.061,0.00342,
ILMN_1796475,GPR6, G protein-coupled receptor 6,6,0.061,0.00242,_
ILMN_1746232,KITLG, KIT ligand,12,0.061,0.00415,_
ILMN_1891380,,RC3-HT0883-020800-021-e12 HT0883 ,10,0.061,0.00257,
ILMN_1709650,LOC652815,PREDICTED:  similar to FK506-binding protein 9 precursor,,0.062,0.00387,
ILMN_1748141,AMOTL1, angiomotin like 1,11,0.064,0.00236,_
ILMN_1680367,C10orf90, chromosome 10 open reading frame 90,10,0.064,0.0024,_
ILMN_1654899,CT47A6," cancer/testis antigen family 47, member A6 ",X,0.065,0.00131,
ILMN_1808650,CYP39A1," cytochrome P450, family 39, subfamily A, polypeptide 1 ",6,0.065,0.00471,_
ILMN_1817479,," cDNA FLJ26380 fis, clone HRT06687",7,0.065,0.00499,
ILMN_2399694,NOMO2, NODAL modulator 2 ,16,0.066,0.00303,
ILMN_2376553,SLC23A1," solute carrier family 23 (nucleobase transporters), member 1",5,0.066,0.00236,_
ILMN_2262644,KCNIP3," Kv channel interacting protein 3, calsenilin ",2,0.067,0.00167,_
ILMN_1699723,RARB," retinoic acid receptor, beta ",3,0.068,0.00365,_
ILMN_1665167,RORA, RAR-related orphan receptor A ,15,0.068,0.00144,_
ILMN_1714218,LOC646631,PREDICTED:  hypothetical protein LOC646631 ,14,0.069,0.00123,
ILMN_1658111,MGC34800,PREDICTED:  hypothetical protein MGC34800 ,,0.069,0.00041,
ILMN_1799020,MUC12,"PREDICTED:  mucin 12, cell surface associated ",,0.07,0.00145,
ILMN_2068122,TMEM65, transmembrane protein 65,8,0.07,0.00486,_
ILMN_1654473,ZP1, zona pellucida glycoprotein 1 ,11,0.07,0.00101,_
ILMN_1898268,,AF150386 Human mRNA from cd34+ stem cells  cDNA clone CBMAPB12,13,0.07,0.00209,
ILMN_1783383,DCDC1, doublecortin domain containing 1,11,0.076,0.00308,_
ILMN_1733116,UBXD7,"PREDICTED:  UBX domain containing 7, transcript variant 4 ",,0.076,0.00269,
ILMN_1778408,FLJ35424, hypothetical protein FLJ35424,4,0.077,0.00313,
ILMN_1774211,FLJ45032, similar to F40B5.2b,3,0.077,0.00254,
ILMN_1875269,,tz62a11.x1 NCI_CGAP_Ov35  cDNA clone IMAGE:2293148 3 similar to contains L1.t3 L1 repetitive element,,0.077,0.00416,
ILMN_1706413,C1orf66, chromosome 1 open reading frame 66,1,0.078,0.00473,
ILMN_2047354,C1orf97, chromosome 1 open reading frame 97 ,,0.078,0.00046,_
ILMN_1763561,OSBPL6, oxysterol binding protein-like 6 ,2,0.078,0.00455,_
ILMN_1821531,,AV681673 GKB  cDNA clone GKBABD06 5,12,0.078,0.00162,
ILMN_2412336,AKR1C2," aldo-keto reductase family 1, member C2 ",10,0.079,0.00423,_
ILMN_1812688,C2orf18, chromosome 2 open reading frame 18 ,2,0.079,0.00434,_
ILMN_1772239,LOC400406,"PREDICTED:  similar to ADAM metallopeptidase with thrombospondin type 1 motif, 7 preproprotein ",15,0.079,0.00081,
ILMN_1715309,LOC650885,PREDICTED:  hypothetical protein LOC650885 ,,0.08,0.00225,
ILMN_1705141,CACYBP, calcyclin binding protein,1,0.081,0.0027,_
ILMN_1786381,AQP6," aquaporin 6, kidney specific",12,0.083,0.00021,
ILMN_1704795,MARK3, MAP/microtubule affinity-regulating kinase 3 ,14,0.085,0.00201,_
ILMN_1815666,ATP2A2," ATPase, Ca++ transporting, cardiac muscle, slow twitch 2 ",12,0.086,0.0039,_
ILMN_1722330,GK2, glycerol kinase 2 ,4,0.086,0.00417,_
ILMN_2348243,STRADA, STE20-related kinase adaptor alpha ,17,0.086,0.00485,_
