ID,log2 fold change,Average Expression,moderated t-statistic,nominal p-value,Benjamini-Hochberg adjusted p-value,Gene Symbol,Gene Title,Chromosomal Location,Alignments
211385_x_at,0.292,4.635,8.282,7.90E-13,4.55E-10,SULT1A2,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2",chr16p12.1,chr16:28603264-28608386 (-) // 99.62 // p11.2
204878_s_at,0.233,3.895,8.016,2.87E-12,1.61E-09,TAOK2,TAO kinase 2,chr16p11.2,chr16:29985601-30003579 (+) // 98.44 // p11.2
214678_x_at,-0.198,7.468,-7.958,3.81E-12,2.09E-09,ZFX,"zinc finger protein, X-linked",chrXp21.3,chrX:24190830-24232704 (+) // 92.18 // p22.11
216609_at,-0.216,7.652,-7.936,4.23E-12,2.27E-09,TXN,Thioredoxin,chr9q31,chr10:121442639-121443277 (+) // 91.76 // q26.11 /// chr4:77880009-77880311 (+) // 90.2 // q21.1 /// chr9:113006437-113013744 (+) // 92.16 // q31.3 /// chr17:4475503-4475816 (-) // 92.94 // p13.2
1558233_s_at,-0.227,8.219,-7.909,4.82E-12,2.53E-09,ATF1,activating transcription factor 1,chr12q13,chr12:51207790-51416240 (+) // 68.25 // q13.12
201407_s_at,-0.180,9.869,-7.825,7.25E-12,3.72E-09,PPP1CB,"protein phosphatase 1, catalytic subunit, beta isozyme",chr2p23,chr2:28974732-29025803 (+) // 96.15 // p23.2
206057_x_at,0.374,4.365,7.753,1.02E-11,5.13E-09,SPN,sialophorin,chr16p11.2,chr16:29674579-29676836 (+) // 84.09 // p11.2
234344_at,-0.216,6.877,-7.677,1.47E-11,7.25E-09,LOC100288675,Hypothetical protein LOC100288675,chrXq26.2,chrX:131337053-131337437 (+) // 83.74 // q26.2
218998_at,-0.181,7.525,-7.656,1.63E-11,7.87E-09,C9orf6,chromosome 9 open reading frame 6,chr9q31.3,chr9:111696688-111703232 (+) // 80.69 // q31.3
238122_at,-0.241,6.454,-7.597,2.17E-11,1.02E-08,RBM12B,RNA binding motif protein 12B,chr8q22.1,chr8:94743732-94744187 (-) // 95.39 // q22.1
204877_s_at,0.247,3.739,7.475,3.89E-11,1.80E-08,TAOK2,TAO kinase 2,chr16p11.2,chr16:29985601-30003582 (+) // 96.06 // p11.2
230176_at,-0.190,8.134,-7.463,4.11E-11,1.86E-08,---,---,---,chr11:18551155-18551629 (-) // 74.24 // p15.1
242331_x_at,-0.301,3.545,-7.425,4.93E-11,2.20E-08,LOC642236,Similar to FRG1 protein (FSHD region gene 1 protein),chr9q13,chr20:29633638-29634011 (+) // 94.81 // q11.21 /// chr9:68427787-68428155 (-) // 94.81 // q13
229204_at,-0.189,6.818,-7.332,7.69E-11,3.36E-08,---,---,---,chr1:21069174-21070162 (+) // 68.55 // p36.12
232077_s_at,0.391,3.356,7.168,1.67E-10,7.16E-08,YPEL3,yippee-like 3 (Drosophila),chr16p11.2,chr16:30105082-30107561 (-) // 59.77 // p11.2
203077_s_at,-0.138,7.804,-7.109,2.21E-10,9.32E-08,SMAD2,SMAD family member 2,chr18q21.1,chr18:45367621-45423182 (-) // 98.43 // q21.1
213705_at,-0.238,5.234,-7.088,2.44E-10,1.01E-07,LOC100509558 /// LOC100510047,hypothetical LOC100509558 /// hypothetical LOC100510047,---,chr3:112414250-112415209 (+) // 96.79 // q13.2 /// chr2:85771441-85772403 (-) // 99.38 // p11.2
217144_at,-0.227,6.178,-6.974,4.17E-10,1.70E-07,UBB,ubiquitin B,chr17p12-p11.2,chr17:16285221-16285911 (+) // 92.81 // p11.2 /// chr17:21730926-21731615 (+) // 91.12 // p11.2 /// chr2:137087010-137087483 (-) // 99.37 // q22.1
216981_x_at,0.286,4.121,6.968,4.28E-10,1.71E-07,SPN,sialophorin,chr16p11.2,chr16:29674299-29676837 (+) // 84.46 // p11.2
242748_at,0.376,4.676,6.899,5.92E-10,2.33E-07,SREBF2,sterol regulatory element binding transcription factor 2,chr22q13,chr22:42280847-42281534 (+) // 98.55 // q13.2
202163_s_at,-0.173,8.533,-6.866,6.93E-10,2.68E-07,CNOT8,"CCR4-NOT transcription complex, subunit 8",chr5q31-q33,chr5:154238208-154256341 (+) // 94.7 // q33.2
223400_s_at,-0.280,5.307,-6.849,7.47E-10,2.84E-07,PBRM1,polybromo 1,chr3p21,chr3:52580663-52713743 (-) // 96.25 // p21.1
230379_x_at,-0.246,6.617,-6.842,7.71E-10,2.89E-07,C2orf56,chromosome 2 open reading frame 56,chr2p22.2,---
212499_s_at,-0.168,8.572,-6.801,9.35E-10,3.45E-07,FCF1 /// LOC100507758 /// MAPK1IP1L,FCF1 small subunit (SSU) processome component homolog (S. cerevisiae) /// rRNA-processing protein FCF1 homolog /// mitogen-activated protein kinase 1 interacting protein 1-like,chr14q22.3 /// chr14q24.3,chr14:55518376-55532486 (+) // 85.07 // q22.3 /// chr6:101337324-101338941 (+) // 63.93 // q16.3
231302_at,-0.280,6.229,-6.748,1.20E-09,4.35E-07,---,---,---,chr11:72547789-72548752 (+) // 99.48 // q13.4
217336_at,-0.320,6.639,-6.744,1.22E-09,4.36E-07,RPS10 /// RPS10P7,ribosomal protein S10 /// ribosomal protein S10 pseudogene 7,chr1q32.1 /// chr6p21.31,chr1:201489183-201489678 (+) // 90.69 // q32.1 /// chr15:60696661-60697159 (+) // 90.49 // q22.2 /// chr20:14738208-14738702 (+) // 100.0 // p12.1 /// chr9:90631214-90631711 (+) // 92.11 // q22.1 /// chr11:46450202-46450700 (-) // 93.93 // p11.2 /// chr20:820089-820620 (-) // 90.28 // p13 /// chr3:113569083-113569578 (-) // 91.5 // q13.31 /// chr8:118535501-118536298 (-) // 93.12 // q24.11
238199_x_at,-0.300,9.147,-6.711,1.42E-09,5.01E-07,COX3,cytochrome c oxidase III,---,chrM:9720-9911 (+) // 55.76 //
203310_at,-0.157,8.956,-6.613,2.24E-09,7.77E-07,STXBP3,syntaxin binding protein 3,chr1p13.3,chr1:109289307-109352148 (+) // 97.53 // p13.3
238739_at,-0.277,5.698,-6.561,2.84E-09,9.61E-07,IPMK,inositol polyphosphate multikinase,chr10q21.1,chr10:59951135-59951734 (-) // 82.51 // q21.1
207122_x_at,0.222,4.869,6.561,2.85E-09,9.61E-07,SULT1A2,"sulfotransferase family, cytosolic, 1A, phenol-preferring, member 2",chr16p12.1,chr16:28603265-28608391 (-) // 90.97 // p11.2 /// chr16:28617067-28621325 (-) // 85.32 // p11.2
1555325_s_at,-0.230,5.865,-6.540,3.13E-09,1.04E-06,LOC100287515 /// ZNF26,zinc finger protein 26-like /// zinc finger protein 26,chr12q24.33,chr12:133563055-133588451 (+) // 96.44 // q24.33
1560047_s_at,-0.184,3.631,-6.479,4.15E-09,1.36E-06,---,---,---,chr10:47242691-47244633 (+) // 72.73 // q11.22 /// chr10:46761954-46763868 (+) // 75.24 // q11.22 /// chr10:48951721-48953605 (+) // 73.75 // q11.22 /// chr10:48184723-48186658 (-) // 72.78 // q11.22
209512_at,-0.284,7.543,-6.455,4.63E-09,1.49E-06,HSDL2,hydroxysteroid dehydrogenase like 2,chr9q32,chr9:115142359-115234684 (+) // 68.2 // q32
202621_at,0.176,5.811,6.453,4.68E-09,1.49E-06,IRF3,interferon regulatory factor 3,chr19q13.3-q13.4,chr19:50162828-50168925 (-) // 99.93 // q13.33
200608_s_at,-0.141,10.689,-6.416,5.53E-09,1.74E-06,RAD21,RAD21 homolog (S. pombe),chr8q24,chr8:117858173-117887001 (-) // 97.81 // q24.11
220171_x_at,-0.154,7.489,-6.408,5.75E-09,1.79E-06,KIAA1704,KIAA1704,chr13q13-q14,chr13:45563731-45602402 (+) // 93.07 // q14.12
1555947_at,-0.347,4.195,-6.391,6.21E-09,1.90E-06,FAM120A,family with sequence similarity 120A,chr9q22.31,chr9:96325163-96327621 (+) // 86.55 // q22.31
216421_at,-0.190,5.317,-6.356,7.29E-09,2.21E-06,---,---,---,chr20:42281146-42281972 (+) // 98.57 // q13.12
227637_at,-0.216,7.624,-6.341,7.79E-09,2.33E-06,TFCP2,transcription factor CP2,chr12q13,chr12:51487544-51488283 (-) // 83.44 // q13.12
225452_at,0.220,8.116,6.333,8.06E-09,2.38E-06,MED1,mediator complex subunit 1,chr17q12,chr17:37560537-37562500 (-) // 96.79 // q12
213754_s_at,-0.187,9.003,-6.326,8.36E-09,2.43E-06,PAIP1,poly(A) binding protein interacting protein 1,chr5p12,chr17:18554650-18555447 (+) // 94.42 // p11.2 /// chr5:43526935-43529984 (-) // 94.95 // p12
203791_at,-0.157,9.154,-6.313,8.85E-09,2.53E-06,DMXL1,Dmx-like 1,chr5q22,chr5:118407184-118584822 (+) // 98.74 // q23.1
201297_s_at,-0.165,8.796,-6.312,8.89E-09,2.53E-06,MOBKL1B,"MOB1, Mps One Binder kinase activator-like 1B (yeast)",chr2p13.1,chr2:74379655-74406008 (-) // 92.48 // p13.1
202516_s_at,-0.205,5.335,-6.295,9.61E-09,2.70E-06,DLG1,"discs, large homolog 1 (Drosophila)",chr3q29,chr3:196771422-197025447 (-) // 99.74 // q29
216348_at,-0.206,10.072,-6.268,1.08E-08,3.00E-06,RPS17,ribosomal protein S17,chr15q,chr22:32435470-32435929 (+) // 91.22 // q12.3 /// chr5:116051933-116052394 (+) // 90.58 // q23.1 /// chr6:50824919-50825380 (-) // 98.72 // p12.3
216497_at,-0.182,3.524,-6.267,1.09E-08,3.00E-06,HNRNPA1 /// HNRNPA1L2 /// HNRNPA1P10 /// HNRPA1P5 /// LOC642817,heterogeneous nuclear ribonucleoprotein A1 /// heterogeneous nuclear ribonucleoprotein A1-like 2 /// heterogeneous nuclear ribonucleoprotein A1 pseudogene 10 /// heterogeneous nuclear ribonucleoprotein A1 pseudogene 5 /// hypothetical LOC642817,chr12q13.1 /// chr13q14.3 /// chr19p13.2 /// chr6p25.1 /// chrXq22,chr1:241083702-241084636 (+) // 88.23 // q43 /// chr13:28403009-28403935 (+) // 100.0 // q12.2 /// chr15:35693756-35694683 (+) // 90.93 // q14 /// chr2:201928560-201929488 (+) // 92.22 // q33.1 /// chr3:39377216-39378146 (+) // 88.88 // p22.2 /// chr6:24002443-24003537 (+) // 92.01 // p22.3 /// chr8:82720754-82721683 (+) // 90.93 // q21.13 /// chr8:142469938-142470856 (+) // 88.12 // q24.3 /// chr1:116398189-116399741 (-) // 88.88 // p13.1 /// chr15:66107065-66108810 (-) // 88.55 // q22.31 /// chr16:55753645-55754368 (-) // 74.19 // q12.2 /// chr18:29991460-29992390 (-) // 89.2 // q12.1 /// chr2:175174024-175174956 (-) // 88.98 // q31.1 /// chr5:79654182-79655109 (-) // 92.44 // q14.1 /// chr6:5608746-5609673 (-) // 89.09 // p25.1 /// chr8:83203145-83204072 (-) // 92.01 // q21.13 /// chr8:115041732-115042374 (-) // 66.09 // q23.3 /// chr9:4943954-4944883 (-) // 90.06 // p24.1 /// chrX:100141912-100142835 (-) // 90.5 // q22.1 /// chrX:100109563-100110489 (-) // 91.79 // q22.1
32042_at,-0.223,5.599,-6.258,1.14E-08,3.09E-06,ENOX2,ecto-NOX disulfide-thiol exchanger 2,chrXq25,chrX:129757874-129801675 (-) // 93.94 // q26.1
207108_s_at,-0.173,7.010,-6.247,1.19E-08,3.20E-06,NIPBL,Nipped-B homolog (Drosophila),chr5p13.2,chr5:36976264-37064250 (+) // 94.91 // p13.2
237202_at,0.190,5.932,6.226,1.31E-08,3.48E-06,PGPEP1,pyroglutamyl-peptidase I,chr19p13.11,chr19:18478141-18478783 (+) // 81.62 // p13.11
210396_s_at,0.284,10.023,6.224,1.33E-08,3.48E-06,BOLA2 /// LOC440354 /// LOC595101,bolA homolog 2 (E. coli) /// PI-3-kinase-related kinase SMG-1 pseudogene /// PI-3-kinase-related kinase SMG-1 pseudogene,chr16p11.2,chr16:29454376-29465883 (-) // 92.88 // p11.2 /// chr16:29556141-30205225 (-) // 92.68 // p11.2
223947_s_at,-0.135,7.144,-6.220,1.35E-08,3.49E-06,MED23,mediator complex subunit 23,chr6q22.33-q24.1,chr6:131895105-131949345 (-) // 99.57 // q23.2
227577_at,-0.149,7.381,-6.208,1.42E-08,3.65E-06,EXOC8,exocyst complex component 8,chr1q42.2,chr1:231468499-231473650 (-) // 93.99 // q42.2
1554606_at,-0.228,5.340,-6.198,1.49E-08,3.78E-06,CEP120,centrosomal protein 120kDa,chr5q23.2,chr5:122682097-122759034 (-) // 96.1 // q23.2
205060_at,-0.144,8.386,-6.189,1.55E-08,3.89E-06,PARG,poly (ADP-ribose) glycohydrolase,chr10q11.23,chr10:51623582-51707663 (+) // 59.38 // q11.23 /// chr10:51026435-51371172 (-) // 96.81 // q11.23
217027_x_at,-0.178,7.896,-6.187,1.56E-08,3.89E-06,KPNB1,karyopherin (importin) beta 1,chr17q21.32,chr17:45757432-45758035 (+) // 94.37 // q21.32 /// chr7:149018952-149019183 (-) // 100.0 // q36.1
201139_s_at,-0.134,9.519,-6.167,1.71E-08,4.21E-06,SSB,Sjogren syndrome antigen B (autoantigen La),chr2q31.1,chr2:170655423-170668569 (+) // 97.16 // q31.1 /// chr1:146553582-146555188 (-) // 90.24 // q21.1
37512_at,-0.168,3.805,-6.148,1.87E-08,4.54E-06,HSD17B6,hydroxysteroid (17-beta) dehydrogenase 6 homolog (mouse),chr12q13,chr12:57157117-57181571 (+) // 75.65 // q13.3
209523_at,-0.128,9.410,-6.146,1.89E-08,4.54E-06,TAF2,"TAF2 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 150kDa",chr8q24.12,chr8:120743013-120845074 (-) // 99.15 // q24.12
204075_s_at,-0.210,5.460,-6.132,2.00E-08,4.77E-06,KIAA0562,KIAA0562,chr1p36.32,chr1:3728652-3773751 (-) // 92.2 // p36.32
229232_at,-0.210,6.817,-6.104,2.27E-08,5.36E-06,LRRC57,leucine rich repeat containing 57,chr15q15.2,chr15:42834721-42835335 (-) // 54.29 // q15.2
235516_at,-0.208,3.539,-6.096,2.36E-08,5.50E-06,SEPSECS,Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase,chr4p15.2,chr4:25123366-25124119 (-) // 98.68 // p15.2
201039_s_at,0.311,6.796,6.087,2.45E-08,5.67E-06,RAD23A,RAD23 homolog A (S. cerevisiae),chr19p13.2,chr19:13056668-13064456 (+) // 93.5 // p13.2
1553749_at,-0.286,6.166,-6.085,2.47E-08,5.67E-06,FAM76B,"family with sequence similarity 76, member B",chr11q21,chr11:95504768-95522955 (-) // 77.55 // q21
243252_at,-0.213,6.778,-6.064,2.72E-08,6.16E-06,---,---,---,chr1:100172954-100173920 (-) // 88.8 // p21.2
217266_at,-0.241,8.181,-6.025,3.24E-08,7.28E-06,RPL15,ribosomal protein L15,chr3p24.2,chr3:23959350-23960992 (+) // 91.77 // p24.2 /// chr4:47708388-47709004 (+) // 90.37 // p12 /// chr6:12514341-12514956 (+) // 91.61 // p24.1 /// chr22:27282867-27283511 (-) // 100.0 // q12.1
226472_at,-0.178,7.977,-6.019,3.32E-08,7.40E-06,PPIL4,peptidylprolyl isomerase (cyclophilin)-like 4,chr6q25.1,chr6:149825869-149842285 (-) // 60.92 // q25.1
208055_s_at,-0.201,6.129,-6.016,3.37E-08,7.44E-06,HERC4,hect domain and RLD 4,chr10q21.3,chr10:69713959-69716620 (-) // 85.46 // q21.3
225774_at,-0.163,8.464,-6.009,3.48E-08,7.61E-06,RSPRY1,ring finger and SPRY domain containing 1,chr16q13,chr16:57254704-57274385 (+) // 90.92 // q13
213577_at,0.349,7.306,6.002,3.59E-08,7.77E-06,SQLE,squalene epoxidase,chr8q24.1,chr8:126010754-126021476 (+) // 98.92 // q24.13
227375_at,-0.141,7.044,-5.999,3.63E-08,7.79E-06,ANKRD13C,ankyrin repeat domain 13C,chr1p32.3-p31.3,chr1:70726274-70727455 (-) // 98.49 // p31.1
225047_at,-0.213,7.955,-5.995,3.71E-08,7.85E-06,NUPL1,nucleoporin like 1,chr13q12.13,chr13:25914324-25916544 (+) // 84.41 // q12.13
64900_at,-0.260,5.553,-5.993,3.73E-08,7.85E-06,TMEM231,transmembrane protein 231,chr16q23.1,chr16:75572201-75572939 (-) // 79.53 // q23.1
235675_at,-0.258,6.124,-5.968,4.18E-08,8.73E-06,DHFRL1,dihydrofolate reductase-like 1,chr3q11.1,chr3:93776767-93777390 (-) // 39.37 // q11.1
229525_at,-0.191,5.604,-5.962,4.29E-08,8.88E-06,THOC7,THO complex 7 homolog (Drosophila),chr3p14.1,chr3:63820883-63849579 (+) // 89.79 // p14.1
53202_at,-0.156,4.633,-5.943,4.66E-08,9.56E-06,C7orf25 /// PSMA2,"chromosome 7 open reading frame 25 /// proteasome (prosome, macropain) subunit, alpha type, 2",chr7p13 /// chr7p14-p11.2,chr7:42948871-42949644 (-) // 94.65 // p14.1
217019_at,-0.219,5.002,-5.933,4.87E-08,9.91E-06,RPS4X /// RPS4XP6,"ribosomal protein S4, X-linked /// ribosomal protein S4X pseudogene 6",chr5p13.2 /// chrXq13.1,chr20:55176721-55177115 (+) // 100.0 // q13.31 /// chr5:37085127-37085513 (+) // 90.86 // p13.2 /// chr6:154897407-154897796 (+) // 92.13 // q25.2 /// chrX:71494903-71497080 (-) // 94.92 // q13.1
215450_at,-0.131,8.402,-5.927,5.02E-08,1.01E-05,SNRPE,small nuclear ribonucleoprotein polypeptide E,chr1q32,chr16:20250242-20250581 (+) // 94.4 // p12.3 /// chr19:5576622-5576961 (+) // 98.82 // p13.3 /// chr2:85489113-85489449 (+) // 93.22 // p11.2 /// chr9:6748654-6748993 (+) // 98.23 // p24.1 /// chr1:203830775-203839108 (-) // 100.0 // q32.1 /// chr2:8743199-8743537 (-) // 95.87 // p25.1 /// chr5:159753687-159754028 (-) // 94.99 // q33.3
214787_at,-0.233,7.570,-5.903,5.57E-08,1.11E-05,DENND4A,DENN/MADD domain containing 4A,chr15q22.31,chr15:65953559-65959870 (-) // 95.78 // q22.31
200616_s_at,0.177,9.989,5.901,5.63E-08,1.11E-05,MLEC,malectin,chr12q24.31,chr12:121124977-121134443 (+) // 89.05 // q24.31
