Rank,GeneSymbol,Symbol from mm9,Entrez Gene ID,RefSeq ID,Description
90,DLGAP1,Dlgap1,224997,NM_001128180.1,"discs, large (Drosophila) homolog-associated protein 1"
91,KIF21B,Kif21b,16565,NM_001039472.1,kinesin family member 21B
92,ATP13A2,Atp13a2,74772,NM_029097.1,ATPase type 13A2
93,C11ORF41,D430041D05Rik,241589,NM_001033347.2,chromosome 11 open reading frame 41
94,SCN8A,Scn8a,20273,NM_001077499.1,"sodium channel, voltage gated, type VIII, alpha subunit"
95,MAPK8IP3,Mapk8ip3,30957,NM_013931.2,mitogen-activated protein kinase 8 interacting protein 3
96,WNK2,Wnk2,75607,NM_029361.3,WNK lysine deficient protein kinase 2
97,ZMIZ2,Zmiz2,52915,NM_028601.2,"zinc finger, MIZ-type containing 2"
98,FBXL16,Fbxl16,214931,NM_001164225.1,F-box and leucine-rich repeat protein 16
99,TRRAP,Trrap,100683,NM_001081362.1,transformation/transcription domain-associated protein
100,SPTBN1,Spnb2,20742,NM_009260.2,"spectrin, beta, non-erythrocytic 1"
101,TBC1D9B,Tbc1d9b,76795,NM_029745.2,"TBC1 domain family, member 9B (with GRAM domain)"
102,SON,Son,20658,NM_178880.4,SON DNA binding protein
103,PLXNA1,Plxna1,18844,NM_008881.1,plexin A1
104,DLGAP3,Dlgap3,242667,NM_198618.3,"discs, large (Drosophila) homolog-associated protein 3"
105,TNK2,Tnk2,51789,NM_016788.3,"tyrosine kinase, non-receptor, 2"
106,KIAA1244,D10Bwg1379e,215821,NM_001033258.4,KIAA1244
107,GRLF1,Grlf1,232906,NM_172739.4,glucocorticoid receptor DNA binding factor 1
108,MPRIP,Mprip,26936,NM_201245.2,myosin phosphatase Rho interacting protein
109,KIAA1109,4932438A13Rik,229227,NM_172679.2,KIAA1109
110,SREBF2,Srebf2,20788,NM_033218.1,sterol regulatory element binding transcription factor 2
111,CHD5,Chd5,269610,NM_001081376.1,chromodomain helicase DNA binding protein 5
112,PLXND1,Plxnd1,67784,NM_026376.3,plexin D1
113,MAPK8IP1,Mapk8ip1,19099,NM_011162.4,mitogen-activated protein kinase 8 interacting protein 1
114,MICAL2,Mical2,320878,NM_177282.4,"microtubule associated monoxygenase, calponin and LIM domain containing 2"
115,PRKCE,Prkce,18754,NM_011104.1,"protein kinase C, epsilon"
116,SKI,Ski,20481,NM_011385.2,v-ski sarcoma viral oncogene homolog (avian)
117,WNK1,Wnk1,232341,NM_198703.1,WNK lysine deficient protein kinase 1
118,UNC13A,Unc13a,382018,NM_001029873.1,unc-13 homolog A (C. elegans)
119,TCF25,Tcf25,66855,NM_001037877.2,transcription factor 25 (basic helix-loop-helix)
120,EIF4G2,Eif4g2,13690,NM_013507.3,"eukaryotic translation initiation factor 4 gamma, 2"
121,GM996,Gm996,381353,NM_001005424.2,predicted gene 996
122,PPP2R2C,Ppp2r2c,269643,NM_172994.2,"protein phosphatase 2 (formerly 2A), regulatory subunit B, gamma isoform"
123,SRGAP3,Srgap3,259302,NM_080448.4,SLIT-ROBO Rho GTPase activating protein 3
124,GRIN2A,Grin2a,14811,NM_008170.2,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"
125,CIC,Cic,71722,NM_001110132.1,capicua homolog (Drosophila)
126,GABBR2,Gabbr2,242425,NM_001081141.1,"gamma-aminobutyric acid (GABA) B receptor, 2"
127,NELF,Nelf,56876,NM_001039386.1,nasal embryonic LHRH factor
128,STXBP1,Stxbp1,20910,NM_001113569.1,syntaxin binding protein 1
129,NCOR1,Ncor1,20185,NM_011308.2,nuclear receptor co-repressor 1
130,CAMTA1,Camta1,100072,NM_001081557.1,calmodulin binding transcription activator 1
131,RASGRF1,Rasgrf1,19417,NM_011245.2,Ras protein-specific guanine nucleotide-releasing factor 1
132,CDK16,Pctk1,18555,NM_011049.4,cyclin-dependent kinase 16
133,HCFC1,Hcfc1,15161,NM_008224.3,host cell factor C1 (VP16-accessory protein)
134,RPH3A,Rph3a,19894,NM_011286.2,rabphilin 3A homolog (mouse)
135,CACNA1A,Cacna1a,12286,NM_007578.3,"calcium channel, voltage-dependent, P/Q type, alpha 1A subunit"
136,ATP9A,Atp9a,11981,NM_015731.3,"ATPase, class II, type 9A"
137,DOPEY2,Dopey2,70028,NM_027293.1,dopey family member 2
138,KALRN,Kalrn,545156,NM_001164268.1,"kalirin, RhoGEF kinase"
139,CLASP2,Clasp2,76499,NM_001081960.1,cytoplasmic linker associated protein 2
140,ARHGAP33,Snx26,233071,NM_178252.2,Rho GTPase activating protein 33
141,HERC1,Herc1,235439,NM_145617.3,hect (homologous to the E6-AP (UBE3A) carboxyl terminus) domain and RCC1 (CHC1)-like domain (RLD) 1
142,PEG3,Peg3,18616,NM_008817.2,paternally expressed 3
143,SPHKAP,Sphkap,77629,NM_172430.3,"SPHK1 interactor, AKAP domain containing"
144,SHANK3,Shank3,58234,NM_021423.2,SH3 and multiple ankyrin repeat domains 3
145,DLG2,Dlg2,23859,NM_011807.2,"discs, large homolog 2 (Drosophila)"
146,VPS13D,Vps13d,230895,NM_001128198.1,vacuolar protein sorting 13 homolog D (S. cerevisiae)
147,ARHGEF17,Arhgef17,207212,NM_001081116.1,Rho guanine nucleotide exchange factor (GEF) 17
148,PDE4DIP,Pde4dip,83679,NM_001039376.2,phosphodiesterase 4D interacting protein
149,CTNNB1,Ctnnb1,12387,NM_007614.2,"catenin (cadherin-associated protein), beta 1, 88kDa"
150,TRIO,Trio,223435,NM_001081302.1,triple functional domain (PTPRF interacting)
151,TLN2,Tln2,70549,NM_001081242.2,talin 2
152,MINK1,Mink1,50932,NM_001045964.1,misshapen-like kinase 1 (zebrafish)
153,SNAP91,Snap91,20616,NM_013669.1,"synaptosomal-associated protein, 91kDa homolog (mouse)"
154,MED13L,Med13l,76199,NM_172424.4,mediator complex subunit 13-like
155,PITPNM1,Pitpnm1,18739,NM_008851.3,"phosphatidylinositol transfer protein, membrane-associated 1"
156,LARS2,Lars2,102436,NM_153168.2,"leucyl-tRNA synthetase 2, mitochondrial"
157,NSD1,Nsd1,18193,NM_008739.3,nuclear receptor binding SET domain protein 1
158,GNB1,Gnb1,14688,NM_008142.3,"guanine nucleotide binding protein (G protein), beta polypeptide 1"
159,CDC42BPB,Cdc42bpb,217866,NM_183016.1,CDC42 binding protein kinase beta (DMPK-like)
160,FAT2,Fat2,245827,NM_001029988.2,FAT tumor suppressor homolog 2 (Drosophila)
161,UNC13C,Unc13c,208898,NM_001081153.1,unc-13 homolog C (C. elegans)
162,USP34,Usp34,17847,NM_001190401.1,ubiquitin specific peptidase 34
163,ATP2A2,Atp2a2,11938,NM_001110140.2,"ATPase, Ca++ transporting, cardiac muscle, slow twitch 2"
164,MYT1L,Myt1l,17933,NM_001093775.1,myelin transcription factor 1-like
165,BRSK1,Brsk1,381979,NM_001003920.2,BR serine/threonine kinase 1
166,RTN1,Rtn1,104001,NM_153457.6,reticulon 1
167,MYO18A,Myo18a,360013,NM_011586.2,myosin XVIIIA
168,ARHGAP21,Arhgap21,71435,NM_001081364.3,Rho GTPase activating protein 21
169,CAMK2B,Camk2b,12323,NM_007595.3,calcium/calmodulin-dependent protein kinase II beta
170,DOCK9,Dock9,105445,NM_001081039.1,dedicator of cytokinesis 9
171,HIPK1,Hipk1,15257,NM_010432.2,homeodomain interacting protein kinase 1
172,CDK5R2,Cdk5r2,12570,NM_009872.3,"cyclin-dependent kinase 5, regulatory subunit 2 (p39)"
173,NEURL4,0610025P10Rik,216860,NM_001013414.2,neuralized homolog 4 (Drosophila)
174,PTPRN2,Ptprn2,19276,NM_011215.1,"protein tyrosine phosphatase, receptor type, N polypeptide 2"
175,PTPRF,Ptprf,19268,NM_011213.2,"protein tyrosine phosphatase, receptor type, F"
176,NAV1,Nav1,215690,NM_173437.1,neuron navigator 1
177,DCTN1,Dctn1,13191,NM_007835.2,"dynactin 1 (p150, glued homolog, Drosophila)"
178,AP2A2,Ap2a2,11772,NM_007459.3,"adaptor-related protein complex 2, alpha 2 subunit"
179,DPYSL2,Dpysl2,12934,NM_009955.3,dihydropyrimidinase-like 2
180,DDN,Ddn,13199,NM_001013741.1,dendrin
181,TRIM37,Trim37,68729,NM_197987.1,tripartite motif-containing 37
182,DMXL2,Dmxl2,235380,NM_172771.2,Dmx-like 2
183,RAPGEFL1,Rapgefl1,268480,NM_001080925.1,Rap guanine nucleotide exchange factor (GEF)-like 1
184,USP9X,Usp9x,22284,NM_009481.2,"ubiquitin specific peptidase 9, X-linked"
185,UBR3,Ubr3,68795,NM_177783.5,ubiquitin protein ligase E3 component n-recognin 3 (putative)
186,CLSTN1,Clstn1,65945,NM_023051.4,calsyntenin 1
187,FAM120A,BC010304,218236,NM_001033268.2,family with sequence similarity 120A
188,SCAP,Scap,235623,NM_001001144.2,SREBF chaperone
189,ARID1B,Arid1b,239985,NM_001085355.1,AT rich interactive domain 1B (SWI1-like)
190,SCAF1,Scaf1,233208,NM_001008422.1,SR-related CTD-associated factor 1
191,IQSEC2,Iqsec2,245666,NM_001005475.1,IQ motif and Sec7 domain 2
192,PIP5K1C,Pip5k1c,18717,NM_008844.1,"phosphatidylinositol-4-phosphate 5-kinase, type I, gamma"
193,SMARCA4,Smarca4,20586,NM_011417.2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
194,PCDH10,Pcdh10,18526,NM_001098171.1,protocadherin 10
195,SCN2A,Scn2a1,110876,NM_001099298.2,"sodium channel, voltage-gated, type II, alpha subunit"
196,NDRG4,Ndrg4,234593,NM_145602.2,NDRG family member 4
197,RASGRP1,Rasgrp1,19419,NM_011246.2,RAS guanyl releasing protein 1 (calcium and DAG-regulated)
198,ARID1A,Arid1a,93760,NM_001080819.1,AT rich interactive domain 1A (SWI-like)
199,TRIM9,Trim9,94090,NM_001110203.1,tripartite motif-containing 9
200,ADCY5,Adcy5,224129,NM_001012765.4,adenylate cyclase 5
201,PRKCB,Prkcb,18751,NM_008855.2,"protein kinase C, beta"
202,TIAM1,Tiam1,21844,NM_009384.2,T-cell lymphoma invasion and metastasis 1
203,DAGLA,Dagla,269060,NM_198114.2,"diacylglycerol lipase, alpha"
204,CLIP3,Clip3,76686,NM_001081114.1,CAP-GLY domain containing linker protein 3
205,SORL1,Sorl1,20660,NM_011436.3,"sortilin-related receptor, L(DLR class) A repeats-containing"
206,TNPO2,Tnpo2,212999,NM_001122843.1,transportin 2
207,ODZ4,Odz4,23966,NM_011858.3,"odz, odd Oz/ten-m homolog 4 (Drosophila)"
208,ARHGEF12,Arhgef12,69632,NM_027144.2,Rho guanine nucleotide exchange factor (GEF) 12
209,CLEC16A,Clec16a,74374,NM_177562.4,"C-type lectin domain family 16, member A"
210,DLGAP4,Dlgap4,228836,NM_146128.5,"discs, large (Drosophila) homolog-associated protein 4"
211,APLP1,Aplp1,11803,NM_007467.2,amyloid beta (A4) precursor-like protein 1
212,RUSC2,Rusc2,100213,NM_001037709.1,RUN and SH3 domain containing 2
213,THRA,Thra,21833,NM_178060.3,"thyroid hormone receptor, alpha (erythroblastic leukemia viral (v-erb-a) oncogene homolog, avian)"
214,STOX2,Stox2,71069,NM_001114311.1,storkhead box 2
215,OLFM1,Olfm1,56177,NM_019498.2,olfactomedin 1
216,AP2A1,Ap2a1,11771,NM_007458.2,"adaptor-related protein complex 2, alpha 1 subunit"
217,SIPA1L1,Sipa1l1,217692,NM_172579.1,signal-induced proliferation-associated 1 like 1
218,PCNXL3,Pcnxl3,104401,NM_144868.3,pecanex-like 3 (Drosophila)
219,TRAPPC10,Trappc10,216131,NM_001081055.1,trafficking protein particle complex 10
220,ATP1A2,Atp1a2,98660,NM_178405.3,"ATPase, Na+/K+ transporting, alpha 2 (+) polypeptide"
221,TBC1D9,Tbc1d9,71310,NM_001111304.1,"TBC1 domain family, member 9 (with GRAM domain)"
222,CASKIN1,Caskin1,268932,NM_027937.2,CASK interacting protein 1
223,PLXNA2,Plxna2,18845,NM_008882.2,plexin A2
224,TTBK1,Ttbk1,106763,NM_001162864.1,tau tubulin kinase 1
225,FAT3,Fat3,270120,NM_001080814.1,FAT tumor suppressor homolog 3 (Drosophila)
226,HSP90AB1,Hsp90ab1,15516,NM_008302.3,"heat shock protein 90kDa alpha (cytosolic), class B member 1"
227,CACNA1E,Cacna1e,12290,NM_009782.3,"calcium channel, voltage-dependent, R type, alpha 1E subunit"
228,ACO2,Aco2,11429,NM_080633.2,"aconitase 2, mitochondrial"
229,PRR12,Prr12,233210,NM_175022.2,proline rich 12
230,TANC2,Tanc2,77097,NM_181071.3,"tetratricopeptide repeat, ankyrin repeat and coiled-coil containing 2"
231,SYNE1,Syne1,64009,NM_001079686.1,"spectrin repeat containing, nuclear envelope 1"
232,ATG2A,Atg2a,329015,NM_194348.3,ATG2 autophagy related 2 homolog A (S. cerevisiae)
233,MAST1,Mast1,56527,NM_019945.2,microtubule associated serine/threonine kinase 1
234,XPO6,Xpo6,74204,NM_028816.2,exportin 6
235,MAP7D1,Mtap7d1,245877,NM_144941.2,MAP7 domain containing 1
236,ACTB,Actb,11461,NM_007393.3,"actin, beta"
237,PTPRT,Ptprt,19281,NM_021464.4,"protein tyrosine phosphatase, receptor type, T"
238,CACNA1G,Cacna1g,12291,NM_009783.2,"calcium channel, voltage-dependent, T type, alpha 1G subunit"
239,DOCK3,Dock3,208869,NM_153413.2,dedicator of cytokinesis 3
240,CAMSAP1L1,Camsap1l1,67886,NM_001081360.1,calmodulin regulated spectrin-associated protein 1-like 1
241,SECISBP2L,3110001I20Rik,70354,NM_177608.3,SECIS binding protein 2-like
242,SMARCC2,Smarcc2,68094,NM_001114096.1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 2"
243,GIT1,Git1,216963,NM_001004144.1,G protein-coupled receptor kinase interacting ArfGAP 1
244,DNAJC6,Dnajc6,72685,NM_198412.1,"DnaJ (Hsp40) homolog, subfamily C, member 6"
245,AHDC1,Ahdc1,230793,NM_146155.3,"AT hook, DNA binding motif, containing 1"
246,CLTC,Cltc,67300,NM_001003908.1,"clathrin, heavy chain (Hc)"
247,MAST2,Mast2,17776,NM_001042743.1,microtubule associated serine/threonine kinase 2
248,PRPF8,Prpf8,192159,NM_138659.2,PRP8 pre-mRNA processing factor 8 homolog (S. cerevisiae)
249,CBX6,Cbx6,494448,NM_028763.3,chromobox homolog 6
250,PLXNA4,Plxna4,243743,NM_175750.3,plexin A4
251,UBE3B,Ube3b,117146,NM_054093.2,ubiquitin protein ligase E3B
252,AAK1,Aak1,269774,NM_001040106.2,AP2 associated kinase 1
253,ZMIZ1,Zmiz1,328365,NM_183208.2,"zinc finger, MIZ-type containing 1"
254,DCLK1,Dclk1,13175,NM_019978.3,doublecortin-like kinase 1
255,AGTPBP1,Agtpbp1,67269,NM_023328.2,ATP/GTP binding protein 1
256,KLC1,Klc1,16593,NM_001025360.2,kinesin light chain 1
257,KIAA0317,1110018G07Rik,68497,NM_178065.3,KIAA0317
258,CLASP1,Clasp1,76707,NM_001081276.1,cytoplasmic linker associated protein 1
259,KCNB1,Kcnb1,16500,NM_008420.3,"potassium voltage-gated channel, Shab-related subfamily, member 1"
260,CHD4,Chd4,107932,NM_145979.2,chromodomain helicase DNA binding protein 4
261,SMARCA2,Smarca2,67155,NM_011416.2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
262,SYN1,Syn1,20964,NM_013680.4,synapsin I
263,DDX24,Ddx24,27225,NM_020494.2,DEAD (Asp-Glu-Ala-Asp) box polypeptide 24
264,RIMBP2,Rimbp2,231760,NM_001081388.1,RIMS binding protein 2
265,MACF1,Macf1,11426,NM_009600.2,microtubule-actin crosslinking factor 1
266,TRAK2,Trak2,70827,NM_172406.2,"trafficking protein, kinesin binding 2"
267,TRAK1,Trak1,67095,NM_175114.3,"trafficking protein, kinesin binding 1"
268,KIAA0090,C230096C10Rik,230866,NM_146157.3,KIAA0090
269,ANKRD11,Ankrd11,77087,NM_001081379.1,ankyrin repeat domain 11
270,ITSN1,Itsn1,16443,NM_010587.2,intersectin 1 (SH3 domain protein)
271,EXTL3,Extl3,54616,NM_018788.2,exostoses (multiple)-like 3
272,DISP2,Disp2,214240,NM_170593.2,dispatched homolog 2 (Drosophila)
273,GRM5,Grm5,108071,NM_001081414.1,"glutamate receptor, metabotropic 5"
274,ATN1,Atn1,13498,NM_007881.4,atrophin 1
275,BCR,Bcr,110279,NM_001081412.2,breakpoint cluster region
276,PCDHAC2,Pcdhac2,353237,NM_001003672.1,"protocadherin alpha subfamily C, 2"
277,TTYH1,Ttyh1,57776,NM_021324.5,tweety homolog 1 (Drosophila)
278,TNRC18,Tnrc18,231861,NM_178242.2,trinucleotide repeat containing 18
279,DBC1,Dbc1,56710,NM_019967.2,deleted in bladder cancer 1
280,KIAA0947,BC018507,218333,N.A.,KIAA0947
281,KCNMA1,Kcnma1,16531,NM_010610.2,"potassium large conductance calcium-activated channel, subfamily M, alpha member 1"
282,MED13,Med13,327987,NM_001080931.1,mediator complex subunit 13
283,ZFR,Zfr,22763,NM_011767.2,zinc finger RNA binding protein
284,IPO13,Ipo13,230673,NM_146152.3,importin 13
285,NTRK2,Ntrk2,18212,NM_008745.2,"neurotrophic tyrosine kinase, receptor, type 2"
286,SYT1,Syt1,20979,NM_009306.2,synaptotagmin I
287,CHST2,Chst2,54371,NM_018763.2,carbohydrate (N-acetylglucosamine-6-O) sulfotransferase 2
288,BAT3,Bat3,224727,NM_057171.1,HLA-B associated transcript 3
289,R3HDM1,R3hdm1,226412,NM_181750.2,R3H domain containing 1
290,RYR2,Ryr2,20191,NM_023868.2,ryanodine receptor 2 (cardiac)
291,BIRC6,Birc6,12211,NM_007566.2,baculoviral IAP repeat-containing 6
292,DIP2A,Dip2a,64451,NM_001081419.1,DIP2 disco-interacting protein 2 homolog A (Drosophila)
293,IGSF9B,Igsf9b,235086,NM_001033323.3,"immunoglobulin superfamily, member 9B"
294,ARHGEF7,Arhgef7,54126,NM_001113517.1,Rho guanine nucleotide exchange factor (GEF) 7
295,GNAO1,Gnao1,14681,NM_010308.3,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide O"
296,TTBK2,Ttbk2,140810,NM_001024856.2,tau tubulin kinase 2
297,PSD,Psd,73728,NM_028627.2,pleckstrin and Sec7 domain containing
298,CDC42BPA,Cdc42bpa,226751,NM_001033285.1,CDC42 binding protein kinase alpha (DMPK-like)
299,MAN2A2,Man2a2,140481,NM_172903.3,"mannosidase, alpha, class 2A, member 2"
300,NEDD4,Nedd4,17999,NM_010890.3,"neural precursor cell expressed, developmentally down-regulated 4"
301,C19ORF26,Dos,216164,NM_015761.2,chromosome 19 open reading frame 26
302,EIF4G1,Eif4g1,208643,NM_145941.2,"eukaryotic translation initiation factor 4 gamma, 1"
303,PAK6,Pak6,214230,NM_001033254.2,p21 protein (Cdc42/Rac)-activated kinase 6
304,5-Sep,6-Sep,18951,NM_213614.2,septin 5
305,UBA1,Uba1,22201,NM_009457.3,ubiquitin-like modifier activating enzyme 1
306,SIPA1L2,Sipa1l2,244668,NM_001081337.1,signal-induced proliferation-associated 1 like 2
307,PDZD2,Pdzd2,68070,NM_001081064.1,PDZ domain containing 2
308,ODZ3,Odz3,23965,NM_011857.2,"odz, odd Oz/ten-m homolog 3 (Drosophila)"
309,NGEF,Ngef,53972,NM_001111314.1,neuronal guanine nucleotide exchange factor
310,SCD2,Scd2,20250,NM_009128.2,stearoyl-Coenzyme A desaturase 2
311,GRAMD1B,Gramd1b,235283,NM_172768.1,GRAM domain containing 1B
312,GNAL,Gnal,14680,NM_177137.4,"guanine nucleotide binding protein (G protein), alpha activating activity polypeptide, olfactory type"
313,INPP4A,Inpp4a,269180,NM_030266.2,"inositol polyphosphate-4-phosphatase, type I, 107kDa"
314,DAB2IP,Dab2ip,69601,NM_001001602.2,DAB2 interacting protein
315,LRRC4B,Lrrc4b,272381,NM_198250.1,leucine rich repeat containing 4B
316,MAP4,Mtap4,17758,NM_008633.3,microtubule-associated protein 4
317,MAGED1,Maged1,94275,NM_019791.2,"melanoma antigen family D, 1"
318,LRRC8B,Lrrc8b,433926,NM_001033550.2,"leucine rich repeat containing 8 family, member B"
319,ANKRD52,Ankrd52,237615,NM_172790.2,ankyrin repeat domain 52
